name,cost_failure,customers_affected,value_lost_load,asset_type
1KV13/1,15174,971,7535612.25,Line
1KV13/2,15174,971,7535612.25,Line
1KV13/3,15174,2749,27579461.45,Line
1KV13/4,15174,2749,27579461.45,Line
1KV17/1,34083,269,3181593.1,Line
1KV17/10,34083,2749,27579461.45,Line
1KV17/11,34083,2749,27579461.45,Line
1KV17/12,34083,2749,27579461.45,Line
1KV17/2,34083,269,3181593.1,Line
1KV17/3,34083,269,3181593.1,Line
1KV17/4,34083,269,3181593.1,Line
1KV17/4,34083,269,3181593.1,Line
1KV17/5,34083,269,3181593.1,Line
1KV17/6,34083,971,7535612.25,Line
1KV17/7,34083,971,7535612.25,Line
1KV17/8,34083,971,7535612.25,Line
1KV17/9,34083,2749,27579461.45,Line
1KV22/1,19749,1176,16309164.55,Line
1KV22/10,19749,1176,16309164.55,Line
1KV22/11,19749,1176,16309164.55,Line
1KV22/12,19749,1176,16309164.55,Line
1KV22/13,19749,1176,16309164.55,Line
1KV22/2,19749,1176,16309164.55,Line
1KV22/3,19749,1176,16309164.55,Line
1KV22/4,19749,1176,16309164.55,Line
1KV22/5,19749,1176,16309164.55,Line
1KV22/6,19749,1176,16309164.55,Line
1KV22/7,19749,1176,16309164.55,Line
1KV22/8,19749,1176,16309164.55,Line
1KV22/9,19749,1176,16309164.55,Line
1KV3/1,43672,2749,27579461.45,Line
1KV3/10,43672,2749,27579461.45,Line
1KV3/11,43672,2749,27579461.45,Line
1KV3/12,43672,2749,27579461.45,Line
1KV3/12,43672,2749,27579461.45,Line
1KV3/13,43672,2749,27579461.45,Line
1KV3/14,43672,2749,27579461.45,Line
1KV3/15,43672,2749,27579461.45,Line
1KV3/16,43672,2749,27579461.45,Line
1KV3/17,43672,2749,27579461.45,Line
1KV3/18,43672,2749,27579461.45,Line
1KV3/2,43672,2749,27579461.45,Line
1KV3/2,43672,2749,27579461.45,Line
1KV3/3,43672,2749,27579461.45,Line
1KV3/4,43672,2749,27579461.45,Line
1KV3/5,43672,2749,27579461.45,Line
1KV3/6,43672,2749,27579461.45,Line
1KV3/7,43672,2749,27579461.45,Line
1KV3/8,43672,2749,27579461.45,Line
1KV3/9,43672,2749,27579461.45,Line
1KV18/7,43672,971,7535612.25,Line
1KV18/6,43672,971,7535612.25,Line
