name,age_years,H1_fail_prob,H2_criticality,H3_energy
2,22,0.585217088,5,873781
5,11,0.355963579,11,1022882
8,2,0.076883654,1,620858
11,43,0.820933852,3,532193
13,24,0.617107114,21,0
14,18,0.513247744,4,644969
15,4,0.147856211,0,217202
19,18,0.513247744,14,1575076
21,40,0.798103482,0,194173
24,35,0.753403036,0,298830
25,2,0.076883654,1,302141
28,16,0.472707576,4,1482577
32,21,0.568289477,4,613216
33,2,0.076883654,1,425791
38,2,0.076883654,0,237797
39,2,0.076883654,1,775018
42,22,0.585217088,15,1276817
44,8,0.273850963,1,590308
46,3,0.113079563,2,484916
47,2,0.076883654,0,558810
48,22,0.585217088,1,515687
51,15,0.451188364,2,575210
52,13,0.405479452,1,828648
53,2,0.076883654,0,256505
54,21,0.568289477,14,737163
55,45,0.834701112,1,231310
56,2,0.076883654,0,206733
57,22,0.585217088,2,458878
58,2,0.076883654,5,592992
59,3,0.113079563,8,420479
60,17,0.493383008,4,1145730
61,29,0.686513819,1,928
62,3,0.113079563,5,514312
73,0,0,0,294435
74_1,21,0.568289477,15,888781
74_2,2,0.076883654,15,0
81,12,0.381216608,3,318572
88,4,0.147856211,0,76696
12,14,0.428790936,40,732954
72,43,0.820933852,10,627011
