Substation_ID;Field type;Age;Nominal_voltage;Rated_short-circuit_breaking_current;switchings_operations_2020
SUBST01;2;8;145;40;11
SUBST01;2;8;145;40;12
SUBST01;1;7;145;40;24
SUBST01;1;7;145;40;3
SUBST01;1;7;145;40;10
SUBST29;1;21;123;31.5;35
SUBST29;2;21;123;31.5;6
SUBST29;2;21;123;31.5;9
SUBST29;1;21;123;31.5;19
SUBST35;1;34;123;31.5;6
SUBST35;2;27;123;31.5;6
SUBST35;1;34;123;31.5;19
SUBST35;2;34;123;31.5;3
SUBST19;1;35;123;31.5;25
SUBST19;2;35;123;31.5;28
SUBST19;2;32;123;31.5;29
SUBST34;3;20;145;40;44
SUBST34;3;20;145;40;431
SUBST34;1;0;123;65;302
SUBST34;1;0;123;65;373
SUBST36;1;34;123;31.5;3
SUBST36;3;34;123;31.5;44
SUBST36;1;34;123;31.5;5
SUBST36;3;34;123;31.5;44
SUBST01;1;7;145;40;4
SUBST01;1;7;145;40;15
SUBST55;1;13;123;40;7
SUBST55;1;13;123;40;12
SUBST55;2;13;123;40;4
SUBST55;2;13;123;40;8
SUBST05;1;34;123;31.5;14
SUBST05;1;35;123;31.6;26
SUBST05;2;34;123;31.7;12
SUBST05;2;35;123;31.8;13
SUBST26;1;12;123;40;10
SUBST26;2;9;123;40;5
SUBST42;1;25;123;40;76
SUBST42;2;24;123;40;3
SUBST42;2;23;123;40;15
