name;H1_age_years;H2_failure_probaility;H3_criticallity;H4_Age_dependent_unavailability;H5_over_50
SUBST34-SUBST29;50;0.997866518;2;0.00019121;12.78
SUBST29-SUBST01;50;0.622807646;2;0.001807078;0.00
SUBST19-SUBST01;37;0.561808829;1;0.00137356;0.00
SUBST36-SUBST01;35;0.450364529;2;0;30.54
SUBST35-SUBST36;33;0.283444805;2;0.000144787;0.00
SUBST34-SUBST35;34;0.319004785;2;0.000244102;0.10
SUBST05-SUBST01;52;0.811602276;2;0.000482686;0.78
SUBST42-SUBST05;55;0.865675935;2;0.00043609;0.00
SUBST01-SUBST55;41;0.735099236;2;0.000957572;0.00
SUBST26-SUBST55;38;0.748270455;2;0.000208714;0.37
