Matricula tramo;Tipo Tramo;Tipo de conductor 1;Longitud Real (Km);Resistencia (ohmios);Reactancia (ohmios);Modelo constructivo 1;Impedancia (ohmios);Estructura de red
CDO7031363;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.06;0.002455856;0.002062919;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.003207315;PRINCIPAL
CDO7031336;AEREO;LA-30;0.149;0.433689088;0.16823101;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.465175122;RACIMO
CDO7031337;SUBTERRANEO;UNI-AL-240-RHZ1-OL;0.022;0.002312583;0.00194257;330070C CABLE RHZ1-OL 12/20 KV 1X240 KAL+H16;0.003020202;RACIMO
CDO7031366;AEREO;LA-30;0.1;0.152525246;0.059165601;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.163598642;RACIMO
CDO7031365;AEREO;LA-30;0.02;0.053612091;0.020796502;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.057504356;RACIMO
CDO7031339;AEREO;LA-56;0.52;0.30279699;0.194796115;350120 CABLE AL-ACERO LA 56;0.360043824;RACIMO
CDO7031342;SUBTERRANEO;TRI-AL-150-PPV;0.336;0.057758853;0.024393301;350080 CABLE PPV 12/15 KV 3X150 AL UEFE 1.3.11.01;0.062698632;RACIMO
CDO7031343;AEREO;LA-56;0.05;0.015415573;0.009917185;350120 CABLE AL-ACERO LA 56;0.018330043;RACIMO
CDO7031344;AEREO;LA-30;0.02;0.019957174;0.007741526;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.021406073;RACIMO
CDO7031372;AEREO;LA-30;0.48;0.070555806;0.027369088;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.075678192;PRINCIPAL
CDO7031373;AEREO;LA-56;0.015;0.036512218;0.023489131;350120 CABLE AL-ACERO LA 56;0.043415219;RACIMO
CDO7031345;AEREO;LA-56;0.03;0.009358402;0.00602047;350120 CABLE AL-ACERO LA 56;0.011127702;RACIMO
CDO7031376;SUBTERRANEO;UNI-AL-240-RHV;0.004906662;0.000979416;0.00082271;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.001279104;PRINCIPAL
CDO7031346;AEREO;LA-30;0.011;0.017184131;0.006665844;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.018431708;RACIMO
CDO7031370;SUBTERRANEO;UNI-AL-240-RHV;0.834;0.104687199;0.087937243;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.136720031;PRINCIPAL
CDO7031379;AEREO;LA-30;0.02;0.010279669;0.003987555;350110 CABLE AL-ACERO LA- 30 UEFE 1.3.15.01;0.011025978;RACIMO
CDO7031391;AEREO;LA-56;0.105314;0.013846842;0.008907984;350120 CABLE AL-ACERO LA 56;0.016464725;RACIMO
CDO7031384;AEREO;LA-56;0.25;0.226174086;0.145502865;350120 CABLE AL-ACERO LA 56;0.268934578;RACIMO
CDO7031385;SUBTERRANEO;UNI-AL-95 -RHZ1-OL;0.005;0.004545802;0.001704676;330040C CABLE RHZ1-OL 12/20 KV  1X95 KAL+H16;0.004854918;RACIMO
CDO7031393;SUBTERRANEO;UNI-AL-240-RHV;0.555;0.07308808;0.061393984;330070A CABLE RHV 12/20 KV 1X240 KAL+H16 UEFE 1.3.13.01;0.095452026;PRINCIPAL
