Segment_ID;H1_Age;H2_failure_probability;H3_KPI_weighted_power;H4_Criticity;H5_Condition;H6_Risk;H7_faults
CDO7031278;0;0.00000;0;0;0;0;0
CDO7031327;0;0.00000;6.4;5.32;3.89;4.61;8
CDO7031328;13;0.00309;6.5;5.4;2.7;4.05;0
CDO7031329;0;0.00000;6.5;6.4;2.98;4.69;0
CDO7031330;0;0.00000;6.53;5.42;2.7;4.06;0
CDO7031331;36;0.01699;7.59;6.27;2.88;4.57;0
CDO7031332;19;0.00090;5.42;5.54;1.37;3.45;2
CDO7031333;0;0.00000;0;0;0;0;0
CDO7031334;36;0.01446;7.61;6.29;2.7;4.49;0
CDO7031335;0;0.00000;6.5;6.4;2.87;4.64;1
CDO7031336;0;0.00000;6.5;6.4;3.54;4.97;7
CDO7031337;17;0.00089;0;0;0;0;0
CDO7031339;19;0.02324;5.2;5.36;4.06;4.71;10
CDO7031340;21;0.03803;0;0;0;0;0
CDO7031341;36;0.05907;7.59;6.27;3.03;4.65;1
CDO7031342;0;0.00000;0;0;0;0;0
CDO7031343;0;0.00000;4.33;3.66;2.7;3.18;0
CDO7031344;0;0.00000;6.5;5.4;2.7;4.05;0
CDO7031345;22;0.00157;5.43;4.54;0.95;2.75;0
CDO7031346;0;0.00000;4.33;3.66;2.7;3.18;0
CDO7031347;0;0.00000;0;0;0;0;0
CDO7031348;0;0.00000;6.51;5.41;2.74;4.07;1
CDO7031349;0;0.00000;5.42;4.79;3.28;4.03;6
CDO7031350;0;0.00000;6.51;5.41;2.74;4.07;1
CDO7031351;18;0.01192;0;0;0;0;0
CDO7031352;0;0.00000;0;0;0;0;0
CDO7031353;20;0.00285;0;0;0;0;0
CDO7031354;0;0.00000;5.42;5.54;2.7;4.12;0
CDO7031355;0;0.00000;0;0;0;0;0
CDO7031356;0;0.00000;6.51;5.41;2.79;4.1;0
CDO7031357;20;0.08211;0;0;0;0;0
CDO7031358;23;0.00546;5.45;4.56;2.7;3.63;0
CDO7031359;36;0.07324;7.61;6.29;2.99;4.64;1
CDO7031360;0;0.00000;6.5;5.4;3.05;4.23;0
CDO7031361;0;0.00000;6.5;6.4;3.07;4.74;4
CDO7031362;0;0.00000;0;0;0;0;0
CDO7031363;20;0.00285;0;0;0;0;0
CDO7031364;0;0.00000;4.33;3.66;2.7;3.18;0
CDO7031365;0;0.00000;4.33;3.66;3.05;3.36;0
CDO7031366;0;0.00000;6.53;5.42;2.7;4.06;0
CDO7031367;23;0.01446;0;0;0;0;0
CDO7031368;0;0.00000;6.5;5.4;3.53;4.46;3
CDO7031369;36;0.04439;0;0;0;0;0
CDO7031370;0;0.00000;0;0;0;0;0
CDO7031371;20;0.02073;0;0;0;0;0
CDO7031372;0;0.00000;7.57;6.26;2.7;4.48;0
CDO7031373;19;0.00068;5.42;4.54;1.3;2.92;0
CDO7031374;36;0.12916;7.6;6.28;3.01;4.64;1
CDO7031375;36;0.06625;7.59;6.28;3.06;4.67;3
CDO7031376;0;0.00000;0;0;0;0;0
CDO7031377;0;0.00000;0;0;0;0;0
CDO7031378;0;0.00000;0;0;0;0;0
CDO7031379;0;0.00000;5.41;4.53;2.74;3.63;1
CDO7031380;0;0.00000;0;0;0;0;0
CDO7031381;13;0.00766;7.58;6.26;3.2;4.73;3
CDO7031382;0;0.00000;0;0;0;0;0
CDO7031383;16;0.01850;0;0;0;0;0
CDO7031384;18;0.01065;6.51;5.41;2.98;4.19;0
CDO7031385;18;0.00021;0;0;0;0;0
CDO7031386;16;0.02342;0;0;0;0;0
CDO7031387;0;0.00000;0;0;0;0;0
CDO7031388;22;0.00131;5.46;4.57;2.7;3.63;0
CDO7031389;0;0.00000;5.41;4.53;2.7;3.61;0
CDO7031390;16;0.02212;0;0;0;0;0
CDO7031391;0;0.00000;4.34;3.67;2.7;3.19;0
CDO7031393;0;0.00000;0;0;0;0;0
CDO7031394;20;0.12853;0;0;0;0;0
CDO7031395;0;0.00000;0;0;0;0;0
CDO7031396;0;0.00000;5.41;4.53;2.7;3.61;0
CDO7031397;14;0.00153;7.58;6.26;2.74;4.5;1
CDO7031398;13;0.00247;6.5;5.4;2.7;4.05;0
CDO7031399;0;0.00000;0;0;0;0;0
