name,age_years,H1_fail_prob,H2_criticality,H3_overload_percent_h_year,load_profiles
TBT0,29.02191780821918,0.00949702134381014,0.07,0.0,"[438, 1314, 1752, 4380, 876, 0, 0, 0, 0, 0, 0, 0]"
TBT1,15.01095890410959,0.011749076718847827,0.67,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT2,28.019178082191782,0.010013696041677641,0.41,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT3,19.013698630136986,0.01102335457218025,0.42,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT4,27.019178082191782,0.009945383449763166,0.92,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT5,31.02191780821918,0.009187226399902451,0.28,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT6,8.005479452054795,0.012948439536245915,0.31,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT7,17.013698630136986,0.011517535206772353,0.5,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT8,37.02739726027397,0.009007308833544584,0.02,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT9,22.016438356164382,0.010874939470937157,0.62,0.0,"[438, 1314, 1752, 4380, 876, 0, 0, 0, 0, 0, 0, 0]"
TBT10,24.016438356164382,0.01049797190011247,0.38,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT11,23.016438356164382,0.003958570828341745,0.01,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT12,37.02739726027397,0.00852370160785985,0.38,0.0,"[0, 0, 438, 1314, 2628, 3504, 438, 438, 0, 0, 0, 0]"
TBT13,19.013698630136986,0.004823584407833477,0.28,0.0,"[438, 1314, 1752, 4380, 876, 0, 0, 0, 0, 0, 0, 0]"
