index,Life Assessment,Maintenance Stratgy,Economic Impact,Total_Indicator,lat,long
SUBST01-TR1,0.245,0.0,0.803,0.349,,
SUBST01- TR2,0.265,0.0,0.802,0.356,,
SUBST29-TR1,0.75,0.0,0.227,0.326,,
SUBST29-TR2,0.644,0.0,0.483,0.375,,
SUBST35-TR1,0.251,0.0,0.789,0.347,,
SUBST35-TR2,0.66,0.0,0.0,0.22,,
SUBST19-TR1,0.355,0.0,0.198,0.185,,
SUBST19-TR2,0.387,0.0,0.445,0.277,,
SUBST55-TR1,0.079,0.0,0.47,0.183,,
SUBST55-TR2,0.424,0.0,0.104,0.176,,
SUBST42-TR1,0.343,0.0,0.693,0.345,,
SUBST42-TR2,0.147,0.0,0.383,0.177,,
SUBST26-TR1,0.253,0.0,0.756,0.336,,
SUBST05-TR1,0.496,0.0,0.615,0.37,,
SUBST05-TR2,0.309,0.0,0.432,0.247,,
