index,Life Assessment,Total_Indicator,lat,long
1,0.603,0.603,,
2,0.071,0.071,,
3,0.07,0.07,,
4,0.071,0.071,,
5,0.005,0.005,,
6,0.227,0.227,,
7,0.002,0.002,,
8,0.0,0.0,,
9,0.086,0.086,,
10,0.165,0.165,,
11,0.247,0.247,,
12,0.002,0.002,,
13,0.002,0.002,,
14,0.0,0.0,,
15,0.244,0.244,,
16,0.231,0.231,,
17,0.006,0.006,,
18,0.153,0.153,,
19,0.002,0.002,,
20,0.205,0.205,,
21,0.11,0.11,,
22,0.003,0.003,,
23,0.002,0.002,,
24,0.213,0.213,,
25,0.24,0.24,,
26,0.003,0.003,,
27,0.004,0.004,,
28,0.002,0.002,,
29,0.221,0.221,,
30,0.113,0.113,,
31,0.004,0.004,,
32,0.002,0.002,,
33,0.217,0.217,,
34,0.003,0.003,,
35,0.001,0.001,,
36,0.009,0.009,,
37,0.112,0.112,,
38,0.237,0.237,,
39,0.0,0.0,,
40,0.003,0.003,,
41,0.221,0.221,,
42,0.004,0.004,,
43,0.243,0.243,,
44,0.0,0.0,,
45,0.215,0.215,,
46,0.002,0.002,,
47,0.007,0.007,,
48,0.005,0.005,,
49,0.003,0.003,,
50,0.001,0.001,,
51,0.002,0.002,,
52,0.0,0.0,,
53,0.096,0.096,,
54,0.135,0.135,,
55,0.008,0.008,,
56,0.008,0.008,,
57,0.004,0.004,,
58,0.219,0.219,,
59,0.233,0.233,,
60,0.001,0.001,,
61,0.005,0.005,,
62,0.0,0.0,,
63,0.002,0.002,,
64,0.003,0.003,,
65,0.001,0.001,,
66,0.002,0.002,,
67,0.007,0.007,,
68,0.005,0.005,,
69,0.002,0.002,,
70,0.001,0.001,,
71,0.003,0.003,,
72,0.067,0.067,,
73,0.225,0.225,,
74,0.004,0.004,,
75,0.221,0.221,,
76,0.002,0.002,,
77,0.222,0.222,,
78,0.005,0.005,,
79,0.229,0.229,,
80,0.22,0.22,,
81,0.222,0.222,,
82,0.004,0.004,,
83,0.217,0.217,,
84,0.004,0.004,,
85,0.001,0.001,,
86,0.174,0.174,,
87,0.002,0.002,,
88,0.006,0.006,,
89,0.002,0.002,,
90,0.004,0.004,,
91,0.001,0.001,,
92,0.001,0.001,,
93,0.004,0.004,,
94,0.001,0.001,,
95,0.006,0.006,,
96,0.13,0.13,,
97,0.002,0.002,,
98,0.002,0.002,,
99,0.076,0.076,,
100,0.004,0.004,,
101,0.005,0.005,,
102,0.001,0.001,,
103,0.006,0.006,,
104,0.006,0.006,,
105,0.005,0.005,,
106,0.003,0.003,,
107,0.002,0.002,,
108,0.136,0.136,,
109,0.008,0.008,,
110,0.007,0.007,,
111,0.145,0.145,,
112,0.007,0.007,,
113,0.154,0.154,,
114,0.172,0.172,,
115,0.0,0.0,,
116,0.008,0.008,,
117,0.007,0.007,,
118,0.011,0.011,,
119,0.005,0.005,,
120,0.001,0.001,,
121,0.004,0.004,,
122,0.007,0.007,,
123,0.003,0.003,,
124,0.216,0.216,,
125,0.002,0.002,,
126,0.006,0.006,,
127,0.222,0.222,,
128,0.222,0.222,,
129,0.002,0.002,,
130,0.002,0.002,,
131,0.0,0.0,,
132,0.008,0.008,,
133,0.008,0.008,,
134,0.006,0.006,,
135,0.005,0.005,,
136,0.222,0.222,,
137,0.086,0.086,,
