additional_id,Coordinates,x,y
SB65CXNO//D59-80 CT,"X:487925, Y:4457433",40.26727961,-3.142015429
S7LWSE9U//D59-3-5-2-CT,"X:482465, Y:4458632",40.27798516,-3.206263584
S7ML9NUP//D59-3-5-1,"X:482495, Y:4458696",40.27856238,-3.205912446
S84J2977//D53-1,"X:483218, Y:4460696",40.2965958,-3.197460227
S95TCFBF//D37-20,"X:484822, Y:4464017",40.32654627,-3.178666177
S943H17G//D37-19,"X:484743, Y:4464057",40.3269052,-3.179597068
S8K73W3V//D59-31-1-CT,"X:483929, Y:4457229",40.26537448,-3.189007505
S7DAPFTG//189-3,"X:482071, Y:4459758",40.28812127,-3.21092969
S7AKO0K3//189-6,"X:481949, Y:4459883",40.28924481,-3.212368501
S7CN1LDA//189-4,"X:482042, Y:4459791",40.28841796,-3.21127179
S7BSKRFB//189-5,"X:482004, Y:4459829",40.28875949,-3.211719917
S7CKR95N//D59-3-11,"X:482039, Y:4458557",40.27730042,-3.211272472
S9362F3T//D37-18CT,"X:484700, Y:4464143",40.32767921,-3.180105297
S66F4H2C//D18-2,"X:480214, Y:4465060",40.33584638,-3.232940678
S651XKPV//D18-3,"X:480152, Y:4465016",40.33544851,-3.233669231
S84734ES//D59-14,"X:483202, Y:4458448",40.27634257,-3.197589504
S85GGRDN//D59-15,"X:483260, Y:4458397",40.27588426,-3.196905939
S82CXD65//D59-13,"X:483119, Y:4458509",40.27689047,-3.198567408
S8646LTF//D59-16,"X:483290, Y:4458349",40.27545241,-3.196551811
SAAR4EJ8//D59-66,"X:486592, Y:4457557",40.26837647,-3.157695532
SAF2AALR//D59-67,"X:486785, Y:4457564",40.2684426,-3.155425753
SAA3VNV0//D59-65,"X:486561, Y:4457505",40.26790748,-3.158059041
SA9A8AUC//D59-64,"X:486523, Y:4457392",40.26688881,-3.158503589
S85IP4H6//D59-16-1CT,"X:483263, Y:4458336",40.27533475,-3.196869058
S8MGW5D3//D37-13,"X:484034, Y:4464017",40.32653157,-3.187941987
S8N8D6UE//D37-10,"X:484067, Y:4463722",40.32387447,-3.187546178
S8LPH3OJ//D37-14,"X:483999, Y:4464135",40.32759399,-3.188356939
S8OJ9Q29//D37-11,"X:484128, Y:4463788",40.32447025,-3.186829794
S8JQ58J9//D37-7,"X:483909, Y:4463575",40.32254708,-3.189402273
S8N5DET0//D37-12,"X:484063, Y:4463914",40.32560417,-3.18759805
S8LW82QD//D37-9,"X:484009, Y:4463656",40.32327875,-3.188227236
S8KLBHKI//D37-8,"X:483948, Y:4463590",40.32268297,-3.188943595
S8NFTLTD//D37-15,"X:484078, Y:4464243",40.3285685,-3.187429681
S8QN49G7//D37-16,"X:484223, Y:4464283",40.32893162,-3.185723774
S8TWL889//D37-17,"X:484372, Y:4464321",40.32927678,-3.183970714
S8N64U42//D37-14-1CT,"X:484064, Y:4464161",40.32782947,-3.187592439
S5PE16WJ//D2,"X:479531, Y:4467762",40.36017271,-3.241068227
S5OWAURA//D2X2,"X:479510, Y:4467687",40.35949651,-3.241313138
S5OVJFN8//D3,"X:479509, Y:4467609",40.35879377,-3.241322409
S7CT14OH//D59-3-10-1-CT,"X:482051, Y:4458536",40.27711148,-3.21113073
SAHBCV02//D59-68,"X:486888, Y:4457582",40.26860639,-3.15421471
SAHF4495//D59-68-1-CT,"X:486894, Y:4457590",40.26867856,-3.154144306
S7CWQBXF//D59-3-10,"X:482056, Y:4458540",40.27714762,-3.211072029
S7K3X81U//D59-3-6,"X:482380, Y:4458776",40.27928071,-3.207267391
S7FUA7XL//D59-3-8,"X:482188, Y:4458659",40.27822255,-3.209522656
S7I8CKKC//D59-3-7,"X:482295, Y:4458724",40.27881043,-3.208265819
S7DXW5GE//D59-3-9,"X:482102, Y:4458610",40.27777926,-3.210532898
S7N5XQHB//D59-3-2,"X:482519, Y:4459053",40.28177921,-3.205639879
S7M72A6O//D59-3-3,"X:482475, Y:4459020",40.28148098,-3.206156572
S9GNI37M//D59-49,"X:485315, Y:4457487",40.26772437,-3.172713048
S9G9AN83//D59-48,"X:485295, Y:4457487",40.26772402,-3.172948271
S68C80M4//D18-1,"X:480302, Y:4465136",40.33653316,-3.231907006
S8DICRSO//D59-22,"X:483626, Y:4457755",40.27010752,-3.192584442
S89ANS5P//D59-19,"X:483434, Y:4458090",40.27312186,-3.194851319
S885QRIM//D59-18,"X:483383, Y:4458182",40.27394971,-3.19545357
S873TJ4G//D59-17,"X:483335, Y:4458268",40.27472355,-3.196020393
S8EUQ8WK//D59-26,"X:483688, Y:4457636",40.26903662,-3.191852198
S8B71UGX//D59-20,"X:483521, Y:4457936",40.27173614,-3.193824059
S8C3P1J7//D59-21,"X:483561, Y:4457865",40.27109727,-3.193351764
S68WEX0Q//D18-1-1CT,"X:480329, Y:4465101",40.33621848,-3.231588056
S5P2246G//D1,"X:479515, Y:4467835",40.36082999,-3.241259005
S85UOAUI//D42-1,"X:483280, Y:4462453",40.31242634,-3.196776653
S85AHD29//D37-1-3CT,"X:483252, Y:4463112",40.31836288,-3.197123446
S7PI254F//D59-3-1,"X:482627, Y:4459131",40.28248418,-3.204371532
S783DILX//189-6-1-CT,"X:481835, Y:4459851",40.28895404,-3.213708784
S7S2TH5D//D59-4,"X:482743, Y:4459138",40.28254965,-3.203007134
S7T5I6LW//D59-5,"X:482791, Y:4459073",40.28196503,-3.20244073
S7WF15FQ//D59-5-3,"X:482940, Y:4459172",40.28286001,-3.200690593
S7XG6WWF//D59-5-4-CT,"X:482987, Y:4459230",40.28338351,-3.200139239
S7VJ3FC1//D59-5-2,"X:482901, Y:4459133",40.28250785,-3.201148338
S7UGEPQA//D59-5-1,"X:482852, Y:4459089",40.28211044,-3.20172358
S86S4VRT//D37-1-X-1,"X:483321, Y:4463310",40.32014809,-3.196316489
S8I411LT//D37-6,"X:483834, Y:4463539",40.3222213,-3.19028416
S84NIXPC//D37-1,"X:483224, Y:4463265",40.31974073,-3.197457019
S8GBE6DU//D37-5,"X:483753, Y:4463503",40.3218954,-3.191236662
S8B6AK5T//D37-3,"X:483519, Y:4463398",40.32094484,-3.193988256
S8D5METU//D37-4,"X:483609, Y:4463439",40.32131599,-3.192929975
S89RV4VL//D37-2,"X:483457, Y:4463370",40.32069135,-3.194717293
S8Q7DWB0//D40-6,"X:484202, Y:4463053",40.31784985,-3.185940574
S8J1FLEQ//D40-4,"X:483876, Y:4463090",40.31817696,-3.189778469
S8N1M6RQ//D40-5,"X:484059, Y:4463016",40.31751379,-3.187622736
S8EPIACX//D40-3,"X:483681, Y:4463169",40.3188849,-3.192075611
S8TKM4BV//D40-7,"X:484357, Y:4463093",40.31821314,-3.184117231
S8005LC0//D54,"X:483011, Y:4460563",40.29539339,-3.199892284
S83RL7FF//D53,"X:483184, Y:4460704",40.29666719,-3.197860485
S7TF8XFQ//D55,"X:482804, Y:4460395",40.29387559,-3.202323314
S7NHWU4V//D58,"X:482535, Y:4459982",40.29014918,-3.205477004
S7K8FV77//D59,"X:482386, Y:4459752",40.28807391,-3.20722366
S7RO508P//D56,"X:482725, Y:4460272",40.29276582,-3.20324948
S7OJ4NLW//D57,"X:482582, Y:4460053",40.29078982,-3.204925981
S8BMQAWE//D40-2,"X:483541, Y:4462982",40.31719742,-3.193718596
S8065866//D36,"X:483019, Y:4463353",40.3205294,-3.199872236
S7URMHAB//D35,"X:482866, Y:4463426",40.32118395,-3.201675045
S7EULF2I//D31,"X:482143, Y:4463769",40.32425897,-3.210194618
S7KO6AMP//D32,"X:482407, Y:4463644",40.32313842,-3.207083654
S841T57R//D37,"X:483196, Y:4463252",40.31962305,-3.197786241
S7R0WCF7//D34,"X:482694, Y:4463508",40.32191917,-3.203701772
S7NGG35B//D33,"X:482533, Y:4463584",40.32260051,-3.205598902
S6WGD6QK//D26,"X:481397, Y:4464263",40.32869324,-3.218990101
S6TMKI7P//D25,"X:481269, Y:4464366",40.32961833,-3.220499896
S77KVV12//D29,"X:481812, Y:4463927",40.32567529,-3.214095288
S7ATNEM5//D30,"X:481960, Y:4463856",40.32503884,-3.212351152
S70SFJ8S//D27,"X:481504, Y:4464175",40.32790281,-3.217727984
S74SM4JO//D28,"X:481686, Y:4464029",40.32659147,-3.215581378
S6DKBCST//D20,"X:480539, Y:4464956",40.33491707,-3.229111312
S6MND6XT//D23,"X:480952, Y:4464622",40.33191752,-3.224239203
S6POMA23//D24,"X:481090, Y:4464510",40.33091162,-3.222611318
S6GW2MLG//D21,"X:480691, Y:4464833",40.33381246,-3.227318134
S6JOCF2T//D22,"X:480817, Y:4464732",40.33290544,-3.225831758
S68L7B9D//D18,"X:480313, Y:4465138",40.33655144,-3.231777564
S6B014RF//D19,"X:480421, Y:4465052",40.33577919,-3.23050344
SB4W7LQT//D59-79-1 CT,"X:487870, Y:4457372",40.26672924,-3.142661133
S7AAX8X3//189-7,"X:481936, Y:4459948",40.28983013,-3.212523278
S84NIXJ3//D38,"X:483224, Y:4463052",40.31782176,-3.197451428
S8530W8B//D40,"X:483243, Y:4462763",40.31521847,-3.197220227
S84WIA2F//D39,"X:483236, Y:4462922",40.3166508,-3.197306781
S865NLKC//D41,"X:483291, Y:4462543",40.3132374,-3.196649548
S86G5S8R//D42,"X:483305, Y:4462466",40.31254396,-3.196482771
S86JV1D6//D43,"X:483310, Y:4462315",40.31118366,-3.196419985
S856Q41I//D51,"X:483247, Y:4461075",40.3000109,-3.197128932
S84736GE//D52,"X:483202, Y:4460813",40.29764957,-3.197651556
S86WLITM//D46,"X:483327, Y:4461855",40.30703974,-3.196207925
S86ODNJ7//D44,"X:483316, Y:4462160",40.30978735,-3.196345329
S872CQ0G//D47,"X:483332, Y:4461719",40.30581458,-3.196145541
S8763X5V//D48,"X:483337, Y:4461604",40.30477861,-3.196083707
S86FECA3//D49,"X:483304, Y:4461414",40.30306619,-3.196467077
S85JGM0G//D50,"X:483264, Y:4461175",40.30091217,-3.196931514
S86UD7R5//D45,"X:483324, Y:4461950",40.30789556,-3.196245706
S88WOSRW//D44-2-CT,"X:483418, Y:4462117",40.30940198,-3.195143836
S62DF24C//D15,"X:480030, Y:4465763",40.34217547,-3.235128879
