name_aux,asset_type,num_H1_fail_prob
2,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.585217088
5,8EuTBN 630-24x/A_24/0.4_630_KONCAR,0.355963579
8,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.076883654
11,8EuTBNO 400-24x/A_24/0.4_400,0.820933852
13,3TBNv 630-24x/AF_24/0.4_630,0.617107114
14,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.513247744
15,8EuTBN 100-24x/A_24/0.4_100_KONCAR,0.147856211
19,8EuTBNO 630-24x/A_24/0.4_630_KONCAR,0.513247744
21,2TBN 160-12/A_10/0.4_160_KONCAR,0.798103482
24,3TBN 250-12/G_10/0.4_250_KONCAR,0.753403036
25,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.076883654
28,8EuTBN 630-24x/A_24/0.4_630_KONCAR,0.472707576
32,8EuTBN 250-24x/A_24/0.4_250_KONCAR,0.568289477
33,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.076883654
38,8EuTBN 160-24x/A_24/0.4_160_KONCAR,0.076883654
39,8EuTBNO 400-24x/A_24/0.4_400,0.076883654
42,8EuTBN 630-24x/A_24/0.4_630_KONCAR,0.585217088
44,8EuTBNO 400-24x/A_24/0.4_400,0.273850963
46,6TBNO 250-24x/AC_24/0.4_250_KONCAR,0.113079563
47,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.076883654
48,8ETBN 250-24x/A_24/0.4_250_KONCAR,0.585217088
51,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.451188364
52,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.405479452
53,8EuTBN 160-24x/A_24/0.4_160_KONCAR,0.076883654
54,8EuTBN 630-24x/A_24/0.4_630_KONCAR,0.568289477
55,3T 630-12_10/0.4_630_KONCAR,0.834701112
56,8EuTBN 160-24x/A_24/0.4_160_KONCAR,0.076883654
57,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.585217088
58,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.076883654
59,8EuTBN 250-24x/A_24/0.4_250_KONCAR,0.113079563
60,8EuTBN 400-24x/A_24/0.4_400_KONCAR,0.493383008
61,3TBNv 400-24x/B_24/0.4_400_KONCAR,0.686513819
62,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.113079563
73,3T 630-12_10/0.4_630_KONCAR,0
74_1,8EuTBN 630-24x/A_24/0.4_630,0.568289477
74_2,8EuTBNO 400-24x/A_24/0.4_400,0.076883654
81,8EuTBN 630-24x/A_24/0.4_630_KONCAR,0.381216608
88,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.147856211
12,8EuTBNO 250-24x/A_24/0.4_250_KONCAR,0.428790936
72,7TBN 250-12/A_10/0.4_250,0.820933852
