,Substation_ID,Field type,Age,Nominal_voltage,Rated_short-circuit_breaking_current,switchings_operations_2020
0,SUBST01,2,8,145,40.0,11
1,SUBST01,2,8,145,40.0,12
2,SUBST01,1,7,145,40.0,24
3,SUBST01,1,7,145,40.0,3
4,SUBST01,1,7,145,40.0,10
5,SUBST29,1,21,123,31.5,35
6,SUBST29,2,21,123,31.5,6
7,SUBST29,2,21,123,31.5,9
8,SUBST29,1,21,123,31.5,19
9,SUBST35,1,34,123,31.5,6
10,SUBST35,2,27,123,31.5,6
11,SUBST35,1,34,123,31.5,19
12,SUBST35,2,34,123,31.5,3
13,SUBST19,1,35,123,31.5,25
14,SUBST19,2,35,123,31.5,28
15,SUBST19,2,32,123,31.5,29
16,SUBST34,3,20,145,40.0,44
17,SUBST34,3,20,145,40.0,431
18,SUBST34,1,0,123,65.0,302
19,SUBST34,1,0,123,65.0,373
20,SUBST36,1,34,123,31.5,3
21,SUBST36,3,34,123,31.5,44
22,SUBST36,1,34,123,31.5,5
23,SUBST36,3,34,123,31.5,44
24,SUBST01,1,7,145,40.0,4
25,SUBST01,1,7,145,40.0,15
26,SUBST55,1,13,123,40.0,7
27,SUBST55,1,13,123,40.0,12
28,SUBST55,2,13,123,40.0,4
29,SUBST55,2,13,123,40.0,8
30,SUBST05,1,34,123,31.5,14
31,SUBST05,1,35,123,31.6,26
32,SUBST05,2,34,123,31.7,12
33,SUBST05,2,35,123,31.8,13
34,SUBST26,1,12,123,40.0,10
35,SUBST26,2,9,123,40.0,5
36,SUBST42,1,25,123,40.0,76
37,SUBST42,2,24,123,40.0,3
38,SUBST42,2,23,123,40.0,15
