name;H1_Clients affected;H2_ENS_in_fault;H3_Mean_load;H4_Failure_cost
SUBST34-SUBST29;19000.00;17.00;23.16;1974.00
SUBST29-SUBST01;10100.00;9.00;11.20;1045.00
SUBST19-SUBST01;13500.00;12.00;11.37;1394.00
SUBST36-SUBST01;6000.00;71.00;38.28;8245.00
SUBST35-SUBST36;13500.00;12.00;13.55;1394.00
SUBST34-SUBST35;4500.00;4.00;5.94;465.00
SUBST05-SUBST01;24800.00;22.00;14.49;2555.00
SUBST42-SUBST05;19000.00;17.00;7.79;1974.00
SUBST01-SUBST55;15000.00;14.00;12.56;1626.00
SUBST26-SUBST55;31500.00;28.00;13.42;3252.00
