PT_id;H1_Clients affected;H2_ENS_in_fault;H3_Mean_load (Y);H4_Failure_cost (?)
SUBST01-TR1;16300;19.3;10.374;2245
SUBST01- TR2;18600;14.8;11.862;1721
SUBST29-TR1;3700;4.3;4.062;500
SUBST29-TR2;7300;10.6;8.049;1233
SUBST35-TR1;9000;20.6;12.646;2396
SUBST35-TR2;0;0;0;0
SUBST19-TR1;1800;5.3;3.336;616
SUBST19-TR2;4200;11;7.938;1279
SUBST55-TR1;20000;4.9;4.734;570
SUBST55-TR2;4000;1.6;0.944;186
SUBST42-TR1;10400;17.3;10.378;2012
SUBST42-TR2;6600;7.4;6.605;861
SUBST26-TR1;21000;15.6;8.52;1814
SUBST05-TR1;25000;8.6;5.466;1000
SUBST05-TR2;18000;5.8;3.786;675
