PT_id;H1_age_years;H2_failure_probaility;H3_Age_dependent_unavailability;H4_load_over_50
SUBST01-TR1;3;0.113079563;0.00082382;29.30
SUBST01- TR2;3;0.113079563;0.000494483;34.00
SUBST29-TR1;53;0.879968371;0.005890329;0.00
SUBST29-TR2;51;0.869971289;0.003754661;0.00
SUBST35-TR1;8;0.273850963;0.003392694;4.38
SUBST35-TR2;51;0.869971289;0.004132968;0.00
SUBST19-TR1;32;0.7219627;0.000409627;0.00
SUBST19-TR2;36;0.763072241;0.000380137;0.00
SUBST55-TR1;8;0.273850963;0.00018082;0.00
SUBST55-TR2;42;0.813626024;0.000153349;0.00
SUBST42-TR1;21;0.568289477;0.000140221;14.22
SUBST42-TR2;8;0.273850963;0.000448225;7.64
SUBST26-TR1;22;0.585217088;0.000156012;0.42
SUBST05-TR1;25;0.632120559;0.005025304;0.54
SUBST05-TR2;14;0.428790936;0.003605023;0.09
