PT_id;H1_Maint_cycles_A(y);H2_Review_A(man/day);H3_Maint_cycles_B(y);H4_Review_B(man/day);H5_Maint_cycles_C(y);H6_Review_C(man/day)
SUBST01-TR1;1;8;3;16;6;24
SUBST01- TR2;1;8;3;16;6;24
SUBST29-TR1;1;8;3;16;6;24
SUBST29-TR2;1;8;3;16;6;24
SUBST35-TR1;1;8;3;16;6;24
SUBST35-TR2;1;8;3;16;6;24
SUBST19-TR1;1;8;3;16;6;24
SUBST19-TR2;1;8;3;16;6;24
SUBST55-TR1;1;8;3;16;6;24
SUBST55-TR2;1;8;3;16;6;24
SUBST42-TR1;1;8;3;16;6;24
SUBST42-TR2;1;8;3;16;6;24
SUBST26-TR1;1;8;3;16;6;24
SUBST05-TR1;1;8;3;16;6;24
SUBST05-TR2;1;8;3;16;6;24
