Matricula apoyo;Linea;Funci¢n del apoyo;Zona proteccion avifauna;Zona frecuentada;Tipo de aislante 1;N§ Aislantes;Mfe nombre formaci¢n arb¢rea;Mfe definici¢n;Forrado Puentes;Forrado Conductores;Disposici¢n del aislante C1;C¢digo material del Apoyo;C¢digo material Cruceta 2;C¢digo material Cruceta 1;Codigo material del aislante 1;Codigo de etiquetacion;Chapa Antiposado;Apoyo en tramo notificado peligroso;Antinidificaci¢n;Antiescala;Alargadera
SB65CXNO//D59-80 CT;NBZ708 NBZ708 8;FINAL DE LINEA;ZONA_B;SI;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;431756 CRUCETA SOPORTE TRAFO SOBRE APOYO METALICO;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;SB65CXNO;NO;SI;NO;SI;NO
S7LWSE9U//D59-3-5-2-CT;NBZ708 NBZ708 8;FINAL DE LINEA;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;431756 CRUCETA SOPORTE TRAFO SOBRE APOYO METALICO;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S7LWSE9U;NO;0;NO;SI;NO
S7ML9NUP//D59-3-5-1;NBZ708 NBZ708 8;ANGULO;no encontrado;SI;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;0;940162 CRUCETA HIERRO GALV.BP-15;400150 AISLADOR VIDRIO U40 BS;S7ML9NUP;NO;0;NO;SI;NO
S84J2977//D53-1;NBZ708 NBZ708 8;ANCLAJE;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;430300 APOYO METALICO C 2000 12 UNESA;L14 CRUCETA SOPORTE DE ELEMENTOS DE PROTECCION/CORTE;L04 CRUCETA RECTA H-35;400160 AISLADOR VIDRIO U70 BS;S84J2977;NO;0;NO;SI;NO
S95TCFBF//D37-20;NBZ708 NBZ708 8;FINAL DE LINEA;VEGAS. CUESTAS Y PARAMOS DEL SURESTE DE MADRID;DESCONOCIDO;0;;Choperas y plataneras de producci½n;A.F.M. (Riberas);NO;NO;AMARRE;205930 APOYO HORMIGON TUBULAR HVH 2500/13;0;;0;S95TCFBF;NO;0;NO;0;NO
S943H17G//D37-19;NBZ708 NBZ708 8;FINAL DE LINEA;no encontrado;DESCONOCIDO;0;;Choperas y plataneras de producci½n;A.F.M. (Riberas);NO;NO;AMARRE;205930 APOYO HORMIGON TUBULAR HVH 2500/13;0;;0;S943H17G;NO;0;NO;0;NO
S8K73W3V//D59-31-1-CT;NBZ708 NBZ708 8;FINAL DE LINEA;ZONA_B;NO;VIDRIO TEMPL;3;Pinares de pino carrasco;Bosque Plantaci½n;NO;NO;AMARRE;4 CELOSIA METALICA;L14 CRUCETA SOPORTE DE ELEMENTOS DE PROTECCION/CORTE;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S8K73W3V;NO;SI;NO;SI;NO
S7DAPFTG//189-3;NBZ708 NBZ708 8;FINAL DE LINEA;no encontrado;SI;VIDRIO TEMPL;2;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;430300 APOYO METALICO C 2000 12 UNESA;L14 CRUCETA SOPORTE DE ELEMENTOS DE PROTECCION/CORTE;430680 CRUCETA HORIZONTAL C-C1-35;400160 AISLADOR VIDRIO U70 BS;S7DAPFTG;NO;0;NO;SI;NO
S7AKO0K3//189-6;NBZ708 NBZ708 8;ANCLAJE;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;MENSULA DE SUSPENSION;4 CELOSIA METALICA;L12 CRUCETA DERIVACION SIMPLE;L08 CRUCETA TRIANGULO T-35;400150 AISLADOR VIDRIO U40 BS;S7AKO0K3;NO;0;NO;NO;NO
S7CN1LDA//189-4;NBZ708 NBZ708 8;ALINEACION;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;SUSPENDIDO;431480 APOYO HORMIGON HV 630 R 11 m.;0;430840 CRUCETA BOVEDA B-1;400160 AISLADOR VIDRIO U70 BS;S7CN1LDA;NO;0;NO;NO;NO
S7BSKRFB//189-5;NBZ708 NBZ708 8;ALINEACION;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;SUSPENDIDO;431490 APOYO HORMIGON HV 630 R 13 m.;0;430840 CRUCETA BOVEDA B-1;400160 AISLADOR VIDRIO U70 BS;S7BSKRFB;NO;0;NO;NO;NO
S7CKR95N//D59-3-11;NBZ708 NBZ708 8;FINAL DE LINEA;VEGAS. CUESTAS Y PARAMOS DEL SURESTE DE MADRID;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;L14 CRUCETA SOPORTE DE ELEMENTOS DE PROTECCION/CORTE;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S7CKR95N;NO;0;NO;SI;NO
S9362F3T//D37-18CT;NBZ708 NBZ708 8;FINAL DE LINEA;no encontrado;SI;POLIMERICO;3;Sin formaci½n arbolada;Artificial;NO;NO;AMARRE;4 CELOSIA METALICA;L14 CRUCETA SOPORTE DE ELEMENTOS DE PROTECCION/CORTE;1 SIN DATOS ESPECIFICOS;205954 AISLADOR COMPOSITE 20 KV;S9362F3T;NO;0;NO;SI;NO
S66F4H2C//D18-2;NBZ708 NBZ708 8;ANGULO;no encontrado;SI;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;0;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S66F4H2C;NO;0;NO;SI;NO
S651XKPV//D18-3;NBZ708 NBZ708 8;ANCLAJE;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;0;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S651XKPV;NO;0;NO;SI;NO
S84734ES//D59-14;NBZ708 NBZ708 8;ALINEACION;no encontrado;NO;VIDRIO TEMPL;2;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;SUSPENDIDO;2 HORMIGON;0;L01 CRUCETA BOVEDA B1/BR1/B2;400150 AISLADOR VIDRIO U40 BS;S84734ES;NO;0;NO;NO;NO
S85GGRDN//D59-15;NBZ708 NBZ708 8;ANGULO;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;0;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S85GGRDN;NO;0;NO;NO;NO
S82CXD65//D59-13;NBZ708 NBZ708 8;ANGULO;no encontrado;NO;VIDRIO TEMPL;3;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;AMARRE;4 CELOSIA METALICA;0;L04 CRUCETA RECTA H-35;400150 AISLADOR VIDRIO U40 BS;S82CXD65;NO;0;NO;NO;NO
S8646LTF//D59-16;NBZ708 NBZ708 8;ALINEACION;no encontrado;NO;VIDRIO TEMPL;2;Sin formaci½n arbolada;Agr­cola y prados artificiales;NO;NO;SUSPENDIDO CRUCE YUGOS;2 HORMIGON;L14 CRUCETA SOPORTE DE ELEMENTOS DE PROTECCION/CORTE;L01 CRUCETA BOVEDA B1/BR1/B2;400150 AISLADOR VIDRIO U40 BS;S8646LTF;NO;0;NO;SI;NO
SAAR4EJ8//D59-66;NBZ708 NBZ708 8;ANGULO;ZONA_B;NO;VIDRIO TEMPL;3;Pinares de pino carrasco;Bosque Plantaci½n;NO;NO;PICO DE PATO;4 CELOSIA METALICA;9 NO APLICA;L08 CRUCETA TRIANGULO T-35;400150 AISLADOR VIDRIO U40 BS;SAAR4EJ8;NO;SI;NO;NO;NO
