name;H1_important_customers;H2_Customers;H3_power contracted;H4_Cut_power
19A649;1;28;121992;0
19A650;0;38;128542;0
19A716;0;47;182267;0
19A754;0;1;43650;0
19P814;0;2;16696;0
28AGM9;1;52;234504;3080
28AIN3;0;8;26450;0
28AIQ3;0;22;78546;0
28AIQ4;0;12;48500;0
28ANG2;1;5;39496;38
28ANG4;0;6;14950;14
28ANG5;1;27;137796;75
28ANG8;0;19;70900;0
28ANH0;0;47;197555;0
28APE6;1;5;102600;102
28APE9;0;19;86506;136
28APF0;0;16;101420;287
28APF3;0;2;4070;4
28APF5;1;27;120276;487
28AQG2;0;45;163300;0
28ARM7;0;71;266549;0
28ARN3;0;23;90300;366
28CBC9;0;102;420602;0
28CCKN;0;102;518258;0
28CCWV;3;80;375571;0
28CDPG;0;37;165606;0
28CDR2;5;320;1229183;1768
28CDR3;0;95;319495;0
28CDR5;1;51;196000;239
28CFHW;1;50;265606;0
28CFHX;2;43;225448;147
28CFHY;1;45;189792;0
28CFHZ;0;58;271450;0
28CFKY;0;0;0;0
28CHHS;2;181;749856;964
28CHQD;3;202;817281;849
28CIA6;0;73;329128;55
28CIA7;1;67;333023;1160
28CIA8;0;86;356042;0
28CIA9;1;47;226281;67
28CIB0;1;70;310174;0
28CIB1;1;59;270850;0
28CIB2;0;69;302414;0
28CIB3;0;97;434432;73
28CIB4;0;95;409132;0
28CIB5;0;48;202750;23
28CIB9;0;0;0;0
28CIC8;0;29;127700;0
28CIC9;0;69;287356;0
28CIW1;1;111;499981;129
28CJF4;0;0;0;0
28CJKK;1;58;266469;0
28CLN4;0;123;537290;41
28CMFM;0;43;173521;184
28CNTW;3;124;477134;0
28CPYL;0;0;0;0
28CPYN;0;0;0;0
28CQPQ;0;217;828581;944
28CRQM;0;0;0;0
28CUB0;1;132;585935;183
28CVC5;0;2;14300;14
28CXN2;0;125;584368;158
28CYL3;0;90;353267;2340
28CZP5;1;49;384493;630
28PBLK;0;1;5000;0
28PBVP;1;1;183000;0
28PBZK;0;1;13200;0
28PCAT;0;1;1330000;0
28PCKK;1;1;60000;0
28PFQB;0;1;3450;0
28PJTZ;0;1;47000;0
28PLPZ;0;1;3900;0
28PNG6;0;1;8050;0
28PNG7;0;1;9900;0
28PNG9;0;1;19000;0
28PNNZ;0;1;6900;0
28PPE4;0;1;60000;0
28PPE7;0;1;3300;0
28PPF1;0;1;6600;0
28PPF2;0;1;70000;0
28PRQP;0;1;146000;0
28PSJ3;0;1;6600;0
28PST0;0;1;13200;0
28PTA3;0;1;30000;0
28PTM7;0;1;4400;0
28PTQ3;1;1;160000;0
28PVKN;0;1;6982;0
28PXC6;0;1;9900;0
28PYY2;0;1;49000;0
45ABP7;0;3;12400;0
45PCW7;1;1;100000;0
45PYY8;0;0;0;0
