trafo_id;power_line;forced_cooling;Special_risk;Total power installed (kVA);Modelo constructivo
28CIB3;CDO703;NO;NO;250;1 SIN DATOS ESPECIFICOS
28PTA3;CDO703;NO;NO;250;3 INTEMPERIE
28ARN3;CDO703;NO;NO;100;3 INTEMPERIE
28CIB9;CDO703;NO;NO;0;1 SIN DATOS ESPECIFICOS
28APE6;CDO703;NO;NO;160;3 INTEMPERIE
28APE9;CDO703;NO;NO;100;3 INTEMPERIE
28APF0;CDO703;NO;NO;100;3 INTEMPERIE
28APF5;CDO703;NO;NO;160;560370 TRAFO 160/17.5/15 B2 INTEMPERIE
45ABP7;CDO703;NO;NO;50;3 INTEMPERIE
28PXC6;CDO703;NO;NO;50;3 INTEMPERIE
28PPE4;CDO703;NO;NO;50;1 SIN DATOS ESPECIFICOS
28PYY2;CDO703;NO;NO;250;1 SIN DATOS ESPECIFICOS
45PCW7;CDO703;NO;NO;160;3 INTEMPERIE
28PBZK;CDO703;NO;NO;25;3 INTEMPERIE
28PST0;CDO703;NO;NO;50;3 INTEMPERIE
28PPE7;CDO703;NO;NO;15;3 INTEMPERIE
28PSJ3;CDO703;NO;NO;15;3 INTEMPERIE
28PPF2;CDO703;NO;NO;125;3 INTEMPERIE
28PPF1;CDO703;NO;NO;25;3 INTEMPERIE
28CIC9;CDO703;NO;NO;160;1 SIN DATOS ESPECIFICOS
28CIA9;CDO703;NO;NO;400;1 SIN DATOS ESPECIFICOS
28CIC8;CDO703;NO;NO;50;1 SIN DATOS ESPECIFICOS
28CCKN;CDO703;NO;NO;630;437683 CT COMP.2L1P TG  630KVA/15KV C/ENV.ME
28APF3;CDO703;NO;NO;100;3 INTEMPERIE
28CBC9;CDO703;NO;NO;250;1 SIN DATOS ESPECIFICOS
28CIA8;CDO703;NO;NO;400;1 SIN DATOS ESPECIFICOS
28CIA7;CDO703;NO;NO;400;1 SIN DATOS ESPECIFICOS
28CIB1;CDO703;NO;NO;400;1 SIN DATOS ESPECIFICOS
28CJF4;CDO703;NO;NO;0;1 SIN DATOS ESPECIFICOS
28CIB5;CDO703;NO;NO;160;1 SIN DATOS ESPECIFICOS
45PYY8;CDO703;NO;NO;75;1 SIN DATOS ESPECIFICOS
28PVKN;CDO703;NO;NO;25;3 INTEMPERIE
