Support_ID,H1_Circuits,H2_KPI_weighted_power,H3_Family,H4_nature_KPI,H5_Criticity,H6_defecs_severity_KPI,H7_Condition,H8_Risk
RPUDB12T//74-22-4,1,5.42,6,10,5.53,1,3.05,4.29
RPUWQIFO//74-22-5-CT,1,4.33,7,0,3.67,0,3.05,3.36
RPWULH1G//74-22-3,1,5.42,6,0,4.53,3,3.75,4.14
RQ0W7MUL//74-22-2,1,5.42,7,0,4.53,5,4.8,4.67
RQ2HC35J//74-27,1,6.5,6,10,6.4,0,2.7,4.55
RQ2NBO45//79,1,7.58,6,0,6.26,0,2.7,4.48
RQ2O32O0//74-26,1,6.5,7,10,6.4,0,3.05,4.73
RQ2O34P5//74-2-1-CT,1,4.33,6,0,3.67,0,2.7,3.18
RQ2O35AP//81,1,7.58,6,0,6.26,0,2.7,4.48
RQ2RSBDX//74-10-1-CT,1,4.33,6,0,3.67,0,2.7,3.18
RQ2TB80M//74-3,1,6.5,6,0,5.4,0,2.7,4.05
RQ2U2NH2//78,1,7.58,6,0,6.26,0,2.7,4.48
RQ2VJJ4Q//74-4,1,6.5,7,0,5.4,5,4.8,5.1
RQ2WAWCD//74-25,1,6.5,7,10,6.4,0,3.05,4.73
RQ2WB0PA//79-1-CT,1,5.41,6,0,4.53,1,3.05,3.79
RQ3227SQ//77,1,7.58,6,0,6.26,0,2.7,4.48
RQ351XNN//74-3-1-CT,1,4.33,6,0,3.67,0,2.7,3.18
RQ351XTF//74,1,7.58,6,0,6.27,0,2.7,4.48
RQ35REIC//74-6,1,6.5,7,0,5.4,5,4.8,5.1
RQ36IS0S//74-24,1,6.5,7,10,6.4,0,3.05,4.73
RQ36IS7R//74-22-1,1,5.42,6,0,4.53,5,4.45,4.49
RQ36ITU7//74-2,1,6.5,6,0,5.4,0,2.7,4.05
RQ37A8RE//74-28,1,6.5,6,10,6.4,5,4.45,5.43
RQ38R6MC//74-7,1,6.5,7,0,5.4,0,3.05,4.23
RQ38R73O//74-1,1,6.5,6,0,5.4,0,2.7,4.05
RQ38R785//76,1,7.58,6,0,6.27,0,2.7,4.48
RQ3D9RJP//74-23,1,6.5,7,10,6.4,0,3.05,4.73
RQ3E19WA//74-8,1,6.5,7,0,5.4,0,3.05,4.23
RQ3E1AI0//75,1,7.58,6,0,6.27,1,3.05,4.66
RQ3HQH2A//74-10,1,6.5,6,0,5.4,5,4.45,4.93
RQ3IHW6E//74-9,1,6.5,7,0,5.4,0,3.05,4.23
RQ3K0TFG//82,1,7.58,7,0,6.26,10,6.55,6.41
