index,Life Assessment,Total_Indicator
1,0.018,0.018
2,0.01,0.01
3,0.046,0.046
4,0.007,0.007
5,0.005,0.005
6,0.118,0.118
7,0.064,0.064
8,0.048,0.048
9,0.041,0.041
10,0.028,0.028
11,0.034,0.034
12,0.011,0.011
13,0.008,0.008
14,0.02,0.02
15,0.104,0.104
16,0.18,0.18
17,0.073,0.073
18,0.07,0.07
19,0.037,0.037
20,0.012,0.012
21,0.078,0.078
22,0.02,0.02
23,0.082,0.082
24,0.08,0.08
25,0.089,0.089
26,0.068,0.068
27,0.076,0.076
28,0.05,0.05
29,0.007,0.007
30,0.016,0.016
31,0.004,0.004
32,0.098,0.098
33,0.102,0.102
34,0.02,0.02
35,0.021,0.021
36,0.089,0.089
37,0.05,0.05
38,0.027,0.027
39,0.005,0.005
40,0.005,0.005
41,0.078,0.078
42,0.047,0.047
43,0.104,0.104
44,0.07,0.07
45,0.024,0.024
46,0.006,0.006
47,0.146,0.146
48,0.065,0.065
49,0.074,0.074
50,0.013,0.013
51,0.375,0.375
52,0.345,0.345
53,0.074,0.074
54,0.11,0.11
55,0.019,0.019
56,0.023,0.023
57,0.117,0.117
58,0.008,0.008
59,0.001,0.001
60,0.009,0.009
61,0.045,0.045
62,0.007,0.007
63,0.124,0.124
64,0.007,0.007
65,0.038,0.038
66,0.029,0.029
67,0.023,0.023
68,0.01,0.01
69,0.035,0.035
70,0.099,0.099
71,0.019,0.019
72,0.01,0.01
73,0.077,0.077
74,0.049,0.049
75,0.036,0.036
76,0.03,0.03
77,0.048,0.048
78,0.084,0.084
79,0.019,0.019
80,0.024,0.024
81,0.024,0.024
82,0.106,0.106
83,0.062,0.062
84,0.149,0.149
85,0.025,0.025
86,0.03,0.03
87,0.006,0.006
88,0.011,0.011
89,0.049,0.049
90,0.004,0.004
91,0.11,0.11
92,0.121,0.121
93,0.111,0.111
94,0.054,0.054
95,0.019,0.019
96,0.007,0.007
97,0.177,0.177
98,0.056,0.056
99,0.006,0.006
100,0.258,0.258
101,0.106,0.106
102,0.036,0.036
103,0.032,0.032
104,0.047,0.047
105,0.115,0.115
106,0.025,0.025
107,0.082,0.082
108,0.242,0.242
109,0.018,0.018
110,0.057,0.057
111,0.017,0.017
112,0.309,0.309
113,0.164,0.164
114,0.138,0.138
115,0.098,0.098
116,0.047,0.047
117,0.116,0.116
118,0.217,0.217
119,0.199,0.199
120,0.047,0.047
121,0.017,0.017
122,0.162,0.162
123,0.114,0.114
124,0.112,0.112
125,0.009,0.009
126,0.054,0.054
127,0.058,0.058
128,0.179,0.179
129,0.099,0.099
130,0.022,0.022
131,0.035,0.035
132,0.006,0.006
133,0.002,0.002
134,0.128,0.128
135,0.028,0.028
136,0.017,0.017
137,0.014,0.014
138,0.007,0.007
139,0.044,0.044
140,0.095,0.095
141,0.082,0.082
142,0.011,0.011
143,0.091,0.091
144,0.019,0.019
145,0.067,0.067
146,0.056,0.056
147,0.103,0.103
148,0.014,0.014
149,0.016,0.016
150,0.138,0.138
151,0.054,0.054
152,0.008,0.008
153,0.106,0.106
154,0.018,0.018
155,0.148,0.148
156,0.034,0.034
157,0.046,0.046
158,0.013,0.013
159,0.114,0.114
160,0.017,0.017
161,0.016,0.016
162,0.006,0.006
163,0.087,0.087
164,0.04,0.04
165,0.005,0.005
166,0.104,0.104
167,0.058,0.058
168,0.024,0.024
169,0.187,0.187
170,0.09,0.09
171,0.02,0.02
172,0.017,0.017
173,0.02,0.02
174,0.033,0.033
175,0.024,0.024
176,0.021,0.021
177,0.029,0.029
178,0.254,0.254
179,0.191,0.191
180,0.221,0.221
181,0.002,0.002
182,0.015,0.015
183,0.006,0.006
184,0.034,0.034
185,0.023,0.023
186,0.021,0.021
187,0.048,0.048
188,0.026,0.026
189,0.054,0.054
190,0.016,0.016
191,0.027,0.027
192,0.123,0.123
193,0.018,0.018
194,0.028,0.028
195,0.019,0.019
196,0.043,0.043
197,0.022,0.022
198,0.112,0.112
199,0.021,0.021
200,0.004,0.004
201,0.038,0.038
202,0.32,0.32
203,0.023,0.023
204,0.009,0.009
205,0.049,0.049
206,0.109,0.109
207,0.109,0.109
208,0.276,0.276
209,0.032,0.032
210,0.061,0.061
211,0.117,0.117
212,0.09,0.09
213,0.341,0.341
214,0.028,0.028
215,0.012,0.012
216,0.019,0.019
217,0.029,0.029
218,0.086,0.086
219,0.006,0.006
220,0.033,0.033
221,0.038,0.038
222,0.016,0.016
223,0.349,0.349
224,0.201,0.201
225,0.018,0.018
226,0.007,0.007
227,0.036,0.036
228,0.008,0.008
229,0.016,0.016
230,0.015,0.015
231,0.121,0.121
232,0.27,0.27
233,0.007,0.007
234,0.002,0.002
235,0.099,0.099
236,0.107,0.107
237,0.028,0.028
238,0.019,0.019
239,0.024,0.024
240,0.01,0.01
241,0.08,0.08
242,0.009,0.009
243,0.006,0.006
244,0.023,0.023
245,0.053,0.053
246,0.016,0.016
247,0.035,0.035
248,0.255,0.255
249,0.096,0.096
250,0.031,0.031
251,0.022,0.022
252,0.011,0.011
253,0.013,0.013
254,0.235,0.235
255,0.045,0.045
256,0.063,0.063
257,0.024,0.024
258,0.079,0.079
259,0.093,0.093
260,0.017,0.017
261,0.01,0.01
262,0.007,0.007
263,0.006,0.006
264,0.072,0.072
265,0.027,0.027
266,0.041,0.041
267,0.033,0.033
268,0.073,0.073
269,0.022,0.022
270,0.04,0.04
271,0.056,0.056
272,0.069,0.069
273,0.015,0.015
274,0.017,0.017
275,0.006,0.006
276,0.05,0.05
277,0.01,0.01
278,0.083,0.083
279,0.069,0.069
280,0.016,0.016
281,0.085,0.085
282,0.038,0.038
283,0.005,0.005
284,0.057,0.057
285,0.08,0.08
286,0.095,0.095
287,0.005,0.005
288,0.045,0.045
289,0.007,0.007
290,0.165,0.165
291,0.136,0.136
292,0.005,0.005
293,0.109,0.109
294,0.015,0.015
295,0.016,0.016
296,0.007,0.007
297,0.021,0.021
298,0.005,0.005
299,0.015,0.015
300,0.092,0.092
301,0.072,0.072
302,0.005,0.005
303,0.028,0.028
304,0.016,0.016
305,0.046,0.046
306,0.086,0.086
307,0.075,0.075
308,0.143,0.143
309,0.021,0.021
310,0.012,0.012
311,0.037,0.037
312,0.007,0.007
313,0.006,0.006
314,0.064,0.064
315,0.04,0.04
316,0.051,0.051
317,0.015,0.015
318,0.145,0.145
319,0.033,0.033
320,0.032,0.032
321,0.11,0.11
322,0.019,0.019
323,0.01,0.01
324,0.024,0.024
325,0.004,0.004
326,0.019,0.019
327,0.04,0.04
328,0.01,0.01
329,0.008,0.008
330,0.04,0.04
331,0.019,0.019
332,0.036,0.036
333,0.13,0.13
334,0.309,0.309
335,0.556,0.556
336,0.111,0.111
337,0.012,0.012
338,0.026,0.026
339,0.321,0.321
340,0.012,0.012
341,0.016,0.016
342,0.095,0.095
343,0.236,0.236
344,0.051,0.051
345,0.014,0.014
346,0.01,0.01
347,0.017,0.017
348,0.061,0.061
349,0.07,0.07
350,0.009,0.009
351,0.006,0.006
352,0.034,0.034
353,0.024,0.024
354,0.024,0.024
355,0.344,0.344
356,0.018,0.018
357,0.007,0.007
358,0.079,0.079
359,0.007,0.007
360,0.007,0.007
361,0.015,0.015
362,0.053,0.053
363,0.005,0.005
364,0.061,0.061
365,0.088,0.088
366,0.05,0.05
367,0.057,0.057
368,0.056,0.056
369,0.038,0.038
370,0.047,0.047
371,0.026,0.026
372,0.1,0.1
