index,Life Assessment,Total_Indicator
1,0.424,0.424
2,0.453,0.453
3,0.35,0.35
4,0.343,0.343
5,0.2,0.2
6,0.237,0.237
7,0.371,0.371
8,0.698,0.698
9,0.543,0.543
10,0.333,0.333
11,0.371,0.371
12,0.363,0.363
13,0.417,0.417
14,0.441,0.441
15,0.417,0.417
16,0.383,0.383
17,0.543,0.543
18,0.538,0.538
19,0.357,0.357
20,0.319,0.319
21,0.538,0.538
22,0.63,0.63
23,0.088,0.088
24,0.053,0.053
25,0.351,0.351
26,0.222,0.222
27,0.237,0.237
28,0.237,0.237
29,0.108,0.108
30,0.348,0.348
31,0.392,0.392
32,0.594,0.594
33,0.293,0.293
34,0.339,0.339
35,0.408,0.408
36,0.332,0.332
37,0.286,0.286
38,0.52,0.52
39,0.204,0.204
