index,Life Assessment,Total_Indicator
1,0.16,0.16
2,0.04,0.04
3,0.172,0.172
4,0.418,0.418
5,0.222,0.222
6,0.052,0.052
7,0.046,0.046
8,0.069,0.069
9,0.069,0.069
10,0.128,0.128
11,0.126,0.126
12,0.263,0.263
13,0.026,0.026
14,0.113,0.113
15,0.113,0.113
16,0.159,0.159
17,0.562,0.562
18,0.076,0.076
19,0.521,0.521
20,0.208,0.208
21,0.148,0.148
22,0.148,0.148
23,0.116,0.116
24,0.164,0.164
25,0.033,0.033
26,0.041,0.041
27,0.12,0.12
28,0.223,0.223
29,0.126,0.126
30,0.183,0.183
31,0.067,0.067
32,0.115,0.115
33,0.221,0.221
34,0.086,0.086
35,0.086,0.086
36,0.299,0.299
37,0.302,0.302
38,0.169,0.169
39,0.169,0.169
40,0.144,0.144
41,0.143,0.143
42,0.22,0.22
43,0.203,0.203
44,0.198,0.198
45,0.205,0.205
46,0.286,0.286
47,0.15,0.15
48,0.398,0.398
