index,Life Assessment,Total_Indicator
1,0.008,0.008
2,0.004,0.004
3,0.018,0.018
4,0.458,0.458
5,0.009,0.009
6,0.018,0.018
7,0.051,0.051
8,0.03,0.03
9,0.008,0.008
10,0.009,0.009
11,0.004,0.004
12,0.016,0.016
13,0.023,0.023
14,0.008,0.008
15,0.006,0.006
16,0.005,0.005
17,0.009,0.009
18,0.004,0.004
19,0.004,0.004
20,0.006,0.006
21,0.005,0.005
22,0.005,0.005
23,0.005,0.005
24,0.265,0.265
25,0.381,0.381
26,0.415,0.415
27,0.41,0.41
28,0.006,0.006
29,0.039,0.039
30,0.005,0.005
31,0.008,0.008
32,0.005,0.005
33,0.011,0.011
34,0.012,0.012
35,0.004,0.004
36,0.007,0.007
37,0.015,0.015
38,0.01,0.01
39,0.006,0.006
40,0.004,0.004
41,0.021,0.021
42,0.034,0.034
43,0.052,0.052
44,0.009,0.009
45,0.004,0.004
46,0.01,0.01
47,0.004,0.004
48,0.078,0.078
49,0.007,0.007
50,0.005,0.005
51,0.007,0.007
52,0.047,0.047
53,0.005,0.005
54,0.019,0.019
55,0.065,0.065
56,0.005,0.005
57,0.006,0.006
58,0.007,0.007
59,0.004,0.004
60,0.004,0.004
61,0.011,0.011
62,0.004,0.004
63,0.196,0.196
64,0.006,0.006
65,0.31,0.31
66,0.004,0.004
67,0.005,0.005
68,0.004,0.004
69,0.006,0.006
70,0.45,0.45
71,0.006,0.006
72,0.015,0.015
73,0.004,0.004
74,0.006,0.006
75,0.006,0.006
76,0.032,0.032
77,0.005,0.005
78,0.006,0.006
79,0.007,0.007
80,0.012,0.012
81,0.022,0.022
82,0.005,0.005
83,0.01,0.01
84,0.012,0.012
85,0.024,0.024
86,0.022,0.022
87,0.007,0.007
88,0.029,0.029
89,0.013,0.013
90,0.005,0.005
91,0.004,0.004
92,0.005,0.005
93,0.011,0.011
94,0.005,0.005
95,0.03,0.03
96,0.004,0.004
97,0.019,0.019
98,0.035,0.035
99,0.011,0.011
100,0.025,0.025
101,0.574,0.574
102,0.022,0.022
103,0.004,0.004
104,0.028,0.028
105,0.004,0.004
106,0.014,0.014
107,0.017,0.017
108,0.009,0.009
109,0.015,0.015
110,0.024,0.024
111,0.004,0.004
112,0.459,0.459
113,0.006,0.006
114,0.004,0.004
115,0.015,0.015
116,0.091,0.091
117,0.004,0.004
118,0.005,0.005
119,0.013,0.013
120,0.023,0.023
121,0.042,0.042
122,0.053,0.053
123,0.005,0.005
124,0.016,0.016
125,0.024,0.024
126,0.005,0.005
127,0.021,0.021
128,0.006,0.006
129,0.004,0.004
130,0.451,0.451
131,0.009,0.009
132,0.45,0.45
133,0.005,0.005
134,0.008,0.008
135,0.005,0.005
136,0.013,0.013
137,0.005,0.005
138,0.009,0.009
139,0.004,0.004
140,0.005,0.005
141,0.006,0.006
142,0.45,0.45
143,0.013,0.013
144,0.004,0.004
145,0.005,0.005
146,0.004,0.004
147,0.005,0.005
148,0.455,0.455
149,0.031,0.031
150,0.004,0.004
151,0.453,0.453
152,0.059,0.059
153,0.013,0.013
154,0.018,0.018
155,0.452,0.452
156,0.01,0.01
157,0.005,0.005
158,0.005,0.005
159,0.088,0.088
160,0.005,0.005
161,0.011,0.011
162,0.006,0.006
163,0.459,0.459
164,0,0
165,0.014,0.014
166,0.005,0.005
167,0.009,0.009
168,0.005,0.005
169,0.004,0.004
170,0.006,0.006
171,0.017,0.017
172,0.006,0.006
173,0.036,0.036
174,0.023,0.023
175,0.006,0.006
176,0.004,0.004
177,0.016,0.016
178,0.341,0.341
179,0.006,0.006
180,0.005,0.005
181,0.02,0.02
182,0.082,0.082
183,0.008,0.008
184,0.327,0.327
185,0.004,0.004
186,0.006,0.006
187,0.009,0.009
188,0.236,0.236
189,0.346,0.346
190,0.093,0.093
