index,Life Assessment,Total_Indicator
1,0.019,0.019
2,0.016,0.016
3,0.016,0.016
4,0.06,0.06
5,0.06,0.06
6,0.035,0.035
7,0.054,0.054
8,0.039,0.039
9,0.058,0.058
10,0.04,0.04
11,0.044,0.044
12,0.044,0.044
13,0.046,0.046
14,0.044,0.044
15,0.044,0.044
16,0.059,0.059
17,0.058,0.058
18,0.059,0.059
19,0.059,0.059
20,0.044,0.044
21,0.044,0.044
22,0.044,0.044
23,0.044,0.044
24,0.059,0.059
25,0.059,0.059
26,0.058,0.058
27,0.045,0.045
28,0.044,0.044
29,0.059,0.059
30,0.054,0.054
31,0.054,0.054
32,0.058,0.058
33,0.045,0.045
34,0.044,0.044
35,0.044,0.044
36,0.025,0.025
37,0.025,0.025
38,0.069,0.069
39,0.023,0.023
40,0.045,0.045
41,0.064,0.064
42,0.024,0.024
43,0.053,0.053
44,0.062,0.062
45,0.237,0.237
46,0.062,0.062
47,0.063,0.063
48,0.044,0.044
49,0.045,0.045
50,0.063,0.063
51,0.063,0.063
52,0.064,0.064
53,0.088,0.088
54,0.019,0.019
55,0.061,0.061
56,0.061,0.061
57,0.06,0.06
58,0.13,0.13
59,0.156,0.156
60,0.065,0.065
61,0.065,0.065
62,0.061,0.061
63,0.046,0.046
64,0.046,0.046
65,0.057,0.057
66,0.027,0.027
67,0.027,0.027
68,0.045,0.045
69,0.044,0.044
70,0.045,0.045
71,0.045,0.045
72,0.045,0.045
73,0.128,0.128
74,0.059,0.059
75,0.023,0.023
76,0.02,0.02
77,0.065,0.065
78,0.065,0.065
79,0.06,0.06
80,0.127,0.127
81,0.065,0.065
82,0.065,0.065
83,0.044,0.044
84,0.076,0.076
85,0.075,0.075
86,0.076,0.076
87,0.069,0.069
88,0.285,0.285
89,0.286,0.286
90,0.04,0.04
91,0.04,0.04
92,0.04,0.04
93,0.124,0.124
94,0.079,0.079
95,0.167,0.167
96,0.078,0.078
97,0.25,0.25
98,0.123,0.123
99,0.124,0.124
100,0.266,0.266
101,0.137,0.137
102,0.095,0.095
103,0.28,0.28
104,0.102,0.102
105,0.056,0.056
106,0.097,0.097
107,0.099,0.099
108,0.059,0.059
109,0.158,0.158
110,0.249,0.249
111,0.249,0.249
112,0.139,0.139
113,0.118,0.118
114,0.1,0.1
115,0.1,0.1
116,0.154,0.154
117,0.091,0.091
118,0.091,0.091
119,0.091,0.091
120,0.105,0.105
121,0.121,0.121
122,0.194,0.194
123,0.193,0.193
124,0.053,0.053
125,0.215,0.215
126,0.215,0.215
127,0.18,0.18
128,0.18,0.18
129,0.121,0.121
130,0.11,0.11
131,0.11,0.11
132,0.093,0.093
133,0.093,0.093
134,0.086,0.086
135,0.176,0.176
136,0.095,0.095
137,0.245,0.245
138,0.092,0.092
139,0.1,0.1
140,0.101,0.101
141,0.101,0.101
142,0.095,0.095
143,0.095,0.095
144,0.35,0.35
145,0.328,0.328
146,0.189,0.189
147,0.126,0.126
148,0.103,0.103
149,0.193,0.193
150,0.087,0.087
151,0.094,0.094
152,0.056,0.056
153,0.093,0.093
154,0.094,0.094
155,0.101,0.101
156,0.196,0.196
157,0.193,0.193
158,0.124,0.124
159,0.138,0.138
160,0.125,0.125
161,0.094,0.094
162,0.309,0.309
163,0.193,0.193
164,0.093,0.093
165,0.094,0.094
166,0.193,0.193
167,0.096,0.096
168,0.094,0.094
169,0.099,0.099
170,0.098,0.098
171,0.099,0.099
172,0.099,0.099
173,0.099,0.099
174,0.099,0.099
175,0.191,0.191
176,0.046,0.046
177,0.104,0.104
178,0.091,0.091
179,0.093,0.093
180,0.1,0.1
181,0.099,0.099
182,0.162,0.162
183,0.166,0.166
184,0.099,0.099
185,0.053,0.053
186,0.053,0.053
187,0.053,0.053
188,0.168,0.168
189,0.092,0.092
190,0.093,0.093
191,0.091,0.091
192,0.103,0.103
193,0.098,0.098
194,0.153,0.153
195,0.094,0.094
196,0.092,0.092
197,0.193,0.193
198,0.31,0.31
199,0.193,0.193
200,0.086,0.086
201,0.122,0.122
202,0.091,0.091
203,0.042,0.042
204,0.041,0.041
205,0.094,0.094
206,0.094,0.094
207,0.092,0.092
208,0.092,0.092
209,0.093,0.093
210,0.093,0.093
211,0.18,0.18
212,0.18,0.18
213,0.093,0.093
214,0.093,0.093
215,0.194,0.194
216,0.094,0.094
217,0.1,0.1
218,0.1,0.1
219,0.092,0.092
220,0.092,0.092
221,0.099,0.099
222,0.099,0.099
223,0.194,0.194
224,0.193,0.193
225,0.099,0.099
226,0.099,0.099
227,0.099,0.099
228,0.092,0.092
229,0.104,0.104
230,0.358,0.358
231,0.359,0.359
232,0.357,0.357
233,0.357,0.357
234,0.36,0.36
235,0.36,0.36
236,0.618,0.618
237,0.359,0.359
238,0.45,0.45
239,0.363,0.363
240,0.508,0.508
241,0.361,0.361
242,0.622,0.622
243,0.479,0.479
244,0.355,0.355
245,0.354,0.354
246,0.422,0.422
247,0.479,0.479
248,0.364,0.364
249,0.354,0.354
250,0.353,0.353
251,0.354,0.354
252,0.36,0.36
253,0.354,0.354
254,0.364,0.364
255,0.363,0.363
256,0.453,0.453
257,0.453,0.453
258,0.354,0.354
259,0.621,0.621
260,0.359,0.359
261,0.361,0.361
262,0.361,0.361
263,0.36,0.36
264,0.363,0.363
265,0.363,0.363
266,0.36,0.36
267,0.361,0.361
268,0.451,0.451
269,0.36,0.36
270,0.36,0.36
271,0.45,0.45
272,0.451,0.451
273,0.45,0.45
274,0.363,0.363
275,0.422,0.422
276,0.36,0.36
277,0.36,0.36
278,0.36,0.36
279,0.421,0.421
280,0.362,0.362
281,0.365,0.365
282,0.246,0.246
283,0.279,0.279
284,0.391,0.391
285,0.082,0.082
286,0.169,0.169
287,0.387,0.387
288,0.387,0.387
289,0.364,0.364
290,0.364,0.364
291,0.364,0.364
292,0.359,0.359
293,0.385,0.385
294,0.183,0.183
295,0.363,0.363
296,0.655,0.655
297,0.135,0.135
298,0.362,0.362
299,0.362,0.362
300,0.359,0.359
301,0.451,0.451
302,0.359,0.359
303,0.36,0.36
304,0.362,0.362
305,0.349,0.349
306,0.36,0.36
307,0.476,0.476
308,0.36,0.36
309,0.411,0.411
310,0.358,0.358
311,0.359,0.359
312,0.013,0.013
313,0.029,0.029
314,0.018,0.018
315,0.018,0.018
316,0.161,0.161
317,0.021,0.021
318,0.275,0.275
319,0.007,0.007
320,0.004,0.004
321,0.003,0.003
322,0.007,0.007
323,0.007,0.007
324,0.008,0.008
325,0.068,0.068
326,0.016,0.016
327,0.033,0.033
328,0.038,0.038
329,0.039,0.039
330,0.098,0.098
331,0.31,0.31
332,0.055,0.055
333,0.244,0.244
334,0.244,0.244
335,0.092,0.092
336,0.098,0.098
337,0.094,0.094
338,0.334,0.334
339,0.09,0.09
340,0.099,0.099
341,0.099,0.099
342,0.451,0.451
343,0.092,0.092
344,0.013,0.013
345,0.008,0.008
346,0.008,0.008
347,0.062,0.062
348,0.115,0.115
349,0.062,0.062
350,0.018,0.018
351,0.029,0.029
352,0.034,0.034
353,0.018,0.018
354,0.113,0.113
355,0.115,0.115
356,0.024,0.024
357,0.049,0.049
358,0.024,0.024
359,0.237,0.237
360,0.237,0.237
361,0.237,0.237
362,0.237,0.237
363,0.237,0.237
364,0.221,0.221
365,0.007,0.007
366,0.007,0.007
367,0.007,0.007
368,0.007,0.007
369,0.012,0.012
370,0.008,0.008
371,0.008,0.008
372,0.008,0.008
373,0.008,0.008
374,0.06,0.06
375,0.362,0.362
376,0.351,0.351
377,0.365,0.365
378,0.363,0.363
379,0.056,0.056
380,0.036,0.036
381,0.026,0.026
382,0.026,0.026
383,0.026,0.026
384,0.024,0.024
385,0.057,0.057
386,0.057,0.057
387,0.036,0.036
388,0.008,0.008
389,0.025,0.025
390,0.024,0.024
391,0.024,0.024
392,0.024,0.024
393,0.024,0.024
394,0.007,0.007
395,0.024,0.024
396,0.111,0.111
397,0.025,0.025
398,0.026,0.026
399,0.025,0.025
400,0.025,0.025
401,0.112,0.112
402,0.112,0.112
403,0.087,0.087
404,0.087,0.087
405,0.025,0.025
406,0.023,0.023
407,0.023,0.023
408,0.098,0.098
409,0.087,0.087
410,0.087,0.087
411,0.023,0.023
412,0.025,0.025
413,0.036,0.036
414,0.025,0.025
415,0.025,0.025
416,0.008,0.008
417,0.007,0.007
418,0.035,0.035
419,0.035,0.035
420,0.036,0.036
421,0.037,0.037
422,0.024,0.024
423,0.024,0.024
424,0.113,0.113
425,0.113,0.113
426,0.113,0.113
427,0.116,0.116
428,0.116,0.116
429,0.268,0.268
430,0.209,0.209
431,0.268,0.268
432,0.113,0.113
433,0.113,0.113
434,0.068,0.068
435,0.111,0.111
436,0.037,0.037
437,0.037,0.037
438,0.06,0.06
439,0.06,0.06
440,0.008,0.008
441,0.025,0.025
442,0.111,0.111
443,0.111,0.111
444,0.26,0.26
445,0.038,0.038
446,0.038,0.038
447,0.112,0.112
