Support_ID,ECONOMIC IMPACT,LIFE ASSESSMENT,MAINTENANCE STRATGY,TOTAL INDICATOR
RPUDB12T//74-22-4,0.549,0.498,0.625,0.557
RPUWQIFO//74-22-5-CT,0.034,0.212,0.0,0.082
RPWULH1G//74-22-3,0.209,0.424,0.708,0.447
RQ0W7MUL//74-22-2,0.269,0.498,0.458,0.409
RQ2HC35J//74-27,0.604,0.637,0.0,0.413
RQ2NBO45//79,0.288,0.676,0.0,0.321
RQ2O32O0//74-26,0.604,0.662,0.0,0.422
RQ2O34P5//74-2-1-CT,0.034,0.187,0.0,0.073
RQ2O35AP//81,0.288,0.676,0.0,0.321
RQ2RSBDX//74-10-1-CT,0.034,0.187,0.0,0.073
RQ2TB80M//74-3,0.204,0.514,0.0,0.239
RQ2U2NH2//78,0.288,0.676,0.0,0.321
RQ2VJJ4Q//74-4,0.354,0.662,0.625,0.547
RQ2WAWCD//74-25,0.604,0.662,0.0,0.422
RQ2WB0PA//79-1-CT,0.148,0.374,0.458,0.327
RQ3227SQ//77,0.288,0.676,0.0,0.321
RQ351XNN//74-3-1-CT,0.034,0.187,0.0,0.073
RQ351XTF//74,0.288,0.677,0.0,0.322
RQ35REIC//74-6,0.354,0.662,0.458,0.491
RQ36IS0S//74-24,0.604,0.662,0.0,0.422
RQ36IS7R//74-22-1,0.269,0.473,0.458,0.4
RQ36ITU7//74-2,0.204,0.514,0.0,0.239
RQ37A8RE//74-28,0.754,0.76,0.625,0.713
RQ38R6MC//74-7,0.204,0.539,0.0,0.247
RQ38R73O//74-1,0.204,0.514,0.0,0.239
RQ38R785//76,0.288,0.677,0.0,0.322
RQ3D9RJP//74-23,0.604,0.662,0.0,0.422
RQ3E19WA//74-8,0.204,0.539,0.0,0.247
RQ3E1AI0//75,0.318,0.702,0.292,0.437
RQ3HQH2A//74-10,0.354,0.637,0.625,0.539
RQ3IHW6E//74-9,0.204,0.539,0.0,0.247
RQ3K0TFG//82,0.588,0.947,0.75,0.762
RQ3M949X//74-22,0.204,0.539,0.0,0.247
RQ3OHGEU//74-11,0.204,0.539,0.0,0.247
RQ3TPIUD//74-21,0.354,0.662,0.292,0.436
RQ3TPJNW//74-12,0.204,0.539,0.0,0.247
RQ4087VA//74-13,0.204,0.539,0.458,0.4
RQ44OTL4//74-20,0.354,0.662,0.0,0.338
RQ44OU50//74-14,0.204,0.539,0.0,0.247
RQ4AOEG4//74-15,0.204,0.539,0.0,0.247
RQ4C7A7X//74-19,0.204,0.514,0.0,0.239
RQ4CWPID//74-16,0.204,0.539,0.0,0.247
RQ4CWRDB//83,0.318,0.701,0.292,0.437
RQ4HFDQA//74-17,0.204,0.539,0.0,0.247
RQ4KF5UF//74-18,0.204,0.539,0.0,0.247
RQ4O6CAL//74-29,0.604,0.637,0.0,0.413
RQ4RVMH0//84,0.287,0.675,0.0,0.321
RQ52UWT5//80-1-CT,0.118,0.35,0.0,0.156
RQ5BU910//73,0.288,0.702,0.0,0.33
RQ5HTS99//85,0.287,0.675,0.0,0.321
RQ61SCFJ//74-30,0.664,0.686,0.75,0.7
RQ6M1DXH//86,0.287,0.675,0.0,0.321
RQ6R9HBI//86-1-CT,0.118,0.349,0.0,0.156
RQ7JG075//87,0.287,0.675,0.0,0.321
RQ7SF9TF//72,0.289,0.702,0.0,0.33
RQ82N36S//74-31,0.634,0.686,0.625,0.648
RQ82N3G8//74-33-5,0.549,0.399,0.625,0.524
RQ8AUX4A//74-33-6-CT,0.464,0.236,0.625,0.442
RQ8EM99R//88,0.347,0.725,0.417,0.496
RQ8UCGAG//74-33-4,0.819,0.744,1.0,0.854
RQ9PISCN//89,0.287,0.7,0.0,0.329
RQ9W9OJR//74-32,0.904,0.908,0.75,0.854
RQA9HCG7//74-33-3,0.819,0.744,0.625,0.729
RQAA8TM4//71,0.289,0.702,0.0,0.33
RQAKP3CS//90,0.287,0.675,0.0,0.321
RQAUFPTH//74-33-2,0.819,0.744,0.875,0.813
RQB7NGUI//91,0.287,0.675,0.0,0.321
RQBDN1ED//92-CT,0.203,0.511,0.0,0.238
RQBMM8KX//74-33-1,0.579,0.424,0.583,0.529
RQBQDFTA//74-33,0.784,0.785,0.75,0.773
RQCQ2FER//70,0.319,0.727,0.292,0.446
RQE5WOGE//74-34,0.634,0.686,0.625,0.648
RQFGTBSJ//69,0.289,0.702,0.0,0.33
RQFQK18D//74-35,0.634,0.686,0.625,0.648
RQHIFFCM//74-36,0.664,0.686,0.583,0.644
RQHUEI6N//74-37-CT,0.519,0.474,0.0,0.331
RQI6UR6H//68,0.289,0.678,0.0,0.322
RQJ7B5LL//68-1,0.204,0.539,0.0,0.248
RQK7030R//68-2,0.204,0.539,0.0,0.248
RQKTFCF1//67,0.289,0.702,0.0,0.33
RQL85UHJ//68-3,0.204,0.539,0.0,0.248
RQMA3527//68-4,0.204,0.539,0.0,0.248
RQMVQX85//66-1-CT,0.119,0.253,0.0,0.124
RQN6Q9V3//66,0.319,0.702,0.292,0.438
RQN6QA89//68-5,0.204,0.514,0.0,0.24
RQQ6IGW0//65,0.319,0.727,0.292,0.446
RQSVBDBP//64,0.319,0.728,0.292,0.446
RQVKLDLX//63,0.289,0.703,0.0,0.331
RQX20JL3//59-19-CT,0.12,0.352,0.0,0.157
RQXM7I3A//59-18,0.204,0.54,0.0,0.248
RR09VDW6//62,0.29,0.704,0.0,0.331
RR0BE8R1//59-17,0.504,0.787,0.75,0.68
RR0XTIF1//59-16,0.234,0.565,0.292,0.364
RR1K2GVE//59-15,0.234,0.565,0.292,0.364
RR24QJAE//59-14,0.504,0.787,0.458,0.583
RR2KGTFU//59-13,0.234,0.565,0.292,0.364
RR30OABW//61,0.29,0.704,0.0,0.331
RR356VST//59-12,0.234,0.565,0.292,0.364
RR3NV07V//59-11,0.234,0.565,0.292,0.364
RR4ATDQC//59-10,0.204,0.516,0.0,0.24
RR4MSGN9//59-9,0.204,0.516,0.0,0.24
RR5H9AOR//59-8,0.204,0.54,0.0,0.248
RR5OPPNV//60,0.29,0.679,0.0,0.323
RR6FFC1D//59-7,0.204,0.516,0.0,0.24
RR6GW843//59-7-1-CT,0.034,0.188,0.0,0.074
RR7L3RTG//59-6,0.204,0.54,0.0,0.248
RR8NQHGC//59-5,0.204,0.516,0.0,0.24
RR9JO7KN//59-4,0.204,0.516,0.0,0.24
RR9L73WC//59,0.29,0.704,0.0,0.331
RR9U6EJ3//59-1,0.204,0.516,0.0,0.24
RRAB59FH//59-3-A1,0.12,0.352,0.0,0.157
RRAPCNEN//59-3,0.234,0.54,0.292,0.355
RRAVC7SP//59-3-B1,0.12,0.229,0.292,0.213
RRBTI956//59-2,0.234,0.54,0.0,0.258
RRDA61MW//58,0.29,0.704,0.0,0.331
RRH7CSX5//57,0.29,0.679,0.0,0.323
RRKD4KI7//56,0.29,0.704,0.0,0.331
RRNHDFXP//55,0.29,0.704,0.0,0.331
RRQJE09U//54,0.29,0.679,0.0,0.323
RRRUAJIN//53,0.29,0.704,0.0,0.331
RRTA6V0M//52,0.321,0.729,0.292,0.447
RRULSVBA//51,0.291,0.706,0.0,0.332
RRVUH5EV//50,0.441,0.804,0.458,0.568
RRXRKN1Q//49,0.291,0.706,0.0,0.332
RS1HX76K//48,0.291,0.681,0.0,0.324
RS29E92M//47,0.291,0.706,0.0,0.332
RS30TAWM//46,0.291,0.681,0.0,0.324
RS40I8FR//45,0.291,0.681,0.0,0.324
RS53WD64//44,0.291,0.682,0.0,0.324
RT82CO7C//D34-3,0.206,0.519,0.0,0.242
RT8L2QFF//D34-2,0.206,0.519,0.0,0.242
RT9A9GXW//D34-1,0.206,0.519,0.0,0.242
RTIES7OX//D31-1-CT,0.121,0.355,0.0,0.159
RVWXPSPU//D6-1-CT,0.122,0.357,0.0,0.16
SR2JKGWT/80,0.295,0.664,0.0,0.32
SR31ARAI//74-5,0.204,0.539,0.0,0.247
S5OHC14B//D8,0.263,0.505,0.0,0.256
S5OKBRG7//D7,0.269,0.614,0.0,0.294
S5ONBJQT//D6,0.274,0.624,0.0,0.299
S5OQBC3W//D5,0.279,0.634,0.0,0.304
S5OSJNC8//D4,0.284,0.644,0.0,0.309
S5OVJFN8//D3,0.289,0.653,0.0,0.314
S5OWAURA//D2X2,0.152,0.316,0.0,0.156
S5P2246G//D1,0.3,0.674,0.0,0.325
S5PE16WJ//D2,0.295,0.59,0.0,0.295
S5PFI312//D2X1,0.152,0.316,0.0,0.156
S5QI6POO//D9,0.258,0.496,0.0,0.251
S5S3B69E//D10,0.253,0.485,0.0,0.246
S5TGG2EI//D11,0.248,0.475,0.0,0.241
S5VC2NN1//D12,0.243,0.564,0.0,0.269
S5WXFFCR//D13,0.237,0.456,0.0,0.231
S61G0G0W//D14,0.233,0.445,0.0,0.226
S62DF24C//D15,0.227,0.46,0.0,0.229
S62H68M6//D18-5CT,0.236,0.575,0.0,0.27
S63NK5H8//D18-4,0.236,0.575,0.0,0.27
S644J141//D16,0.222,0.45,0.0,0.224
S651XKPV//D18-3,0.266,0.6,0.458,0.441
S66F4H2C//D18-2,0.236,0.575,0.0,0.27
S68C80M4//D18-1,0.236,0.575,0.0,0.27
S68L7B9D//D18,0.211,0.504,0.0,0.239
S68WEX0Q//D18-1-1CT,0.168,0.347,0.0,0.172
S69FM59I//D17,0.217,0.415,0.0,0.211
S6B014RF//D19,0.207,0.396,0.0,0.201
S6DKBCST//D20,0.201,0.386,0.0,0.196
S6GW2MLG//D21,0.196,0.376,0.0,0.19
S6JOCF2T//D22,0.191,0.366,0.0,0.186
S6MND6XT//D23,0.186,0.356,0.0,0.18
S6POMA23//D24,0.181,0.347,0.0,0.176
S6TMKI7P//D25,0.175,0.434,0.0,0.203
S6WGD6QK//D26,0.17,0.326,0.0,0.165
S6X7S4UK//189-15-CT,0.157,0.425,0.0,0.194
S6XPQQ6E//189-14,0.224,0.553,0.0,0.259
S7058P58//189-13,0.224,0.553,0.0,0.259
S70SFJ8S//D27,0.165,0.415,0.0,0.194
S71467HF//189-12,0.374,0.676,0.458,0.503
S71G5AC8//189-11,0.224,0.553,0.0,0.259
S73NP0J2//189-10,0.224,0.553,0.0,0.259
S74SM4JO//D28,0.16,0.306,0.0,0.155
S75OJP8F//189-9,0.224,0.553,0.0,0.259
S77KVV12//D29,0.155,0.297,0.0,0.151
S78157MX//189-8,0.224,0.553,0.0,0.259
S783DILX//189-6-1-CT,0.092,0.298,0.0,0.13
S7AAX8X3//189-7,0.224,0.553,0.0,0.259
S7AKO0K3//189-6,0.224,0.553,0.0,0.259
S7ALFFNX//189-7-1,0.157,0.425,0.0,0.194
S7ATNEM5//D30,0.15,0.287,0.0,0.145
S7BSKRFB//189-5,0.224,0.578,0.0,0.267
S7CKR95N//D59-3-11,0.165,0.44,0.0,0.202
S7CN1LDA//189-4,0.224,0.578,0.0,0.267
S7CT14OH//D59-3-10-1-CT,0.031,0.182,0.0,0.071
S7CWQBXF//D59-3-10,0.165,0.44,0.0,0.202
S7DAPFTG//189-3,0.224,0.454,0.0,0.226
S7DXW5GE//D59-3-9,0.165,0.44,0.0,0.202
S7EULF2I//D31,0.144,0.276,0.0,0.14
S7FUA7XL//D59-3-8,0.165,0.44,0.0,0.202
S7I8CKKC//D59-3-7,0.165,0.465,0.0,0.21
S7K3X81U//D59-3-6,0.165,0.44,0.0,0.202
S7K8FV77//D59,0.0,0.097,0.458,0.185
S7KO6AMP//D32,0.139,0.267,0.0,0.135
S7LWSE9U//D59-3-5-2-CT,0.031,0.182,0.0,0.071
S7M72A6O//D59-3-3,0.165,0.44,0.0,0.202
S7MARHA0//D59-3-5,0.165,0.44,0.0,0.202
S7MBIWHE//D59-3-3-1-CT,0.031,0.182,0.0,0.071
S7ML9NUP//D59-3-5-1,0.099,0.311,0.0,0.136
S7N5XQHB//D59-3-2,0.165,0.44,0.0,0.202
S7NGG35B//D33,0.134,0.256,0.0,0.13
S7NHWU4V//D58,0.005,0.008,0.0,0.004
S7NTVW28//D59-3-4,0.165,0.44,0.0,0.202
S7OJ4NLW//D57,0.01,0.116,0.0,0.042
S7OPTMG9//D59-1,0.233,0.446,0.0,0.226
S7PI254F//D59-3-1,0.165,0.44,0.0,0.202
