name,LIFE ASSESSMENT,MAINTENANCE STRATGY,ECONOMIC IMPACT,TOTAL INDICATOR
2,0.467,0.426,0.431,0.442
5,0.399,0.477,0.512,0.463
8,0.139,0.623,0.4,0.387
11,0.588,0.4,0.342,0.443
13,0.449,0.26,0.057,0.255
14,0.381,0.404,0.362,0.383
15,0.101,0.485,0.15,0.245
19,0.591,0.541,0.652,0.595
21,0.492,0.318,0.08,0.297
24,0.468,0.392,0.242,0.367
25,0.088,0.647,0.32,0.352
28,0.491,0.336,0.693,0.506
32,0.409,0.38,0.343,0.377
33,0.108,0.569,0.29,0.322
38,0.072,0.529,0.205,0.269
39,0.163,0.842,0.682,0.562
42,0.594,0.357,0.371,0.441
44,0.226,0.808,0.611,0.548
46,0.14,0.402,0.055,0.199
47,0.123,0.617,0.169,0.303
48,0.386,0.8,0.551,0.579
51,0.322,0.385,0.375,0.361
52,0.331,0.299,0.641,0.424
53,0.075,0.662,0.255,0.33
54,0.491,0.355,0.32,0.389
55,0.543,0.535,0.191,0.423
56,0.067,0.555,0.19,0.27
57,0.383,0.392,0.371,0.382
58,0.16,0.4,0.337,0.299
59,0.167,0.563,0.286,0.339
60,0.449,0.201,0.252,0.301
61,0.373,0.357,0.079,0.27
62,0.163,0.468,0.236,0.289
73,0.047,0.461,0.062,0.19
74_1,0.522,0.355,0.353,0.41
74_2,0.128,0.646,0.259,0.344
81,0.25,0.255,0.064,0.19
88,0.079,0.405,0.063,0.182
12,0.573,0.509,0.506,0.529
72,0.647,0.509,0.432,0.529
