index,Life Assessment,Total_Indicator
1,0.559,0.559
2,0.558,0.558
3,0.271,0.271
4,0.271,0.271
5,0.173,0.173
6,0.173,0.173
7,0.081,0.081
8,0.09,0.09
9,0.036,0.036
10,0.036,0.036
11,0.159,0.159
12,0.159,0.159
13,0.175,0.175
14,0.124,0.124
15,0.271,0.271
16,0.271,0.271
17,0.251,0.251
18,0.209,0.209
19,0.025,0.025
20,0.025,0.025
21,0.169,0.169
22,0.169,0.169
23,0.294,0.294
24,0.294,0.294
25,0.147,0.147
26,0.117,0.117
27,0.19,0.19
28,0.219,0.219
29,0.07,0.07
30,0.07,0.07
31,0.207,0.207
32,0.205,0.205
33,0.114,0.114
34,0.114,0.114
35,0.084,0.084
36,0.143,0.143
37,0.143,0.143
38,0.084,0.084
39,0.133,0.133
40,0.133,0.133
41,0.037,0.037
42,0.031,0.031
43,0.055,0.055
44,0.055,0.055
45,0.068,0.068
46,0.059,0.059
47,0.102,0.102
48,0.185,0.185
49,0.132,0.132
50,0.132,0.132
51,0.077,0.077
52,0.095,0.095
53,0.085,0.085
54,0.085,0.085
55,0.081,0.081
56,0.081,0.081
57,0.091,0.091
58,0.096,0.096
59,0.097,0.097
60,0.097,0.097
61,0.092,0.092
62,0.092,0.092
63,0.044,0.044
64,0.043,0.043
65,0.078,0.078
66,0.078,0.078
67,0.086,0.086
68,0.086,0.086
69,0.084,0.084
70,0.085,0.085
71,0.078,0.078
72,0.073,0.073
73,0.074,0.074
74,0.073,0.073
75,0.109,0.109
76,0.109,0.109
77,0.131,0.131
78,0.071,0.071
79,0.061,0.061
80,0.091,0.091
81,0.127,0.127
82,0.081,0.081
83,0.081,0.081
84,0.061,0.061
85,0.075,0.075
86,0.063,0.063
87,0.063,0.063
88,0.075,0.075
89,0.173,0.173
90,0.147,0.147
91,0.104,0.104
92,0.104,0.104
93,0.097,0.097
94,0.097,0.097
95,0.071,0.071
96,0.071,0.071
97,0.546,0.546
98,0.546,0.546
99,0.043,0.043
100,0.011,0.011
