,Life Assessment,Total_Indicator
1,0.559,0.559
2,0.558,0.558
3,0.272,0.272
4,0.272,0.272
5,0.174,0.174
6,0.174,0.174
7,0.083,0.083
8,0.092,0.092
9,0.037,0.037
10,0.037,0.037
11,0.159,0.159
12,0.159,0.159
13,0.177,0.177
14,0.125,0.125
15,0.299,0.299
16,0.299,0.299
17,0.276,0.276
18,0.21,0.21
19,0.025,0.025
20,0.025,0.025
21,0.17,0.17
22,0.17,0.17
23,0.301,0.301
24,0.301,0.301
25,0.143,0.143
26,0.114,0.114
27,0.191,0.191
28,0.221,0.221
29,0.068,0.068
30,0.069,0.069
31,0.226,0.226
32,0.199,0.199
33,0.114,0.114
34,0.114,0.114
35,0.082,0.082
36,0.138,0.138
37,0.138,0.138
38,0.082,0.082
39,0.132,0.132
40,0.131,0.131
41,0.036,0.036
42,0.034,0.034
43,0.048,0.048
44,0.048,0.048
45,0.068,0.068
46,0.063,0.063
47,0.102,0.102
48,0.186,0.186
49,0.134,0.134
50,0.134,0.134
51,0.079,0.079
52,0.096,0.096
53,0.089,0.089
54,0.089,0.089
55,0.084,0.084
56,0.084,0.084
57,0.1,0.1
58,0.104,0.104
59,0.102,0.102
60,0.102,0.102
61,0.086,0.086
62,0.086,0.086
63,0.046,0.046
64,0.047,0.047
65,0.08,0.08
66,0.08,0.08
67,0.089,0.089
68,0.089,0.089
69,0.089,0.089
70,0.089,0.089
71,0.082,0.082
72,0.078,0.078
73,0.077,0.077
74,0.076,0.076
75,0.115,0.115
76,0.115,0.115
77,0.137,0.137
78,0.071,0.071
79,0.061,0.061
80,0.097,0.097
81,0.128,0.128
82,0.086,0.086
83,0.086,0.086
84,0.061,0.061
85,0.077,0.077
86,0.069,0.069
87,0.069,0.069
88,0.077,0.077
89,0.174,0.174
90,0.149,0.149
91,0.1,0.1
92,0.1,0.1
93,0.094,0.094
94,0.094,0.094
95,0.069,0.069
96,0.069,0.069
97,0.547,0.547
98,0.547,0.547
99,0.043,0.043
100,0.011,0.011
