name,LIFE ASSESSMENT,MAINTENANCE STRATGY,ECONOMIC IMPACT,TOTAL INDICATOR
2,0.467,0.439,0.422,0.443
5,0.399,0.481,0.503,0.461
8,0.139,0.686,0.395,0.407
11,0.588,0.416,0.34,0.448
13,0.449,0.3,0.067,0.272
14,0.381,0.42,0.358,0.387
15,0.101,0.571,0.148,0.273
19,0.591,0.534,0.638,0.588
21,0.492,0.348,0.116,0.319
24,0.468,0.41,0.265,0.381
25,0.088,0.706,0.343,0.379
28,0.491,0.28,0.67,0.48
32,0.409,0.4,0.335,0.382
33,0.108,0.641,0.288,0.346
38,0.072,0.608,0.207,0.295
39,0.163,0.868,0.691,0.574
42,0.594,0.381,0.355,0.443
44,0.226,0.84,0.622,0.563
46,0.14,0.502,0.047,0.23
47,0.123,0.681,0.231,0.345
48,0.386,0.75,0.679,0.605
51,0.322,0.404,0.356,0.361
52,0.331,0.332,0.492,0.385
53,0.075,0.718,0.308,0.367
54,0.491,0.379,0.308,0.393
55,0.543,0.529,0.298,0.457
56,0.067,0.629,0.209,0.301
57,0.383,0.41,0.353,0.382
58,0.16,0.5,0.234,0.298
59,0.167,0.636,0.279,0.361
60,0.449,0.251,0.192,0.297
61,0.373,0.381,0.131,0.295
62,0.163,0.556,0.202,0.307
73,0.047,0.551,0.077,0.225
74_1,0.522,0.379,0.33,0.41
74_2,0.128,0.705,0.29,0.374
81,0.25,0.296,0.076,0.207
88,0.079,0.504,0.045,0.209
12,0.573,0.507,0.509,0.53
72,0.647,0.507,0.455,0.536
