name,ECONOMIC IMPACT,LIFE ASSESSMENT,MAINTENANCE STRATGY,TOTAL INDICATOR
19A649,0.085,0.057,0.0,0.047
19A650,0.053,0.049,0.25,0.117
19A716,0.07,0.075,0.0,0.048
19A754,0.01,0.033,0.0,0.015
19P814,0.005,0.015,0.0,0.007
28AGM9,0.425,0.128,0.035,0.196
28AIN3,0.011,0.018,0.0,0.01
28AIQ3,0.031,0.034,0.0,0.022
28AIQ4,0.018,0.035,0.0,0.018
28ANG2,0.056,0.082,0.076,0.071
28ANG4,0.008,0.074,0.076,0.053
28ANG5,0.095,0.098,0.048,0.08
28ANG8,0.028,0.041,0.0,0.023
28ANH0,0.074,0.091,0.0,0.055
28APE6,0.076,0.122,0.071,0.09
28APE9,0.045,0.204,0.236,0.161
28APF0,0.061,0.209,0.331,0.2
28APF3,0.003,0.047,0.039,0.029
28APF5,0.131,0.179,0.225,0.178
28AQG2,0.065,0.069,0.0,0.045
28ARM7,0.104,0.112,0.0,0.072
28ARN3,0.07,0.155,0.276,0.167
28CBC9,0.159,0.213,0.0,0.124
28CCKN,0.181,0.327,0.0,0.169
28CCWV,0.255,0.272,0.0,0.175
28CDPG,0.06,0.19,0.0,0.084
28CDR2,0.849,0.646,0.711,0.735
28CDR3,0.131,0.176,0.0,0.103
28CDR5,0.139,0.191,0.664,0.332
28CFHW,0.131,0.16,0.25,0.18
28CFHX,0.172,0.198,0.109,0.16
28CFHY,0.111,0.137,0.25,0.166
28CFHZ,0.097,0.162,0.0,0.086
28CFKY,0.0,0.0,0.0,0.0
28CHHS,0.456,0.601,0.74,0.599
28CHQD,0.513,0.351,0.032,0.299
28CIA6,0.125,0.233,0.056,0.138
28CIA7,0.27,0.334,0.406,0.337
28CIA8,0.134,0.243,0.031,0.136
28CIA9,0.127,0.193,0.047,0.122
28CIB0,0.154,0.17,0.0,0.108
28CIB1,0.138,0.185,0.0,0.108
28CIB2,0.111,0.167,0.0,0.093
28CIB3,0.166,0.243,0.07,0.16
28CIB4,0.152,0.209,0.0,0.12
28CIB5,0.078,0.136,0.071,0.095
28CIB9,0.0,0.0,0.0,0.0
28CIC8,0.047,0.059,0.0,0.035
28CIC9,0.108,0.143,0.0,0.084
28CIW1,0.235,0.345,0.054,0.211
28CJF4,0.0,0.0,0.0,0.0
28CJKK,0.136,0.206,0.25,0.197
28CLN4,0.202,0.384,0.084,0.223
28CMFM,0.084,0.127,0.033,0.081
28CNTW,0.305,0.193,0.25,0.25
28CPYL,0.0,0.0,0.0,0.0
28CPYN,0.0,0.0,0.0,0.0
28CQPQ,0.414,0.475,0.43,0.44
28CRQM,0.0,0.0,0.0,0.0
28CUB0,0.272,0.403,0.089,0.255
28CVC5,0.006,0.061,0.054,0.041
28CXN2,0.225,0.356,0.177,0.253
28CYL3,0.364,0.386,0.522,0.424
28CZP5,0.219,0.317,0.11,0.215
28PBLK,0.002,0.005,0.0,0.002
28PBVP,0.082,0.135,0.0,0.072
28PBZK,0.004,0.01,0.0,0.005
28PCAT,0.301,0.8,0.0,0.367
28PCKK,0.054,0.058,0.0,0.037
28PFQB,0.001,0.006,0.0,0.002
28PJTZ,0.011,0.064,0.0,0.025
28PLPZ,0.002,0.006,0.0,0.003
28PNG6,0.002,0.004,0.0,0.002
28PNG7,0.003,0.009,0.0,0.004
28PNG9,0.005,0.008,0.0,0.004
28PNNZ,0.002,0.012,0.0,0.005
28PPE4,0.014,0.033,0.0,0.016
28PPE7,0.001,0.004,0.0,0.002
28PPF1,0.002,0.008,0.0,0.003
28PPF2,0.016,0.052,0.0,0.023
28PRQP,0.034,0.204,0.0,0.079
28PSJ3,0.002,0.006,0.0,0.003
28PST0,0.004,0.015,0.0,0.006
28PTA3,0.007,0.062,0.0,0.023
28PTM7,0.002,0.006,0.0,0.003
28PTQ3,0.077,0.123,0.031,0.077
28PVKN,0.002,0.008,0.0,0.003
28PXC6,0.003,0.014,0.0,0.006
28PYY2,0.012,0.069,0.0,0.027
45ABP7,0.005,0.015,0.0,0.006
45PCW7,0.063,0.071,0.0,0.045
45PYY8,0.0,0.015,0.0,0.005
