,index,LA,action,,,,,,
0,1,0.033,Keep the current maintenance,,,,,,
1,2,0.018,Keep the current maintenance,,,,,,
2,3,0.119,Keep the current maintenance,,,,,,
3,4,0.012,Keep the current maintenance,,,,,mean,0.153162996
4,5,0.01,Keep the current maintenance,,,,,std,0.145344274
5,6,0.339,Keep the current maintenance,,,,,,
6,7,0.259,Keep the current maintenance,,,,,,
7,8,0.23,Keep the current maintenance,,,,,,
8,9,0.075,Keep the current maintenance,,,,,,
9,10,0.051,Keep the current maintenance,,,,,,
10,11,0.062,Keep the current maintenance,,,,,,
11,12,0.019,Keep the current maintenance,,,,,,
12,13,0.014,Keep the current maintenance,,,,,,
13,14,0.037,Keep the current maintenance,,,,,,
14,15,0.332,Keep the current maintenance,,,,,,
15,16,0.359,Keep the current maintenance,,,,,,
16,17,0.275,Keep the current maintenance,,,,,,
17,18,0.268,Keep the current maintenance,,,,,,
18,19,0.067,Keep the current maintenance,,,,,,
19,20,0.022,Keep the current maintenance,,,,,,
20,21,0.285,Keep the current maintenance,,,,,,
21,22,0.036,Keep the current maintenance,,,,,,
22,23,0.29,Keep the current maintenance,,,,,,
23,24,0.282,Keep the current maintenance,,,,,,
24,25,0.303,Keep the current maintenance,,,,,,
25,26,0.261,Keep the current maintenance,,,,,,
26,27,0.278,Keep the current maintenance,,,,,,
27,28,0.159,Keep the current maintenance,,,,,,
28,29,0.013,Keep the current maintenance,,,,,,
29,30,0.03,Keep the current maintenance,,,,,,
30,31,0.007,Keep the current maintenance,,,,,,
31,32,0.316,Keep the current maintenance,,,,,,
32,33,0.323,Keep the current maintenance,,,,,,
33,34,0.037,Keep the current maintenance,,,,,,
34,35,0.039,Keep the current maintenance,,,,,,
35,36,0.302,Keep the current maintenance,,,,,,
36,37,0.157,Keep the current maintenance,,,,,,
37,38,0.049,Keep the current maintenance,,,,,,
38,39,0.008,Keep the current maintenance,,,,,,
39,40,0.009,Keep the current maintenance,,,,,,
40,41,0.28,Keep the current maintenance,,,,,,
41,42,0.157,Keep the current maintenance,,,,,,
42,43,0.327,Keep the current maintenance,,,,,,
43,44,0.266,Keep the current maintenance,,,,,,
44,45,0.043,Keep the current maintenance,,,,,,
45,46,0.01,Keep the current maintenance,,,,,,
46,47,0.357,Keep the current maintenance,,,,,,
