INDEX,LA,ACTION
1,M,Replacement
2,L,Keep the current maintenance
3,L,Keep the current maintenance
4,L,Keep the current maintenance
5,L,Keep the current maintenance
6,L,Keep the current maintenance
7,H,Replacement
8,L,Keep the current maintenance
9,L,Keep the current maintenance
10,L,Keep the current maintenance
11,L,Keep the current maintenance
12,L,Keep the current maintenance
13,L,Keep the current maintenance
14,L,Keep the current maintenance
15,M,Replacement
16,M,Replacement
17,L,Keep the current maintenance
18,M,Replacement
19,L,Keep the current maintenance
20,L,Keep the current maintenance
21,L,Keep the current maintenance
22,M,Replacement
23,L,Keep the current maintenance
24,L,Keep the current maintenance
25,M,Replacement
26,L,Keep the current maintenance
27,M,Replacement
28,L,Keep the current maintenance
29,M,Replacement
30,L,Keep the current maintenance
31,M,Replacement
32,L,Keep the current maintenance
33,L,Keep the current maintenance
34,L,Keep the current maintenance
35,H,Replacement
36,L,Keep the current maintenance
37,L,Keep the current maintenance
38,L,Keep the current maintenance
39,L,Keep the current maintenance
40,L,Keep the current maintenance
41,L,Keep the current maintenance
42,L,Keep the current maintenance
43,L,Keep the current maintenance
44,L,Keep the current maintenance
45,L,Keep the current maintenance
46,L,Keep the current maintenance
47,L,Keep the current maintenance
48,L,Keep the current maintenance
49,M,Replacement
50,L,Keep the current maintenance
51,L,Keep the current maintenance
52,M,Replacement
53,M,Replacement
54,L,Keep the current maintenance
55,L,Keep the current maintenance
56,L,Keep the current maintenance
57,L,Keep the current maintenance
58,L,Keep the current maintenance
59,L,Keep the current maintenance
