,index,LA,action
0,1,0.119,Keep the current maintenance
1,2,0.061,Keep the current maintenance
2,3,0.129,Keep the current maintenance
3,4,0.392,Keep the current maintenance
4,5,0.253,Keep the current maintenance
5,6,0.085,Keep the current maintenance
6,7,0.033,Keep the current maintenance
7,8,0.089,Keep the current maintenance
8,9,0.089,Keep the current maintenance
9,10,0.095,Keep the current maintenance
10,11,0.093,Keep the current maintenance
11,12,0.322,Keep the current maintenance
12,13,0.024,Keep the current maintenance
13,14,0.119,Keep the current maintenance
14,15,0.119,Keep the current maintenance
15,16,0.127,Keep the current maintenance
16,17,0.0,Replacement
17,18,0.083,Keep the current maintenance
18,19,0.0,Replacement
19,20,0.222,Keep the current maintenance
20,21,0.112,Keep the current maintenance
21,22,0.112,Keep the current maintenance
22,23,0.088,Keep the current maintenance
23,24,0.139,Keep the current maintenance
24,25,0.026,Keep the current maintenance
25,26,0.031,Keep the current maintenance
26,27,0.09,Keep the current maintenance
27,28,0.212,Keep the current maintenance
28,29,0.101,Keep the current maintenance
29,30,0.217,Keep the current maintenance
30,31,0.078,Keep the current maintenance
31,32,0.082,Keep the current maintenance
32,33,0.205,Keep the current maintenance
33,34,0.068,Keep the current maintenance
34,35,0.068,Keep the current maintenance
35,36,0.277,Keep the current maintenance
36,37,0.302,Keep the current maintenance
37,38,0.133,Keep the current maintenance
38,39,0.133,Keep the current maintenance
39,40,0.121,Keep the current maintenance
40,41,0.119,Keep the current maintenance
41,42,0.171,Keep the current maintenance
42,43,0.179,Keep the current maintenance
43,44,0.176,Keep the current maintenance
44,45,0.223,Keep the current maintenance
45,46,0.255,Keep the current maintenance
46,47,0.15,Keep the current maintenance
47,48,0.373,Keep the current maintenance
