INDEX,LA,ACTION
1,L,Keep the current maintenance
2,L,Keep the current maintenance
3,L,Keep the current maintenance
4,L,Keep the current maintenance
5,L,Keep the current maintenance
6,L,Keep the current maintenance
7,L,Keep the current maintenance
8,L,Keep the current maintenance
9,L,Keep the current maintenance
10,L,Keep the current maintenance
11,L,Keep the current maintenance
12,L,Keep the current maintenance
13,L,Keep the current maintenance
14,L,Keep the current maintenance
15,L,Keep the current maintenance
16,L,Keep the current maintenance
17,M,Replacement
18,L,Keep the current maintenance
19,L,Keep the current maintenance
20,L,Keep the current maintenance
21,L,Keep the current maintenance
22,L,Keep the current maintenance
23,L,Keep the current maintenance
24,L,Keep the current maintenance
25,L,Keep the current maintenance
26,L,Keep the current maintenance
27,L,Keep the current maintenance
28,L,Keep the current maintenance
29,L,Keep the current maintenance
30,L,Keep the current maintenance
31,L,Keep the current maintenance
32,L,Keep the current maintenance
33,L,Keep the current maintenance
34,L,Keep the current maintenance
35,L,Keep the current maintenance
36,M,Replacement
37,L,Keep the current maintenance
38,L,Keep the current maintenance
39,L,Keep the current maintenance
40,L,Keep the current maintenance
41,L,Keep the current maintenance
42,L,Keep the current maintenance
43,L,Keep the current maintenance
44,L,Keep the current maintenance
45,L,Keep the current maintenance
46,L,Keep the current maintenance
47,L,Keep the current maintenance
48,M,Replacement
