,AutoID_row_number,LA,action
0,1,0.013,Keep the current maintenance
1,2,0.011,Keep the current maintenance
2,3,0.011,Keep the current maintenance
3,4,0.04,Keep the current maintenance
4,5,0.04,Keep the current maintenance
5,6,0.024,Keep the current maintenance
6,7,0.038,Keep the current maintenance
7,8,0.027,Keep the current maintenance
8,9,0.041,Keep the current maintenance
9,10,0.026,Keep the current maintenance
10,11,0.029,Keep the current maintenance
11,12,0.03,Keep the current maintenance
12,13,0.03,Keep the current maintenance
13,14,0.03,Keep the current maintenance
14,15,0.03,Keep the current maintenance
15,16,0.039,Keep the current maintenance
16,17,0.039,Keep the current maintenance
17,18,0.04,Keep the current maintenance
18,19,0.04,Keep the current maintenance
19,20,0.03,Keep the current maintenance
20,21,0.03,Keep the current maintenance
21,22,0.04,Keep the current maintenance
22,23,0.04,Keep the current maintenance
23,24,0.04,Keep the current maintenance
24,25,0.037,Keep the current maintenance
25,26,0.032,Keep the current maintenance
26,27,0.041,Keep the current maintenance
27,28,0.037,Keep the current maintenance
28,29,0.037,Keep the current maintenance
29,30,0.041,Keep the current maintenance
30,31,0.038,Keep the current maintenance
31,32,0.031,Keep the current maintenance
32,33,0.031,Keep the current maintenance
33,34,0.378,Keep the current maintenance
34,35,0.018,Keep the current maintenance
35,36,0.018,Keep the current maintenance
36,37,0.048,Keep the current maintenance
37,38,0.022,Keep the current maintenance
38,39,0.032,Keep the current maintenance
39,40,0.044,Keep the current maintenance
40,41,0.022,Keep the current maintenance
41,42,0.24,Keep the current maintenance
42,43,0.019,Keep the current maintenance
43,44,0.019,Keep the current maintenance
44,45,0.031,Keep the current maintenance
45,46,0.032,Keep the current maintenance
46,47,0.033,Keep the current maintenance
47,48,0.043,Keep the current maintenance
48,49,0.06,Keep the current maintenance
49,50,0.016,Keep the current maintenance
50,51,0.04,Keep the current maintenance
51,52,0.04,Keep the current maintenance
52,53,0.04,Keep the current maintenance
53,54,0.089,Keep the current maintenance
54,55,0.042,Keep the current maintenance
55,56,0.115,Keep the current maintenance
56,57,0.045,Keep the current maintenance
57,58,0.045,Keep the current maintenance
58,59,0.041,Keep the current maintenance
59,60,0.031,Keep the current maintenance
60,61,0.031,Keep the current maintenance
61,62,0.038,Keep the current maintenance
62,63,0.038,Keep the current maintenance
63,64,0.032,Keep the current maintenance
64,65,0.035,Keep the current maintenance
65,66,0.035,Keep the current maintenance
66,67,0.035,Keep the current maintenance
67,68,0.087,Keep the current maintenance
68,69,0.043,Keep the current maintenance
69,70,0.117,Keep the current maintenance
70,71,0.02,Keep the current maintenance
71,72,0.045,Keep the current maintenance
72,73,0.045,Keep the current maintenance
73,74,0.041,Keep the current maintenance
74,75,0.086,Keep the current maintenance
75,76,0.044,Keep the current maintenance
76,77,0.044,Keep the current maintenance
77,78,0.053,Keep the current maintenance
78,79,0.02,Keep the current maintenance
79,80,0.229,Keep the current maintenance
80,81,0.05,Keep the current maintenance
81,82,0.253,Keep the current maintenance
82,83,0.253,Keep the current maintenance
83,84,0.031,Keep the current maintenance
84,85,0.031,Keep the current maintenance
85,86,0.031,Keep the current maintenance
86,87,0.087,Keep the current maintenance
87,88,0.304,Keep the current maintenance
88,89,0.332,Keep the current maintenance
89,90,0.114,Keep the current maintenance
90,91,0.333,Keep the current maintenance
91,92,0.082,Keep the current maintenance
92,93,0.082,Keep the current maintenance
93,94,0.299,Keep the current maintenance
94,95,0.295,Keep the current maintenance
95,96,0.299,Keep the current maintenance
96,97,0.128,Keep the current maintenance
97,98,0.068,Keep the current maintenance
98,99,0.04,Keep the current maintenance
99,100,0.218,Keep the current maintenance
100,101,0.067,Keep the current maintenance
101,102,0.041,Keep the current maintenance
102,103,0.068,Keep the current maintenance
103,104,0.132,Keep the current maintenance
104,105,0.132,Keep the current maintenance
105,106,0.04,Keep the current maintenance
106,107,0.081,Keep the current maintenance
107,108,0.067,Keep the current maintenance
108,109,0.067,Keep the current maintenance
109,110,0.066,Keep the current maintenance
110,111,0.063,Keep the current maintenance
111,112,0.063,Keep the current maintenance
112,113,0.064,Keep the current maintenance
113,114,0.071,Keep the current maintenance
114,115,0.082,Keep the current maintenance
115,116,0.13,Keep the current maintenance
116,117,0.129,Keep the current maintenance
117,118,0.072,Keep the current maintenance
118,119,0.072,Keep the current maintenance
119,120,0.068,Keep the current maintenance
120,121,0.068,Keep the current maintenance
121,122,0.083,Keep the current maintenance
122,123,0.073,Keep the current maintenance
123,124,0.073,Keep the current maintenance
124,125,0.065,Keep the current maintenance
125,126,0.071,Keep the current maintenance
126,127,0.061,Keep the current maintenance
127,128,0.312,Keep the current maintenance
128,129,0.064,Keep the current maintenance
129,130,0.162,Keep the current maintenance
130,131,0.229,Keep the current maintenance
131,132,0.072,Keep the current maintenance
132,133,0.073,Keep the current maintenance
133,134,0.073,Keep the current maintenance
134,135,0.177,Keep the current maintenance
135,136,0.3,Keep the current maintenance
136,137,0.391,Keep the current maintenance
137,138,0.24,Keep the current maintenance
138,139,0.314,Keep the current maintenance
139,140,0.289,Keep the current maintenance
140,141,0.279,Keep the current maintenance
141,142,0.06,Keep the current maintenance
142,143,0.063,Keep the current maintenance
143,144,0.044,Keep the current maintenance
144,145,0.068,Keep the current maintenance
145,146,0.063,Keep the current maintenance
146,147,0.067,Keep the current maintenance
147,148,0.129,Keep the current maintenance
