,index,LA,action,,,,,
0,1,0.008,Keep the current maintenance,,,,,
1,2,0.004,Keep the current maintenance,,,,,
2,3,0.018,Keep the current maintenance,,,,,
3,4,0.458,Keep the current maintenance,,,,,
4,5,0.009,Keep the current maintenance,,,,,
5,6,0.018,Keep the current maintenance,,,,,
6,7,0.051,Keep the current maintenance,,,,,0.053789474
7,8,0.03,Keep the current maintenance,,,,,
8,9,0.008,Keep the current maintenance,,,,,0.119435258
9,10,0.009,Keep the current maintenance,,,,,
10,11,0.004,Keep the current maintenance,,,,,
11,12,0.016,Keep the current maintenance,,,,,
12,13,0.023,Keep the current maintenance,,,,,
13,14,0.008,Keep the current maintenance,,,,,
14,15,0.006,Keep the current maintenance,,,,,
15,16,0.005,Keep the current maintenance,,,,,
16,17,0.009,Keep the current maintenance,,,,,
17,18,0.004,Keep the current maintenance,,,,,
18,19,0.004,Keep the current maintenance,,,,,
19,20,0.006,Keep the current maintenance,,,,,
20,21,0.005,Keep the current maintenance,,,,,
21,22,0.005,Keep the current maintenance,,,,,
22,23,0.005,Keep the current maintenance,,,,,
23,24,0.266,Keep the current maintenance,,,,,
24,25,0.383,Keep the current maintenance,,,,,
25,26,0.417,Keep the current maintenance,,,,,
26,27,0.413,Keep the current maintenance,,,,,
27,28,0.006,Keep the current maintenance,,,,,
28,29,0.039,Keep the current maintenance,,,,,
29,30,0.005,Keep the current maintenance,,,,,
30,31,0.008,Keep the current maintenance,,,,,
31,32,0.005,Keep the current maintenance,,,,,
32,33,0.011,Keep the current maintenance,,,,,
33,34,0.012,Keep the current maintenance,,,,,
34,35,0.004,Keep the current maintenance,,,,,
35,36,0.007,Keep the current maintenance,,,,,
36,37,0.015,Keep the current maintenance,,,,,
37,38,0.01,Keep the current maintenance,,,,,
38,39,0.006,Keep the current maintenance,,,,,
39,40,0.004,Keep the current maintenance,,,,,
40,41,0.021,Keep the current maintenance,,,,,
41,42,0.034,Keep the current maintenance,,,,,
42,43,0.052,Keep the current maintenance,,,,,
43,44,0.009,Keep the current maintenance,,,,,
44,45,0.004,Keep the current maintenance,,,,,
45,46,0.01,Keep the current maintenance,,,,,
46,47,0.004,Keep the current maintenance,,,,,
47,48,0.078,Keep the current maintenance,,,,,
48,49,0.007,Keep the current maintenance,,,,,
49,50,0.005,Keep the current maintenance,,,,,
50,51,0.007,Keep the current maintenance,,,,,
51,52,0.047,Keep the current maintenance,,,,,
52,53,0.005,Keep the current maintenance,,,,,
53,54,0.019,Keep the current maintenance,,,,,
54,55,0.065,Keep the current maintenance,,,,,
55,56,0.005,Keep the current maintenance,,,,,
56,57,0.006,Keep the current maintenance,,,,,
57,58,0.007,Keep the current maintenance,,,,,
58,59,0.004,Keep the current maintenance,,,,,
59,60,0.004,Keep the current maintenance,,,,,
60,61,0.011,Keep the current maintenance,,,,,
61,62,0.004,Keep the current maintenance,,,,,
62,63,0.197,Keep the current maintenance,,,,,
63,64,0.006,Keep the current maintenance,,,,,
64,65,0.312,Keep the current maintenance,,,,,
65,66,0.004,Keep the current maintenance,,,,,
66,67,0.005,Keep the current maintenance,,,,,
67,68,0.004,Keep the current maintenance,,,,,
68,69,0.006,Keep the current maintenance,,,,,
69,70,0.45,Keep the current maintenance,,,,,
70,71,0.006,Keep the current maintenance,,,,,
71,72,0.015,Keep the current maintenance,,,,,
72,73,0.004,Keep the current maintenance,,,,,
73,74,0.006,Keep the current maintenance,,,,,
74,75,0.006,Keep the current maintenance,,,,,
75,76,0.032,Keep the current maintenance,,,,,
76,77,0.005,Keep the current maintenance,,,,,
77,78,0.006,Keep the current maintenance,,,,,
78,79,0.007,Keep the current maintenance,,,,,
79,80,0.012,Keep the current maintenance,,,,,
80,81,0.022,Keep the current maintenance,,,,,
81,82,0.005,Keep the current maintenance,,,,,
82,83,0.01,Keep the current maintenance,,,,,
83,84,0.012,Keep the current maintenance,,,,,
84,85,0.024,Keep the current maintenance,,,,,
85,86,0.022,Keep the current maintenance,,,,,
86,87,0.007,Keep the current maintenance,,,,,
87,88,0.029,Keep the current maintenance,,,,,
88,89,0.013,Keep the current maintenance,,,,,
89,90,0.005,Keep the current maintenance,,,,,
90,91,0.004,Keep the current maintenance,,,,,
91,92,0.005,Keep the current maintenance,,,,,
92,93,0.011,Keep the current maintenance,,,,,
93,94,0.005,Keep the current maintenance,,,,,
94,95,0.03,Keep the current maintenance,,,,,
95,96,0.004,Keep the current maintenance,,,,,
96,97,0.019,Keep the current maintenance,,,,,
97,98,0.035,Keep the current maintenance,,,,,
98,99,0.011,Keep the current maintenance,,,,,
99,100,0.025,Keep the current maintenance,,,,,
100,101,0,Replacement,,,,,
101,102,0.022,Keep the current maintenance,,,,,
102,103,0.004,Keep the current maintenance,,,,,
103,104,0.028,Keep the current maintenance,,,,,
104,105,0.004,Keep the current maintenance,,,,,
105,106,0.014,Keep the current maintenance,,,,,
106,107,0.017,Keep the current maintenance,,,,,
107,108,0.009,Keep the current maintenance,,,,,
