,index,LA,action,,,,
0,1,0.019,Keep the current maintenance,,,,
1,2,0.017,Keep the current maintenance,,,,
2,3,0.017,Keep the current maintenance,,,,
3,4,0.102,Keep the current maintenance,,,,
4,5,0.103,Keep the current maintenance,,,,0.14894614
5,6,0.093,Keep the current maintenance,,,,
6,7,0.133,Keep the current maintenance,,,,0.108467019
7,8,0.078,Keep the current maintenance,,,,
8,9,0.092,Keep the current maintenance,,,,
9,10,0.078,Keep the current maintenance,,,,
10,11,0.08,Keep the current maintenance,,,,
11,12,0.09,Keep the current maintenance,,,,
12,13,0.074,Keep the current maintenance,,,,
13,14,0.091,Keep the current maintenance,,,,
14,15,0.091,Keep the current maintenance,,,,
15,16,0.094,Keep the current maintenance,,,,
16,17,0.067,Keep the current maintenance,,,,
17,18,0.096,Keep the current maintenance,,,,
18,19,0.096,Keep the current maintenance,,,,
19,20,0.119,Keep the current maintenance,,,,
20,21,0.119,Keep the current maintenance,,,,
21,22,0.092,Keep the current maintenance,,,,
22,23,0.086,Keep the current maintenance,,,,
23,24,0.096,Keep the current maintenance,,,,
24,25,0.112,Keep the current maintenance,,,,
25,26,0.059,Keep the current maintenance,,,,
26,27,0.102,Keep the current maintenance,,,,
27,28,0.11,Keep the current maintenance,,,,
28,29,0.11,Keep the current maintenance,,,,
29,30,0.096,Keep the current maintenance,,,,
30,31,0.114,Keep the current maintenance,,,,
31,32,0.1,Keep the current maintenance,,,,
32,33,0.1,Keep the current maintenance,,,,
33,34,0,Replacement,,,,
34,35,0.036,Keep the current maintenance,,,,
35,36,0.036,Keep the current maintenance,,,,
36,37,0.08,Keep the current maintenance,,,,
37,38,0.11,Keep the current maintenance,,,,
38,39,0.067,Keep the current maintenance,,,,
39,40,0.084,Keep the current maintenance,,,,
40,41,0.047,Keep the current maintenance,,,,
41,42,0.32,Keep the current maintenance,,,,
42,43,0.045,Keep the current maintenance,,,,
43,44,0.045,Keep the current maintenance,,,,
44,45,0.086,Keep the current maintenance,,,,
45,46,0.058,Keep the current maintenance,,,,
46,47,0.133,Keep the current maintenance,,,,
47,48,0.075,Keep the current maintenance,,,,
48,49,0.124,Keep the current maintenance,,,,
49,50,0.097,Keep the current maintenance,,,,
50,51,0.107,Keep the current maintenance,,,,
51,52,0.107,Keep the current maintenance,,,,
52,53,0.098,Keep the current maintenance,,,,
53,54,0.145,Keep the current maintenance,,,,
54,55,0.122,Keep the current maintenance,,,,
55,56,0.21,Keep the current maintenance,,,,
56,57,0.074,Keep the current maintenance,,,,
57,58,0.074,Keep the current maintenance,,,,
58,59,0.08,Keep the current maintenance,,,,
59,60,0.124,Keep the current maintenance,,,,
60,61,0.124,Keep the current maintenance,,,,
61,62,0.145,Keep the current maintenance,,,,
62,63,0.113,Keep the current maintenance,,,,
63,64,0.099,Keep the current maintenance,,,,
64,65,0.103,Keep the current maintenance,,,,
65,66,0.103,Keep the current maintenance,,,,
66,67,0.094,Keep the current maintenance,,,,
67,68,0.16,Keep the current maintenance,,,,
68,69,0.107,Keep the current maintenance,,,,
69,70,0.199,Keep the current maintenance,,,,
70,71,0.055,Keep the current maintenance,,,,
71,72,0.075,Keep the current maintenance,,,,
72,73,0.075,Keep the current maintenance,,,,
73,74,0.075,Keep the current maintenance,,,,
74,75,0.157,Keep the current maintenance,,,,
75,76,0.077,Keep the current maintenance,,,,
76,77,0.077,Keep the current maintenance,,,,
77,78,0.108,Keep the current maintenance,,,,
78,79,0.03,Keep the current maintenance,,,,
79,80,0.317,Keep the current maintenance,,,,
