SUPPORT_ID,EI,LA,MS,ACTION
RPUDB12T//74-22-4,M,L,M,Keep the current maintenance
RPUWQIFO//74-22-5-CT,L,L,L,Keep the current maintenance
RPWULH1G//74-22-3,L,L,M,Keep the current maintenance
RQ0W7MUL//74-22-2,L,L,L,Keep the current maintenance
RQ2HC35J//74-27,M,M,L,Replacement
RQ2NBO45//79,L,M,L,Replacement
RQ2O32O0//74-26,M,M,L,Replacement
RQ2O34P5//74-2-1-CT,L,L,L,Keep the current maintenance
RQ2O35AP//81,L,M,L,Replacement
RQ2RSBDX//74-10-1-CT,L,L,L,Keep the current maintenance
RQ2TB80M//74-3,L,M,L,Replacement
RQ2U2NH2//78,L,M,L,Replacement
RQ2VJJ4Q//74-4,L,M,M,Shorten the maintenance cycle
RQ2WAWCD//74-25,M,M,L,Replacement
RQ2WB0PA//79-1-CT,L,L,L,Keep the current maintenance
RQ3227SQ//77,L,M,L,Replacement
RQ351XNN//74-3-1-CT,L,L,L,Keep the current maintenance
RQ351XTF//74,L,M,L,Replacement
RQ35REIC//74-6,L,M,L,Replacement
RQ36IS0S//74-24,M,M,L,Replacement
RQ36IS7R//74-22-1,L,L,L,Keep the current maintenance
RQ36ITU7//74-2,L,M,L,Replacement
RQ37A8RE//74-28,H,H,M,Replacement
RQ38R6MC//74-7,L,M,L,Replacement
RQ38R73O//74-1,L,M,L,Replacement
RQ38R785//76,L,M,L,Replacement
RQ3D9RJP//74-23,M,M,L,Replacement
RQ3E19WA//74-8,L,M,L,Replacement
RQ3E1AI0//75,L,M,L,Replacement
RQ3HQH2A//74-10,L,M,M,Shorten the maintenance cycle
RQ3IHW6E//74-9,L,M,L,Replacement
RQ3K0TFG//82,M,H,H,Replacement
RQ3M949X//74-22,L,M,L,Replacement
RQ3OHGEU//74-11,L,M,L,Replacement
RQ3TPIUD//74-21,L,M,L,Replacement
RQ3TPJNW//74-12,L,M,L,Replacement
RQ4087VA//74-13,L,M,L,Replacement
RQ44OTL4//74-20,L,M,L,Replacement
RQ44OU50//74-14,L,M,L,Replacement
RQ4AOEG4//74-15,L,M,L,Replacement
RQ4C7A7X//74-19,L,M,L,Replacement
RQ4CWPID//74-16,L,M,L,Replacement
RQ4CWRDB//83,L,M,L,Replacement
RQ4HFDQA//74-17,L,M,L,Replacement
RQ4KF5UF//74-18,L,M,L,Replacement
RQ4O6CAL//74-29,M,M,L,Replacement
RQ4RVMH0//84,L,M,L,Replacement
RQ52UWT5//80-1-CT,L,L,L,Keep the current maintenance
RQ5BU910//73,L,M,L,Replacement
RQ5HTS99//85,L,M,L,Replacement
RQ61SCFJ//74-30,M,M,H,Inspect current external aspect
RQ6M1DXH//86,L,M,L,Replacement
RQ6R9HBI//86-1-CT,L,L,L,Keep the current maintenance
RQ7JG075//87,L,M,L,Replacement
RQ7SF9TF//72,L,M,L,Replacement
RQ82N36S//74-31,M,M,M,Replacement
RQ82N3G8//74-33-5,M,L,M,Keep the current maintenance
RQ8AUX4A//74-33-6-CT,L,L,M,Keep the current maintenance
RQ8EM99R//88,L,M,L,Replacement
RQ8UCGAG//74-33-4,H,M,H,Replacement
RQ9PISCN//89,L,M,L,Replacement
RQ9W9OJR//74-32,H,H,H,Replacement
RQA9HCG7//74-33-3,H,M,M,Replacement
RQAA8TM4//71,L,M,L,Replacement
RQAKP3CS//90,L,M,L,Replacement
RQAUFPTH//74-33-2,H,M,H,Replacement
RQB7NGUI//91,L,M,L,Replacement
RQBDN1ED//92-CT,L,M,L,Replacement
RQBMM8KX//74-33-1,M,L,M,Keep the current maintenance
RQBQDFTA//74-33,H,H,H,Replacement
RQCQ2FER//70,L,M,L,Replacement
RQE5WOGE//74-34,M,M,M,Replacement
RQFGTBSJ//69,L,M,L,Replacement
RQFQK18D//74-35,M,M,M,Replacement
RQHIFFCM//74-36,M,M,M,Replacement
RQHUEI6N//74-37-CT,M,L,L,Keep the current maintenance
RQI6UR6H//68,L,M,L,Replacement
RQJ7B5LL//68-1,L,M,L,Replacement
RQK7030R//68-2,L,M,L,Replacement
RQKTFCF1//67,L,M,L,Replacement
RQL85UHJ//68-3,L,M,L,Replacement
RQMA3527//68-4,L,M,L,Replacement
RQMVQX85//66-1-CT,L,L,L,Keep the current maintenance
RQN6Q9V3//66,L,M,L,Replacement
RQN6QA89//68-5,L,M,L,Replacement
RQQ6IGW0//65,L,M,L,Replacement
RQSVBDBP//64,L,M,L,Replacement
RQVKLDLX//63,L,M,L,Replacement
RQX20JL3//59-19-CT,L,L,L,Keep the current maintenance
RQXM7I3A//59-18,L,M,L,Replacement
RR09VDW6//62,L,M,L,Replacement
RR0BE8R1//59-17,M,H,H,Replacement
RR0XTIF1//59-16,L,M,L,Replacement
RR1K2GVE//59-15,L,M,L,Replacement
RR24QJAE//59-14,M,H,L,Replacement
RR2KGTFU//59-13,L,M,L,Replacement
RR30OABW//61,L,M,L,Replacement
RR356VST//59-12,L,M,L,Replacement
RR3NV07V//59-11,L,M,L,Replacement
RR4ATDQC//59-10,L,M,L,Replacement
RR4MSGN9//59-9,L,M,L,Replacement
RR5H9AOR//59-8,L,M,L,Replacement
RR5OPPNV//60,L,M,L,Replacement
RR6FFC1D//59-7,L,M,L,Replacement
RR6GW843//59-7-1-CT,L,L,L,Keep the current maintenance
RR7L3RTG//59-6,L,M,L,Replacement
RR8NQHGC//59-5,L,M,L,Replacement
RR9JO7KN//59-4,L,M,L,Replacement
RR9L73WC//59,L,M,L,Replacement
RR9U6EJ3//59-1,L,M,L,Replacement
RRAB59FH//59-3-A1,L,L,L,Keep the current maintenance
RRAPCNEN//59-3,L,M,L,Replacement
RRAVC7SP//59-3-B1,L,L,L,Keep the current maintenance
RRBTI956//59-2,L,M,L,Replacement
RRDA61MW//58,L,M,L,Replacement
RRH7CSX5//57,L,M,L,Replacement
RRKD4KI7//56,L,M,L,Replacement
RRNHDFXP//55,L,M,L,Replacement
RRQJE09U//54,L,M,L,Replacement
RRRUAJIN//53,L,M,L,Replacement
RRTA6V0M//52,L,M,L,Replacement
RRULSVBA//51,L,M,L,Replacement
RRVUH5EV//50,L,H,L,Replacement
RRXRKN1Q//49,L,M,L,Replacement
RS1HX76K//48,L,M,L,Replacement
RS29E92M//47,L,M,L,Replacement
RS30TAWM//46,L,M,L,Replacement
RS40I8FR//45,L,M,L,Replacement
RS53WD64//44,L,M,L,Replacement
RT82CO7C//D34-3,L,M,L,Replacement
RT8L2QFF//D34-2,L,M,L,Replacement
RT9A9GXW//D34-1,L,M,L,Replacement
RTIES7OX//D31-1-CT,L,L,L,Keep the current maintenance
RVWXPSPU//D6-1-CT,L,L,L,Keep the current maintenance
SR2JKGWT/80,L,M,L,Replacement
SR31ARAI//74-5,L,M,L,Replacement
S5OHC14B//D8,L,M,L,Replacement
S5OKBRG7//D7,L,M,L,Replacement
S5ONBJQT//D6,L,M,L,Replacement
S5OQBC3W//D5,L,M,L,Replacement
S5OSJNC8//D4,L,M,L,Replacement
S5OVJFN8//D3,L,M,L,Replacement
S5OWAURA//D2X2,L,L,L,Keep the current maintenance
S5P2246G//D1,L,M,L,Replacement
S5PE16WJ//D2,L,M,L,Replacement
S5PFI312//D2X1,L,L,L,Keep the current maintenance
S5QI6POO//D9,L,L,L,Keep the current maintenance
S5S3B69E//D10,L,L,L,Keep the current maintenance
S5TGG2EI//D11,L,L,L,Keep the current maintenance
S5VC2NN1//D12,L,M,L,Replacement
S5WXFFCR//D13,L,L,L,Keep the current maintenance
S61G0G0W//D14,L,L,L,Keep the current maintenance
S62DF24C//D15,L,L,L,Keep the current maintenance
S62H68M6//D18-5CT,L,M,L,Replacement
S63NK5H8//D18-4,L,M,L,Replacement
S644J141//D16,L,L,L,Keep the current maintenance
S651XKPV//D18-3,L,M,L,Replacement
S66F4H2C//D18-2,L,M,L,Replacement
S68C80M4//D18-1,L,M,L,Replacement
S68L7B9D//D18,L,M,L,Replacement
S68WEX0Q//D18-1-1CT,L,L,L,Keep the current maintenance
S69FM59I//D17,L,L,L,Keep the current maintenance
S6B014RF//D19,L,L,L,Keep the current maintenance
S6DKBCST//D20,L,L,L,Keep the current maintenance
S6GW2MLG//D21,L,L,L,Keep the current maintenance
S6JOCF2T//D22,L,L,L,Keep the current maintenance
S6MND6XT//D23,L,L,L,Keep the current maintenance
S6POMA23//D24,L,L,L,Keep the current maintenance
S6TMKI7P//D25,L,L,L,Keep the current maintenance
S6WGD6QK//D26,L,L,L,Keep the current maintenance
S6X7S4UK//189-15-CT,L,L,L,Keep the current maintenance
S6XPQQ6E//189-14,L,M,L,Replacement
S7058P58//189-13,L,M,L,Replacement
S70SFJ8S//D27,L,L,L,Keep the current maintenance
S71467HF//189-12,L,M,L,Replacement
S71G5AC8//189-11,L,M,L,Replacement
S73NP0J2//189-10,L,M,L,Replacement
S74SM4JO//D28,L,L,L,Keep the current maintenance
S75OJP8F//189-9,L,M,L,Replacement
S77KVV12//D29,L,L,L,Keep the current maintenance
S78157MX//189-8,L,M,L,Replacement
S783DILX//189-6-1-CT,L,L,L,Keep the current maintenance
S7AAX8X3//189-7,L,M,L,Replacement
S7AKO0K3//189-6,L,M,L,Replacement
S7ALFFNX//189-7-1,L,L,L,Keep the current maintenance
S7ATNEM5//D30,L,L,L,Keep the current maintenance
S7BSKRFB//189-5,L,M,L,Replacement
S7CKR95N//D59-3-11,L,L,L,Keep the current maintenance
S7CN1LDA//189-4,L,M,L,Replacement
S7CT14OH//D59-3-10-1-CT,L,L,L,Keep the current maintenance
S7CWQBXF//D59-3-10,L,L,L,Keep the current maintenance
S7DAPFTG//189-3,L,L,L,Keep the current maintenance
S7DXW5GE//D59-3-9,L,L,L,Keep the current maintenance
S7EULF2I//D31,L,L,L,Keep the current maintenance
S7FUA7XL//D59-3-8,L,L,L,Keep the current maintenance
S7I8CKKC//D59-3-7,L,L,L,Keep the current maintenance
S7K3X81U//D59-3-6,L,L,L,Keep the current maintenance
S7K8FV77//D59,L,L,L,Keep the current maintenance
S7KO6AMP//D32,L,L,L,Keep the current maintenance
S7LWSE9U//D59-3-5-2-CT,L,L,L,Keep the current maintenance
S7M72A6O//D59-3-3,L,L,L,Keep the current maintenance
S7MARHA0//D59-3-5,L,L,L,Keep the current maintenance
S7MBIWHE//D59-3-3-1-CT,L,L,L,Keep the current maintenance
S7ML9NUP//D59-3-5-1,L,L,L,Keep the current maintenance
S7N5XQHB//D59-3-2,L,L,L,Keep the current maintenance
S7NGG35B//D33,L,L,L,Keep the current maintenance
S7NHWU4V//D58,L,L,L,Keep the current maintenance
S7NTVW28//D59-3-4,L,L,L,Keep the current maintenance
S7OJ4NLW//D57,L,L,L,Keep the current maintenance
S7OPTMG9//D59-1,L,L,L,Keep the current maintenance
S7PI254F//D59-3-1,L,L,L,Keep the current maintenance
S7Q6HER3//D59-2,L,M,L,Replacement
S7R0WCF7//D34,L,L,L,Keep the current maintenance
S7R36JTR//D59-3,L,M,L,Replacement
