,Support_ID,EI,LA,MS,action
0,RPUDB12T//74-22-4,0.549,0.498,0.625,Keep the current maintenance
1,RPUWQIFO//74-22-5-CT,0.034,0.212,0.0,Keep the current maintenance
2,RPWULH1G//74-22-3,0.209,0.424,0.708,Keep the current maintenance
3,RQ0W7MUL//74-22-2,0.269,0.498,0.458,Keep the current maintenance
4,RQ2HC35J//74-27,0.6644,0.0,0.0,Replacement
5,RQ2NBO45//79,0.3168,0.0,0.0,Replacement
6,RQ2O32O0//74-26,0.6644,0.0,0.0,Replacement
7,RQ2O34P5//74-2-1-CT,0.034,0.187,0.0,Keep the current maintenance
8,RQ2O35AP//81,0.3168,0.0,0.0,Replacement
9,RQ2RSBDX//74-10-1-CT,0.034,0.187,0.0,Keep the current maintenance
10,RQ2TB80M//74-3,0.22440000000000002,0.0,0.0,Replacement
11,RQ2U2NH2//78,0.3168,0.0,0.0,Replacement
12,RQ2VJJ4Q//74-4,0.3717,0.4634,0.65625,Shorten the maintenance cycle
13,RQ2WAWCD//74-25,0.6644,0.0,0.0,Replacement
14,RQ2WB0PA//79-1-CT,0.148,0.374,0.458,Keep the current maintenance
15,RQ3227SQ//77,0.3168,0.0,0.0,Replacement
16,RQ351XNN//74-3-1-CT,0.034,0.187,0.0,Keep the current maintenance
17,RQ351XTF//74,0.3168,0.0,0.0,Replacement
18,RQ35REIC//74-6,0.3894,0.0,0.458,Replacement
19,RQ36IS0S//74-24,0.6644,0.0,0.0,Replacement
20,RQ36IS7R//74-22-1,0.269,0.473,0.458,Keep the current maintenance
21,RQ36ITU7//74-2,0.22440000000000002,0.0,0.0,Replacement
22,RQ37A8RE//74-28,0.8294,0.0,0.625,Replacement
23,RQ38R6MC//74-7,0.22440000000000002,0.0,0.0,Replacement
24,RQ38R73O//74-1,0.22440000000000002,0.0,0.0,Replacement
25,RQ38R785//76,0.3168,0.0,0.0,Replacement
26,RQ3D9RJP//74-23,0.6644,0.0,0.0,Replacement
27,RQ3E19WA//74-8,0.22440000000000002,0.0,0.0,Replacement
28,RQ3E1AI0//75,0.34980000000000006,0.0,0.292,Replacement
29,RQ3HQH2A//74-10,0.3717,0.44589999999999996,0.65625,Shorten the maintenance cycle
30,RQ3IHW6E//74-9,0.22440000000000002,0.0,0.0,Replacement
31,RQ3K0TFG//82,0.6468,0.0,0.75,Replacement
32,RQ3M949X//74-22,0.22440000000000002,0.0,0.0,Replacement
33,RQ3OHGEU//74-11,0.22440000000000002,0.0,0.0,Replacement
34,RQ3TPIUD//74-21,0.3894,0.0,0.292,Replacement
35,RQ3TPJNW//74-12,0.22440000000000002,0.0,0.0,Replacement
36,RQ4087VA//74-13,0.22440000000000002,0.0,0.458,Replacement
37,RQ44OTL4//74-20,0.3894,0.0,0.0,Replacement
38,RQ44OU50//74-14,0.22440000000000002,0.0,0.0,Replacement
39,RQ4AOEG4//74-15,0.22440000000000002,0.0,0.0,Replacement
40,RQ4C7A7X//74-19,0.22440000000000002,0.0,0.0,Replacement
41,RQ4CWPID//74-16,0.22440000000000002,0.0,0.0,Replacement
42,RQ4CWRDB//83,0.34980000000000006,0.0,0.292,Replacement
43,RQ4HFDQA//74-17,0.22440000000000002,0.0,0.0,Replacement
44,RQ4KF5UF//74-18,0.22440000000000002,0.0,0.0,Replacement
45,RQ4O6CAL//74-29,0.6644,0.0,0.0,Replacement
46,RQ4RVMH0//84,0.3157,0.0,0.0,Replacement
47,RQ52UWT5//80-1-CT,0.118,0.35,0.0,Keep the current maintenance
48,RQ5BU910//73,0.3168,0.0,0.0,Replacement
49,RQ5HTS99//85,0.3157,0.0,0.0,Replacement
50,RQ61SCFJ//74-30,0.664,0.686,0.75,Inspect current external aspect
51,RQ6M1DXH//86,0.3157,0.0,0.0,Replacement
52,RQ6R9HBI//86-1-CT,0.118,0.349,0.0,Keep the current maintenance
53,RQ7JG075//87,0.3157,0.0,0.0,Replacement
54,RQ7SF9TF//72,0.3179,0.0,0.0,Replacement
55,RQ82N36S//74-31,0.6974,0.0,0.625,Replacement
56,RQ82N3G8//74-33-5,0.549,0.399,0.625,Keep the current maintenance
57,RQ8AUX4A//74-33-6-CT,0.464,0.236,0.625,Keep the current maintenance
58,RQ8EM99R//88,0.3817,0.0,0.417,Replacement
59,RQ8UCGAG//74-33-4,0.9009,0.0,1.0,Replacement
60,RQ9PISCN//89,0.3157,0.0,0.0,Replacement
61,RQ9W9OJR//74-32,0.9944000000000001,0.0,0.75,Replacement
62,RQA9HCG7//74-33-3,0.9009,0.0,0.625,Replacement
63,RQAA8TM4//71,0.3179,0.0,0.0,Replacement
64,RQAKP3CS//90,0.3157,0.0,0.0,Replacement
65,RQAUFPTH//74-33-2,0.9009,0.0,0.875,Replacement
66,RQB7NGUI//91,0.3157,0.0,0.0,Replacement
67,RQBDN1ED//92-CT,0.22330000000000003,0.0,0.0,Replacement
68,RQBMM8KX//74-33-1,0.579,0.424,0.583,Keep the current maintenance
69,RQBQDFTA//74-33,0.8624,0.0,0.75,Replacement
70,RQCQ2FER//70,0.35090000000000005,0.0,0.292,Replacement
71,RQE5WOGE//74-34,0.6974,0.0,0.625,Replacement
72,RQFGTBSJ//69,0.3179,0.0,0.0,Replacement
73,RQFQK18D//74-35,0.6974,0.0,0.625,Replacement
74,RQHIFFCM//74-36,0.7304,0.0,0.583,Replacement
75,RQHUEI6N//74-37-CT,0.519,0.474,0.0,Keep the current maintenance
76,RQI6UR6H//68,0.3179,0.0,0.0,Replacement
77,RQJ7B5LL//68-1,0.22440000000000002,0.0,0.0,Replacement
78,RQK7030R//68-2,0.22440000000000002,0.0,0.0,Replacement
79,RQKTFCF1//67,0.3179,0.0,0.0,Replacement
80,RQL85UHJ//68-3,0.22440000000000002,0.0,0.0,Replacement
81,RQMA3527//68-4,0.22440000000000002,0.0,0.0,Replacement
82,RQMVQX85//66-1-CT,0.119,0.253,0.0,Keep the current maintenance
83,RQN6Q9V3//66,0.35090000000000005,0.0,0.292,Replacement
84,RQN6QA89//68-5,0.22440000000000002,0.0,0.0,Replacement
85,RQQ6IGW0//65,0.35090000000000005,0.0,0.292,Replacement
86,RQSVBDBP//64,0.35090000000000005,0.0,0.292,Replacement
87,RQVKLDLX//63,0.3179,0.0,0.0,Replacement
88,RQX20JL3//59-19-CT,0.12,0.352,0.0,Keep the current maintenance
