INDEX,LA,ACTION
1,L,Keep the current maintenance
2,M,Replacement
3,M,Replacement
4,M,Replacement
5,M,Replacement
6,M,Replacement
7,M,Replacement
8,M,Replacement
9,M,Replacement
10,M,Replacement
11,M,Replacement
12,M,Replacement
13,M,Replacement
14,L,Keep the current maintenance
15,L,Keep the current maintenance
16,L,Keep the current maintenance
17,L,Keep the current maintenance
18,L,Keep the current maintenance
19,L,Keep the current maintenance
20,L,Keep the current maintenance
21,L,Keep the current maintenance
22,L,Keep the current maintenance
23,L,Keep the current maintenance
24,L,Keep the current maintenance
25,L,Keep the current maintenance
26,L,Keep the current maintenance
27,L,Keep the current maintenance
28,L,Keep the current maintenance
29,L,Keep the current maintenance
30,L,Keep the current maintenance
