,index,LA,action,,,,
0,1,0.414,Keep the current maintenance,,,,
1,2,0,Replacement,,,,
2,3,0,Replacement,,,,
3,4,0,Replacement,,,,
4,5,0,Replacement,,,,0.192
5,6,0,Replacement,,,,
6,7,0,Replacement,,,,0.187281643
7,8,0,Replacement,,,,
8,9,0,Replacement,,,,
9,10,0,Replacement,,,,
10,11,0,Replacement,,,,
11,12,0,Replacement,,,,
12,13,0,Replacement,,,,
13,14,0.492,Keep the current maintenance,,,,
14,15,0.431,Keep the current maintenance,,,,
15,16,0.435,Keep the current maintenance,,,,
16,17,0.39,Keep the current maintenance,,,,
17,18,0.302,Keep the current maintenance,,,,
18,19,0.304,Keep the current maintenance,,,,
19,20,0.205,Keep the current maintenance,,,,
20,21,0.275,Keep the current maintenance,,,,
21,22,0.255,Keep the current maintenance,,,,
22,23,0.211,Keep the current maintenance,,,,
23,24,0.369,Keep the current maintenance,,,,
24,25,0.351,Keep the current maintenance,,,,
25,26,0.467,Keep the current maintenance,,,,
26,27,0.128,Keep the current maintenance,,,,
27,28,0.01,Keep the current maintenance,,,,
28,29,0.455,Keep the current maintenance,,,,
29,30,0.266,Keep the current maintenance,,,,
