,index,LA,action,,,,
0,1,0,Replacement,,,,
1,2,0,Replacement,,,,
2,3,0.271,Keep the current maintenance,,,,0.10822
3,4,0.271,Keep the current maintenance,,,,
4,5,0.173,Keep the current maintenance,,,,
5,6,0.173,Keep the current maintenance,,,,0.066496841
6,7,0.081,Keep the current maintenance,,,,
7,8,0.09,Keep the current maintenance,,,,
8,9,0.036,Keep the current maintenance,,,,
9,10,0.036,Keep the current maintenance,,,,
10,11,0.159,Keep the current maintenance,,,,
11,12,0.159,Keep the current maintenance,,,,
12,13,0.175,Keep the current maintenance,,,,
13,14,0.124,Keep the current maintenance,,,,
14,15,0.271,Keep the current maintenance,,,,
15,16,0.271,Keep the current maintenance,,,,
16,17,0.251,Keep the current maintenance,,,,
17,18,0.209,Keep the current maintenance,,,,
18,19,0.025,Keep the current maintenance,,,,
19,20,0.025,Keep the current maintenance,,,,
20,21,0.169,Keep the current maintenance,,,,
21,22,0.169,Keep the current maintenance,,,,
22,23,0.294,Keep the current maintenance,,,,
23,24,0.294,Keep the current maintenance,,,,
24,25,0.147,Keep the current maintenance,,,,
25,26,0.117,Keep the current maintenance,,,,
26,27,0.19,Keep the current maintenance,,,,
27,28,0.219,Keep the current maintenance,,,,
28,29,0.07,Keep the current maintenance,,,,
29,30,0.07,Keep the current maintenance,,,,
30,31,0.207,Keep the current maintenance,,,,
31,32,0.205,Keep the current maintenance,,,,
32,33,0.114,Keep the current maintenance,,,,
33,34,0.114,Keep the current maintenance,,,,
34,35,0.084,Keep the current maintenance,,,,
35,36,0.143,Keep the current maintenance,,,,
36,37,0.143,Keep the current maintenance,,,,
37,38,0.084,Keep the current maintenance,,,,
38,39,0.133,Keep the current maintenance,,,,
39,40,0.133,Keep the current maintenance,,,,
40,41,0.037,Keep the current maintenance,,,,
41,42,0.031,Keep the current maintenance,,,,
42,43,0.055,Keep the current maintenance,,,,
43,44,0.055,Keep the current maintenance,,,,
44,45,0.068,Keep the current maintenance,,,,
45,46,0.059,Keep the current maintenance,,,,
46,47,0.102,Keep the current maintenance,,,,
47,48,0.185,Keep the current maintenance,,,,
48,49,0.132,Keep the current maintenance,,,,
49,50,0.132,Keep the current maintenance,,,,
50,51,0.077,Keep the current maintenance,,,,
51,52,0.095,Keep the current maintenance,,,,
52,53,0.085,Keep the current maintenance,,,,
53,54,0.085,Keep the current maintenance,,,,
54,55,0.081,Keep the current maintenance,,,,
55,56,0.081,Keep the current maintenance,,,,
56,57,0.091,Keep the current maintenance,,,,
57,58,0.096,Keep the current maintenance,,,,
58,59,0.097,Keep the current maintenance,,,,
59,60,0.097,Keep the current maintenance,,,,
60,61,0.092,Keep the current maintenance,,,,
61,62,0.092,Keep the current maintenance,,,,
62,63,0.044,Keep the current maintenance,,,,
63,64,0.043,Keep the current maintenance,,,,
64,65,0.078,Keep the current maintenance,,,,
65,66,0.078,Keep the current maintenance,,,,
66,67,0.086,Keep the current maintenance,,,,
67,68,0.086,Keep the current maintenance,,,,
68,69,0.084,Keep the current maintenance,,,,
69,70,0.085,Keep the current maintenance,,,,
70,71,0.078,Keep the current maintenance,,,,
71,72,0.073,Keep the current maintenance,,,,
72,73,0.074,Keep the current maintenance,,,,
73,74,0.073,Keep the current maintenance,,,,
74,75,0.109,Keep the current maintenance,,,,
75,76,0.109,Keep the current maintenance,,,,
76,77,0.131,Keep the current maintenance,,,,
77,78,0.071,Keep the current maintenance,,,,
78,79,0.061,Keep the current maintenance,,,,
79,80,0.091,Keep the current maintenance,,,,
80,81,0.127,Keep the current maintenance,,,,
81,82,0.081,Keep the current maintenance,,,,
82,83,0.081,Keep the current maintenance,,,,
83,84,0.061,Keep the current maintenance,,,,
84,85,0.075,Keep the current maintenance,,,,
85,86,0.063,Keep the current maintenance,,,,
86,87,0.063,Keep the current maintenance,,,,
87,88,0.075,Keep the current maintenance,,,,
88,89,0.173,Keep the current maintenance,,,,
89,90,0.147,Keep the current maintenance,,,,
90,91,0.104,Keep the current maintenance,,,,
91,92,0.104,Keep the current maintenance,,,,
92,93,0.097,Keep the current maintenance,,,,
93,94,0.097,Keep the current maintenance,,,,
94,95,0.071,Keep the current maintenance,,,,
95,96,0.071,Keep the current maintenance,,,,
96,97,0,Replacement,,,,
97,98,0,Replacement,,,,
98,99,0.043,Keep the current maintenance,,,,
99,100,0.011,Keep the current maintenance,,,,
