,index,LA,action,,,,,
0,1,0,Replacement,,,,,
1,2,0,Replacement,,,,,
2,3,0.234,Keep the current maintenance,,,,,
3,4,0.234,Keep the current maintenance,,,,,
4,5,0.163,Keep the current maintenance,,,,,
5,6,0.162,Keep the current maintenance,,,,,0.10578
6,7,0.071,Keep the current maintenance,,,,,
7,8,0.077,Keep the current maintenance,,,,,0.05772883
8,9,0.045,Keep the current maintenance,,,,,
9,10,0.045,Keep the current maintenance,,,,,
10,11,0.142,Keep the current maintenance,,,,,
11,12,0.142,Keep the current maintenance,,,,,
12,13,0.166,Keep the current maintenance,,,,,
13,14,0.118,Keep the current maintenance,,,,,
14,15,0.226,Keep the current maintenance,,,,,
15,16,0.226,Keep the current maintenance,,,,,
16,17,0.216,Keep the current maintenance,,,,,
17,18,0.201,Keep the current maintenance,,,,,
18,19,0.026,Keep the current maintenance,,,,,
19,20,0.026,Keep the current maintenance,,,,,
20,21,0.155,Keep the current maintenance,,,,,
21,22,0.155,Keep the current maintenance,,,,,
22,23,0.244,Keep the current maintenance,,,,,
23,24,0.244,Keep the current maintenance,,,,,
24,25,0.134,Keep the current maintenance,,,,,
25,26,0.107,Keep the current maintenance,,,,,
26,27,0.176,Keep the current maintenance,,,,,
27,28,0.195,Keep the current maintenance,,,,,
28,29,0.067,Keep the current maintenance,,,,,
29,30,0.068,Keep the current maintenance,,,,,
30,31,0.2,Keep the current maintenance,,,,,
31,32,0.198,Keep the current maintenance,,,,,
32,33,0.102,Keep the current maintenance,,,,,
33,34,0.102,Keep the current maintenance,,,,,
34,35,0.091,Keep the current maintenance,,,,,
35,36,0.148,Keep the current maintenance,,,,,
36,37,0.148,Keep the current maintenance,,,,,
37,38,0.091,Keep the current maintenance,,,,,
38,39,0.125,Keep the current maintenance,,,,,
39,40,0.124,Keep the current maintenance,,,,,
40,41,0.04,Keep the current maintenance,,,,,
41,42,0.037,Keep the current maintenance,,,,,
42,43,0.049,Keep the current maintenance,,,,,
43,44,0.049,Keep the current maintenance,,,,,
44,45,0.072,Keep the current maintenance,,,,,
45,46,0.075,Keep the current maintenance,,,,,
46,47,0.098,Keep the current maintenance,,,,,
47,48,0.179,Keep the current maintenance,,,,,
48,49,0.137,Keep the current maintenance,,,,,
49,50,0.137,Keep the current maintenance,,,,,
50,51,0.072,Keep the current maintenance,,,,,
51,52,0.091,Keep the current maintenance,,,,,
52,53,0.105,Keep the current maintenance,,,,,
53,54,0.108,Keep the current maintenance,,,,,
54,55,0.079,Keep the current maintenance,,,,,
55,56,0.079,Keep the current maintenance,,,,,
56,57,0.102,Keep the current maintenance,,,,,
57,58,0.107,Keep the current maintenance,,,,,
58,59,0.095,Keep the current maintenance,,,,,
59,60,0.095,Keep the current maintenance,,,,,
60,61,0.077,Keep the current maintenance,,,,,
61,62,0.077,Keep the current maintenance,,,,,
62,63,0.044,Keep the current maintenance,,,,,
63,64,0.043,Keep the current maintenance,,,,,
64,65,0.076,Keep the current maintenance,,,,,
65,66,0.076,Keep the current maintenance,,,,,
66,67,0.094,Keep the current maintenance,,,,,
67,68,0.094,Keep the current maintenance,,,,,
68,69,0.097,Keep the current maintenance,,,,,
69,70,0.097,Keep the current maintenance,,,,,
70,71,0.092,Keep the current maintenance,,,,,
71,72,0.089,Keep the current maintenance,,,,,
72,73,0.076,Keep the current maintenance,,,,,
73,74,0.075,Keep the current maintenance,,,,,
74,75,0.116,Keep the current maintenance,,,,,
75,76,0.116,Keep the current maintenance,,,,,
76,77,0.196,Keep the current maintenance,,,,,
77,78,0.078,Keep the current maintenance,,,,,
78,79,0.061,Keep the current maintenance,,,,,
79,80,0.093,Keep the current maintenance,,,,,
80,81,0.126,Keep the current maintenance,,,,,
81,82,0.079,Keep the current maintenance,,,,,
82,83,0.08,Keep the current maintenance,,,,,
83,84,0.061,Keep the current maintenance,,,,,
84,85,0.082,Keep the current maintenance,,,,,
85,86,0.075,Keep the current maintenance,,,,,
86,87,0.075,Keep the current maintenance,,,,,
87,88,0.082,Keep the current maintenance,,,,,
88,89,0.185,Keep the current maintenance,,,,,
89,90,0.163,Keep the current maintenance,,,,,
90,91,0.104,Keep the current maintenance,,,,,
91,92,0.104,Keep the current maintenance,,,,,
92,93,0.102,Keep the current maintenance,,,,,
93,94,0.102,Keep the current maintenance,,,,,
94,95,0.069,Keep the current maintenance,,,,,
95,96,0.069,Keep the current maintenance,,,,,
96,97,0,Replacement,,,,,
97,98,0,Replacement,,,,,
98,99,0.042,Keep the current maintenance,,,,,
99,100,0.011,Keep the current maintenance,,,,,
