INDEX,LA,ACTION
1,L,Keep the current maintenance
2,L,Keep the current maintenance
3,L,Keep the current maintenance
4,L,Keep the current maintenance
5,L,Keep the current maintenance
6,L,Keep the current maintenance
7,L,Keep the current maintenance
8,L,Keep the current maintenance
9,L,Keep the current maintenance
10,L,Keep the current maintenance
11,L,Keep the current maintenance
12,L,Keep the current maintenance
13,L,Keep the current maintenance
14,L,Keep the current maintenance
15,L,Keep the current maintenance
16,L,Keep the current maintenance
17,L,Keep the current maintenance
18,L,Keep the current maintenance
19,L,Keep the current maintenance
20,L,Keep the current maintenance
21,L,Keep the current maintenance
22,L,Keep the current maintenance
23,L,Keep the current maintenance
24,L,Keep the current maintenance
25,L,Keep the current maintenance
26,L,Keep the current maintenance
27,L,Keep the current maintenance
28,L,Keep the current maintenance
29,L,Keep the current maintenance
30,L,Keep the current maintenance
31,L,Keep the current maintenance
32,L,Keep the current maintenance
33,L,Keep the current maintenance
34,L,Keep the current maintenance
35,L,Keep the current maintenance
36,L,Keep the current maintenance
37,L,Keep the current maintenance
38,L,Keep the current maintenance
39,L,Keep the current maintenance
40,L,Keep the current maintenance
41,L,Keep the current maintenance
42,L,Keep the current maintenance
43,L,Keep the current maintenance
44,L,Keep the current maintenance
45,L,Keep the current maintenance
46,L,Keep the current maintenance
47,L,Keep the current maintenance
48,L,Keep the current maintenance
49,L,Keep the current maintenance
50,L,Keep the current maintenance
51,L,Keep the current maintenance
52,L,Keep the current maintenance
53,L,Keep the current maintenance
54,L,Keep the current maintenance
55,L,Keep the current maintenance
56,L,Keep the current maintenance
57,L,Keep the current maintenance
58,L,Keep the current maintenance
59,L,Keep the current maintenance
60,L,Keep the current maintenance
61,L,Keep the current maintenance
62,L,Keep the current maintenance
63,L,Keep the current maintenance
64,L,Keep the current maintenance
65,L,Keep the current maintenance
66,L,Keep the current maintenance
67,L,Keep the current maintenance
68,L,Keep the current maintenance
69,L,Keep the current maintenance
70,L,Keep the current maintenance
71,L,Keep the current maintenance
72,L,Keep the current maintenance
73,L,Keep the current maintenance
74,L,Keep the current maintenance
75,L,Keep the current maintenance
76,L,Keep the current maintenance
77,L,Keep the current maintenance
78,L,Keep the current maintenance
79,L,Keep the current maintenance
80,L,Keep the current maintenance
81,L,Keep the current maintenance
82,L,Keep the current maintenance
83,L,Keep the current maintenance
84,L,Keep the current maintenance
85,L,Keep the current maintenance
86,L,Keep the current maintenance
87,L,Keep the current maintenance
88,L,Keep the current maintenance
89,L,Keep the current maintenance
90,L,Keep the current maintenance
91,L,Keep the current maintenance
92,L,Keep the current maintenance
93,L,Keep the current maintenance
94,L,Keep the current maintenance
95,L,Keep the current maintenance
96,L,Keep the current maintenance
97,M,Replacement
98,M,Replacement
99,L,Keep the current maintenance
100,L,Keep the current maintenance
