PT_id,H1_Clients affected,H2_ENS_in_fault,H3_Mean_load (Y),H4_Failure_cost (?)
SUBST01-TR1,16536.027,19.664,10.881,2425.419
SUBST01- TR2,18896.768,15.119,12.395,1853.693
SUBST29-TR1,3751.848,4.386,4.273,537.36
SUBST29-TR2,7407.558,10.781,8.437,1315.217
SUBST35-TR1,9138.935,21.045,13.322,2572.218
SUBST35-TR2,0.0,0.0,0.0,0.0
SUBST19-TR1,1827.483,5.402,3.488,659.377
SUBST19-TR2,4266.878,11.208,8.318,1382.947
SUBST55-TR1,20295.063,4.987,4.975,610.391
SUBST55-TR2,4062.213,1.63,0.995,200.386
SUBST42-TR1,10545.4,17.65,10.893,2170.428
SUBST42-TR2,6703.915,7.555,6.915,923.693
SUBST26-TR1,21303.251,15.883,8.946,1943.747
SUBST05-TR1,25383.011,8.773,5.725,1077.515
SUBST05-TR2,18283.811,5.913,3.98,727.992
