PT_id,H1_age_years,H2_failure_probaility,H3_Age_dependent_unavailability,H4_load_over_50
SUBST01-TR1,8,0.199,0.001,30.854
SUBST01- TR2,8,0.201,0.001,35.449
SUBST29-TR1,8,0.891,0.006,0.0
SUBST29-TR2,8,0.88,0.004,0.0
SUBST35-TR1,8,0.34,0.004,4.584
SUBST35-TR2,8,0.882,0.004,0.0
SUBST19-TR1,8,0.748,0.0,0.0
SUBST19-TR2,8,0.787,0.0,0.0
SUBST55-TR1,8,0.344,0.0,0.0
SUBST55-TR2,8,0.832,0.0,0.0
SUBST42-TR1,8,0.605,0.0,14.897
SUBST42-TR2,8,0.345,0.0,8.043
SUBST26-TR1,8,0.625,0.0,0.441
SUBST05-TR1,8,0.664,0.005,0.567
SUBST05-TR2,8,0.484,0.004,0.095
