AutoID_row_number,fbus,tbus,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
1,8,24,91,123,130,0.0,6.1538
2,8,176,96,104,104,0.0,7.6923
3,8,176,96,104,104,0.0,7.6923
4,9,14,255,260,260,0.0,9.6332
5,9,14,255,260,260,0.0,9.8076
6,9,14,124,162,203,0.0,13.067
7,10,19,218,248,260,0.0,12.988
8,10,22,164,186,206,0.0,8.5121
9,10,26,260,260,260,0.0,10.796
10,11,14,171,186,206,0.0,5.4193
11,11,14,191,204,222,0.0,5.0325
12,12,22,189,204,222,0.0,6.9584
13,12,23,195,204,222,0.0,6.7832
14,12,29,195,204,222,0.0,5.9704
15,12,29,195,204,222,0.0,5.9704
16,12,29,260,260,260,0.0,4.9409
17,12,34,255,260,260,0.0,5.3414
18,13,14,255,260,260,0.0,11.147
19,13,14,255,260,260,0.0,11.147
20,13,20,195,204,221,0.0,5.99
21,13,20,195,204,221,0.0,5.99
22,13,180,255,260,260,0.0,10.889
23,13,246,260,260,260,0.0,10.22
24,14,180,255,260,260,0.0,10.869
25,14,185,191,204,222,0.0,31.988
26,14,186,185,204,222,0.0,15.767
27,14,246,255,260,260,0.0,11.405
28,15,22,224,248,260,0.0,9.7208
29,15,22,224,248,260,0.0,9.7208
30,15,26,260,260,260,0.0,11.812
31,15,27,191,204,222,0.0,32.769
32,15,28,195,204,222,0.0,10.1
33,15,29,195,204,222,0.0,10.117
34,15,183,340,340,340,100.0,86.877
35,15,250,130,130,130,0.0,13.654
36,15,250,130,130,130,0.0,13.573
37,15,255,260,273,296,0.0,26.414
38,16,178,104,123,130,0.0,30.811
39,17,21,195,204,222,0.0,13.274
40,17,21,260,273,296,0.0,11.369
41,17,25,104,123,153,0.0,27.981
42,17,184,91,108,134,69.565,66.078
43,18,25,104,123,153,0.0,19.591
44,18,25,104,123,153,0.0,19.631
45,18,32,195,204,222,0.0,10.159
46,19,186,185,204,222,0.0,16.94
47,21,30,195,204,222,0.0,18.293
