AutoID_row_number,rateA(summer),rateB(spring),rateC(winter),load>50% (%),Average loading (%)
1,94.339,127.178,134.538,0.0,6.729
2,99.435,107.826,107.319,0.0,8.443
3,99.429,107.732,107.301,0.0,8.487
4,263.362,268.917,269.038,0.0,10.641
5,264.232,268.816,268.733,0.0,10.821
6,128.08,166.929,210.486,0.0,14.355
7,225.964,257.566,268.471,0.0,14.367
8,170.14,192.549,213.178,0.0,9.352
9,269.245,268.93,269.754,0.0,12.003
10,176.434,191.606,213.055,0.0,5.951
11,197.381,210.402,229.059,0.0,5.565
12,195.474,211.087,229.643,0.0,7.68
13,201.962,210.734,229.539,0.0,7.447
14,201.992,211.484,230.122,0.0,6.636
15,201.406,211.854,229.308,0.0,6.593
16,269.094,268.168,268.913,0.0,5.415
17,263.97,269.029,268.011,0.0,5.936
18,262.966,268.878,268.386,0.0,12.268
19,264.73,268.614,269.005,0.0,12.329
20,201.824,210.768,228.848,0.0,6.637
21,201.968,210.662,228.718,0.0,6.611
22,264.115,268.84,269.347,0.0,12.054
23,269.304,268.676,268.457,0.0,11.352
24,263.625,269.666,268.876,0.0,11.983
25,197.586,210.537,229.997,0.0,35.406
26,191.599,210.879,229.533,0.0,17.356
27,264.742,268.305,268.866,0.0,12.716
28,232.265,256.24,269.284,0.0,10.713
29,232.307,257.309,269.347,0.0,10.698
30,269.611,269.845,268.359,0.0,13.045
31,197.802,211.108,229.376,0.0,36.045
32,201.262,211.086,229.574,0.0,11.103
33,201.734,211.248,228.819,0.0,11.191
34,351.281,351.694,351.826,106.875,95.873
35,133.961,134.406,134.593,0.0,14.971
36,134.861,134.642,134.502,0.0,15.072
37,268.702,283.018,306.722,0.0,29.227
38,107.789,127.501,134.438,0.0,33.892
39,201.692,211.016,230.109,0.0,14.678
40,269.488,282.501,306.394,0.0,12.547
41,107.818,127.472,158.247,0.0,30.678
42,94.238,111.501,138.988,74.687,72.754
43,107.742,127.543,158.455,0.0,21.695
44,107.836,127.001,158.299,0.0,21.805
45,201.448,210.233,229.352,0.0,11.136
46,191.752,211.886,229.984,0.0,18.688
47,201.223,211.198,230.368,0.0,20.403
48,268.658,283.397,305.516,0.0,9.412
49,347.473,384.588,424.583,0.0,9.316
50,83.928,126.926,134.029,0.0,20.342
51,264.053,269.503,269.449,0.0,9.907
52,263.635,268.462,269.241,0.0,9.907
53,263.785,269.853,269.168,0.0,9.818
54,538.581,538.364,537.789,0.0,20.538
55,262.161,282.092,306.647,0.0,9.109
56,195.456,201.866,202.455,28.05,41.299
57,234.979,256.93,394.571,0.0,13.625
58,235.384,256.732,393.932,0.0,13.49
59,260.782,268.523,269.028,0.0,13.69
60,201.93,210.405,229.881,0.0,12.714
61,202.21,211.46,229.568,0.0,12.561
62,241.47,256.887,268.79,0.0,10.829
63,197.944,211.023,230.081,0.0,37.385
64,201.343,211.29,229.093,0.0,16.424
65,201.634,211.087,228.991,0.0,27.357
66,201.737,210.947,230.276,0.0,27.368
67,201.367,211.139,229.475,0.0,24.946
68,536.869,537.228,537.156,0.0,12.473
69,269.303,267.901,269.489,0.0,21.101
70,107.722,127.664,158.344,32.608,45.511
71,94.184,111.86,138.844,0.0,32.93
72,235.364,256.773,394.962,0.0,14.8
73,234.955,257.054,395.046,0.0,14.726
74,262.156,269.698,268.525,0.0,14.749
75,523.934,538.581,541.91,0.0,12.73
76,268.87,282.149,306.133,0.0,13.524
77,268.987,283.565,307.089,0.0,13.366
78,316.354,332.029,359.345,0.0,16.099
79,107.285,107.475,107.469,0.0,36.865
80,316.823,331.956,360.184,60.524,39.784
81,283.875,300.676,333.929,0.0,24.739
82,691.385,755.069,833.611,41.564,52.583
83,689.32,754.24,832.21,41.798,50.661
84,197.698,197.124,197.901,0.0,20.832
85,197.529,197.637,197.281,0.0,20.894
86,197.98,197.543,196.893,0.0,20.714
87,510.658,510.715,511.117,0.0,30.051
88,334.064,333.55,334.107,83.378,73.271
89,334.179,334.315,332.682,92.847,83.239
90,332.404,334.56,331.859,18.553,48.406
91,332.988,334.109,335.143,92.595,84.154
92,509.252,510.835,509.723,0.0,10.078
93,509.795,509.657,511.43,0.0,11.406
94,393.387,393.824,392.731,79.267,65.029
95,353.995,377.004,395.478,79.096,64.534
96,395.091,392.481,394.268,78.931,64.045
97,709.951,754.373,789.172,0.0,30.983
98,395.706,414.393,449.835,0.0,17.447
99,206.799,245.636,307.708,0.0,20.322
100,394.85,394.929,394.836,51.597,56.18
101,396.18,415.203,449.03,0.0,13.895
102,206.231,245.914,307.171,0.0,24.155
103,386.084,413.942,450.297,0.0,19.508
104,344.905,376.848,394.489,23.273,43.499
105,345.371,376.667,394.188,23.144,43.675
106,187.785,245.544,306.846,0.0,25.313
107,452.767,485.911,528.008,0.0,22.7
108,386.438,412.815,450.848,0.0,16.932
109,385.936,414.207,449.791,0.0,16.67
110,371.406,403.911,442.952,0.0,19.695
111,395.283,394.499,391.982,0.0,13.887
112,394.191,396.074,394.985,0.0,15.985
113,393.791,395.574,395.513,0.0,18.576
114,414.238,441.677,487.423,0.0,9.899
115,508.893,509.565,511.529,0.0,9.772
116,789.879,787.677,786.157,0.0,12.625
117,790.579,790.26,788.758,0.0,7.046
118,394.882,414.558,448.472,0.0,31.294
119,395.16,413.73,449.601,0.0,31.597
120,394.566,394.021,395.023,0.0,33.298
121,394.751,394.024,394.364,0.0,33.376
122,510.999,511.323,508.267,0.0,15.393
123,462.736,461.093,461.573,0.0,10.778
124,461.018,460.755,460.695,0.0,10.712
125,394.832,394.297,394.913,0.0,23.477
126,394.653,393.936,395.199,0.0,42.07
127,352.951,376.598,395.088,0.0,18.324
128,354.703,376.328,395.116,83.566,76.722
129,392.843,394.675,393.822,0.0,17.681
130,927.894,974.58,1056.988,0.0,7.668
131,394.997,395.198,395.014,55.69,48.617
132,395.306,413.803,450.633,0.0,31.295
133,395.845,413.818,449.669,0.0,34.96
134,395.502,412.763,448.152,0.0,33.873
135,394.331,394.415,393.603,37.176,48.371
136,391.975,392.723,393.972,78.633,67.168
137,393.02,414.473,449.686,106.186,99.523
138,689.927,752.87,829.062,36.91,51.145
139,395.456,395.095,394.415,84.195,72.413
140,396.005,413.087,450.309,74.339,63.246
141,453.162,455.194,452.93,69.574,50.517
142,353.348,376.91,394.15,0.0,15.643
143,394.535,393.658,394.937,0.0,15.193
144,205.955,244.681,307.902,0.0,35.547
145,394.885,393.163,394.188,0.0,34.033
146,393.798,394.888,394.682,0.0,14.966
147,394.647,414.768,451.6,0.0,15.281
148,789.002,788.422,788.695,0.0,6.781
149,789.305,788.107,790.234,0.0,10.789
150,777.66,787.816,791.069,0.0,8.46
151,395.548,394.869,393.839,0.0,39.179
152,354.493,375.674,393.928,79.01,62.97
153,395.163,393.944,394.087,78.975,62.617
154,395.605,393.871,393.783,0.0,28.929
155,1241.468,1239.538,1242.405,0.0,4.542
156,791.567,787.751,788.512,0.0,15.078
157,395.251,394.117,395.57,0.0,19.711
158,394.327,396.028,394.282,0.0,21.722
159,785.249,790.546,788.895,0.0,7.828
160,393.794,394.765,394.357,0.0,30.076
161,393.649,394.468,395.203,74.507,62.583
162,395.67,413.582,450.269,0.0,36.759
163,395.44,413.403,450.068,0.0,34.392
164,393.843,412.316,450.091,0.0,19.151
165,394.671,414.432,452.256,0.0,18.966
166,393.827,415.632,451.224,0.0,26.228
167,395.4,413.627,450.519,0.0,26.362
168,854.624,891.561,968.363,0.0,20.835
169,775.805,789.057,788.355,0.0,7.38
170,198.235,197.1,197.24,0.0,39.379
171,414.746,440.783,487.751,0.0,14.006
172,395.081,394.185,394.919,0.0,17.153
173,387.458,393.86,394.897,0.0,30.051
174,388.659,413.529,451.157,0.0,26.703
175,388.27,414.122,449.773,0.0,24.597
176,189.045,237.198,236.097,9.358,46.317
177,237.448,236.742,236.84,9.322,47.202
178,387.719,413.26,450.196,0.0,25.613
179,188.508,244.291,307.53,0.0,25.779
180,188.548,245.478,308.152,0.0,27.201
181,188.741,245.662,307.207,0.0,27.353
182,188.468,245.532,307.344,23.273,31.963
183,377.081,377.277,375.899,0.0,36.952
184,394.085,394.018,393.684,0.0,17.369
185,393.747,393.182,393.293,0.0,15.968
186,395.852,414.721,449.957,0.0,47.708
187,394.795,413.289,449.67,0.0,37.936
188,393.727,393.935,393.081,0.0,21.79
189,394.147,394.679,394.133,0.0,17.781
190,393.701,395.15,394.084,0.0,18.493
191,788.516,790.215,790.289,0.0,12.359
192,1241.613,1237.153,1242.258,0.0,25.054
193,791.153,788.887,787.314,0.0,29.0
194,377.08,375.862,376.8,0.0,22.639
195,508.898,510.704,509.729,0.0,31.381
196,393.988,393.642,395.279,13.982,34.942
197,197.453,197.508,197.683,0.0,38.943
198,197.457,197.103,197.012,0.0,42.987
199,385.637,394.858,394.463,0.0,20.575
200,388.97,394.8,393.322,0.0,23.224
201,389.451,393.492,395.059,0.0,23.385
202,383.164,394.238,393.108,0.0,26.9
203,383.416,394.714,394.22,0.0,27.198
204,387.096,394.887,394.421,0.0,31.795
205,394.632,395.144,394.207,0.0,36.224
206,393.128,393.188,394.336,0.0,36.527
207,389.166,394.929,393.817,0.0,24.083
208,388.75,393.982,396.183,0.0,23.912
209,395.989,394.147,396.404,0.0,36.325
210,789.643,787.757,789.715,0.0,26.705
211,786.752,787.831,784.339,0.0,26.61
212,394.461,414.248,450.206,0.0,25.721
213,394.457,414.55,451.113,0.0,25.732
214,381.76,395.769,394.205,0.0,29.146
215,383.819,395.667,394.006,0.0,29.219
216,386.734,414.84,451.245,0.0,21.731
217,786.651,789.469,786.176,0.0,11.75
218,787.328,787.299,788.786,0.0,11.825
219,395.236,413.657,448.309,0.0,19.822
220,387.418,412.985,449.017,0.0,27.102
221,386.845,413.66,450.445,0.0,27.252
222,353.423,376.573,414.444,0.0,24.675
223,394.06,414.296,449.825,0.0,27.777
224,1409.694,1434.25,1430.601,0.0,12.745
225,1408.584,1437.822,1440.708,0.0,13.902
226,1431.541,1433.06,1430.355,0.0,18.148
227,1431.784,1432.12,1435.204,0.0,7.525
228,1435.894,1440.316,1436.803,107.37,110.385
229,1434.77,1438.194,1435.114,0.0,28.922
230,1433.976,1432.731,1434.489,107.338,102.721
231,1434.898,1439.619,1432.835,92.636,81.102
232,1436.581,1433.251,1436.175,0.0,19.891
233,1413.785,1435.266,1430.136,106.931,165.822
234,1440.451,1432.453,1435.745,78.878,68.54
235,1372.174,1438.35,1431.794,0.0,41.986
236,1364.766,1428.402,1439.328,9.273,49.436
237,1434.187,1429.644,1430.4,79.435,74.963
238,1432.779,1435.408,1433.31,0.0,43.806
239,1361.023,1439.099,1435.575,0.0,40.305
240,1368.845,1435.238,1437.17,0.0,26.698
241,1364.336,1431.485,1435.342,0.0,23.886
242,1436.21,1435.544,1434.659,0.0,8.905
243,1364.828,1430.05,1438.256,74.83,56.91
244,352.245,352.496,352.536,106.573,100.039
245,352.611,351.549,353.4,107.259,99.031
246,352.314,352.241,351.888,106.552,99.893
