Support_ID,H1_KPI_weighted_power,H2_birdlife_KPI,H3_defecs_severity_KPI
RPUDB12T//74-22-4,5.591,10.118,1.03
RPUWQIFO//74-22-5-CT,4.446,0.0,0.0
RPWULH1G//74-22-3,5.589,0.0,3.094
RQ0W7MUL//74-22-2,5.593,0.0,5.151
RQ2HC35J//74-27,6.711,10.125,0.0
RQ2NBO45//79,7.837,0.0,0.0
RQ2O32O0//74-26,6.722,10.13,0.0
RQ2O34P5//74-2-1-CT,4.467,0.0,0.0
RQ2O35AP//81,7.826,0.0,0.0
RQ2RSBDX//74-10-1-CT,4.446,0.0,0.0
RQ2TB80M//74-3,6.706,0.0,0.0
RQ2U2NH2//78,7.812,0.0,0.0
RQ2VJJ4Q//74-4,6.705,0.0,5.137
RQ2WAWCD//74-25,6.694,10.118,0.0
RQ2WB0PA//79-1-CT,5.583,0.0,1.026
RQ3227SQ//77,7.832,0.0,0.0
RQ351XNN//74-3-1-CT,4.475,0.0,0.0
RQ351XTF//74,7.817,0.0,0.0
RQ35REIC//74-6,6.713,0.0,5.168
RQ36IS0S//74-24,6.686,10.123,0.0
RQ36IS7R//74-22-1,5.606,0.0,5.131
RQ36ITU7//74-2,6.69,0.0,0.0
RQ37A8RE//74-28,6.697,10.137,5.156
RQ38R6MC//74-7,6.699,0.0,0.0
RQ38R73O//74-1,6.71,0.0,0.0
RQ38R785//76,7.798,0.0,0.0
RQ3D9RJP//74-23,6.695,10.116,0.0
RQ3E19WA//74-8,6.711,0.0,0.0
RQ3E1AI0//75,7.827,0.0,1.03
RQ3HQH2A//74-10,6.708,0.0,5.153
RQ3IHW6E//74-9,6.689,0.0,0.0
RQ3K0TFG//82,7.788,0.0,10.331
RQ3M949X//74-22,6.707,0.0,0.0
RQ3OHGEU//74-11,6.691,0.0,0.0
RQ3TPIUD//74-21,6.687,0.0,5.154
RQ3TPJNW//74-12,6.716,0.0,0.0
RQ4087VA//74-13,6.72,0.0,0.0
RQ44OTL4//74-20,6.701,0.0,5.147
RQ44OU50//74-14,6.694,0.0,0.0
RQ4AOEG4//74-15,6.686,0.0,0.0
RQ4C7A7X//74-19,6.693,0.0,0.0
RQ4CWPID//74-16,6.715,0.0,0.0
RQ4CWRDB//83,7.831,0.0,1.033
RQ4HFDQA//74-17,6.703,0.0,0.0
RQ4KF5UF//74-18,6.695,0.0,0.0
RQ4O6CAL//74-29,6.687,10.13,0.0
RQ4RVMH0//84,7.798,0.0,0.0
RQ52UWT5//80-1-CT,5.57,0.0,0.0
RQ5BU910//73,7.79,0.0,0.0
RQ5HTS99//85,7.805,0.0,0.0
RQ61SCFJ//74-30,6.696,10.144,2.062
RQ6M1DXH//86,7.785,0.0,0.0
RQ6R9HBI//86-1-CT,5.579,0.0,0.0
RQ7JG075//87,7.803,0.0,0.0
RQ7SF9TF//72,7.86,0.0,0.0
RQ82N36S//74-31,6.729,10.118,1.029
RQ82N3G8//74-33-5,5.592,10.136,1.032
RQ8AUX4A//74-33-6-CT,4.469,10.114,1.031
RQ8EM99R//88,7.788,0.0,2.057
RQ8UCGAG//74-33-4,5.583,10.114,10.321
RQ9PISCN//89,7.793,0.0,0.0
RQ9W9OJR//74-32,6.713,10.12,10.33
RQA9HCG7//74-33-3,5.611,10.139,10.278
RQAA8TM4//71,7.805,0.0,0.0
RQAKP3CS//90,7.812,0.0,0.0
RQAUFPTH//74-33-2,5.598,10.123,10.322
RQB7NGUI//91,7.833,0.0,0.0
RQBDN1ED//92-CT,6.676,0.0,0.0
RQBMM8KX//74-33-1,5.586,10.126,2.06
RQBQDFTA//74-33,6.718,10.121,6.185
RQCQ2FER//70,7.827,0.0,1.027
RQE5WOGE//74-34,6.71,10.112,1.031
RQFGTBSJ//69,7.819,0.0,0.0
RQFQK18D//74-35,6.698,10.126,1.028
RQHIFFCM//74-36,6.681,10.14,2.059
RQHUEI6N//74-37-CT,5.595,10.112,0.0
RQI6UR6H//68,7.838,0.0,0.0
RQJ7B5LL//68-1,6.721,0.0,0.0
RQK7030R//68-2,6.702,0.0,0.0
RQKTFCF1//67,7.792,0.0,0.0
RQL85UHJ//68-3,6.701,0.0,0.0
RQMA3527//68-4,6.701,0.0,0.0
RQMVQX85//66-1-CT,5.6,0.0,0.0
RQN6Q9V3//66,7.821,0.0,1.031
RQN6QA89//68-5,6.751,0.0,0.0
RQQ6IGW0//65,7.831,0.0,1.028
RQSVBDBP//64,7.824,0.0,1.03
RQVKLDLX//63,7.828,0.0,0.0
RQX20JL3//59-19-CT,5.587,0.0,0.0
RQXM7I3A//59-18,6.711,0.0,0.0
RR09VDW6//62,7.839,0.0,0.0
RR0BE8R1//59-17,6.726,0.0,10.299
RR0XTIF1//59-16,6.711,0.0,1.032
RR1K2GVE//59-15,6.729,0.0,1.032
RR24QJAE//59-14,6.701,0.0,10.345
RR2KGTFU//59-13,6.72,0.0,1.032
RR30OABW//61,7.859,0.0,0.0
RR356VST//59-12,6.732,0.0,1.03
RR3NV07V//59-11,6.714,0.0,1.036
RR4ATDQC//59-10,6.711,0.0,0.0
RR4MSGN9//59-9,6.717,0.0,0.0
RR5H9AOR//59-8,6.709,0.0,0.0
RR5OPPNV//60,7.844,0.0,0.0
RR6FFC1D//59-7,6.719,0.0,0.0
RR6GW843//59-7-1-CT,4.484,0.0,0.0
RR7L3RTG//59-6,6.726,0.0,0.0
RR8NQHGC//59-5,6.728,0.0,0.0
RR9JO7KN//59-4,6.712,0.0,0.0
RR9L73WC//59,7.844,0.0,0.0
RR9U6EJ3//59-1,6.728,0.0,0.0
RRAB59FH//59-3-A1,5.599,0.0,0.0
RRAPCNEN//59-3,6.7,0.0,1.03
RRAVC7SP//59-3-B1,5.602,0.0,0.0
RRBTI956//59-2,6.702,0.0,1.03
RRDA61MW//58,7.823,0.0,0.0
RRH7CSX5//57,7.837,0.0,0.0
RRKD4KI7//56,7.854,0.0,0.0
RRNHDFXP//55,7.842,0.0,0.0
RRQJE09U//54,7.846,0.0,0.0
RRRUAJIN//53,7.866,0.0,0.0
RRTA6V0M//52,7.848,0.0,1.027
RRULSVBA//51,7.803,0.0,0.0
RRVUH5EV//50,7.839,0.0,5.155
RRXRKN1Q//49,7.834,0.0,0.0
RS1HX76K//48,7.803,0.0,0.0
RS29E92M//47,7.882,0.0,0.0
RS30TAWM//46,7.83,0.0,0.0
RS40I8FR//45,7.869,0.0,0.0
RS53WD64//44,7.857,0.0,0.0
RT82CO7C//D34-3,6.725,0.0,0.0
RT8L2QFF//D34-2,6.728,0.0,0.0
RT9A9GXW//D34-1,6.719,0.0,0.0
RTIES7OX//D31-1-CT,5.618,0.0,0.0
RVWXPSPU//D6-1-CT,5.615,0.0,0.0
SR2JKGWT/80,7.911,0.0,0.0
SR31ARAI//74-5,6.721,0.0,0.0
S5OHC14B//D8,7.491,0.0,0.0
S5OKBRG7//D7,7.535,0.0,0.0
S5ONBJQT//D6,7.654,0.0,0.0
S5OQBC3W//D5,7.692,0.0,0.0
S5OSJNC8//D4,7.76,0.0,0.0
S5OVJFN8//D3,7.835,0.0,0.0
S5OWAURA//D2X2,6.025,0.0,0.0
S5P2246G//D1,7.977,0.0,0.0
S5PE16WJ//D2,7.883,0.0,0.0
S5PFI312//D2X1,6.016,0.0,0.0
S5QI6POO//D9,7.441,0.0,0.0
S5S3B69E//D10,7.356,0.0,0.0
S5TGG2EI//D11,7.298,0.0,0.0
S5VC2NN1//D12,7.172,0.0,0.0
S5WXFFCR//D13,7.151,0.0,0.0
