Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.42,5.53,3.05,4.29
RPUWQIFO//74-22-5-CT,4.33,3.67,3.05,3.36
RPWULH1G//74-22-3,5.42,4.53,3.75,4.14
RQ0W7MUL//74-22-2,5.42,4.53,4.8,4.67
RQ2HC35J//74-27,6.5,6.4,2.7,4.55
RQ2NBO45//79,7.58,6.26,2.7,4.48
RQ2O32O0//74-26,6.5,6.4,3.05,4.73
RQ2O34P5//74-2-1-CT,4.33,3.67,2.7,3.18
RQ2O35AP//81,7.58,6.26,2.7,4.48
RQ2RSBDX//74-10-1-CT,4.33,3.67,2.7,3.18
RQ2TB80M//74-3,6.5,5.4,2.7,4.05
RQ2U2NH2//78,7.58,6.26,2.7,4.48
RQ2VJJ4Q//74-4,6.5,5.4,4.8,5.1
RQ2WAWCD//74-25,6.5,6.4,3.05,4.73
RQ2WB0PA//79-1-CT,5.41,4.53,3.05,3.79
RQ3227SQ//77,7.58,6.26,2.7,4.48
RQ351XNN//74-3-1-CT,4.33,3.67,2.7,3.18
RQ351XTF//74,7.58,6.27,2.7,4.48
RQ35REIC//74-6,6.5,5.4,4.8,5.1
RQ36IS0S//74-24,6.5,6.4,3.05,4.73
RQ36IS7R//74-22-1,5.42,4.53,4.45,4.49
RQ36ITU7//74-2,6.5,5.4,2.7,4.05
RQ37A8RE//74-28,6.5,6.4,4.45,5.43
RQ38R6MC//74-7,6.5,5.4,3.05,4.23
RQ38R73O//74-1,6.5,5.4,2.7,4.05
RQ38R785//76,7.58,6.27,2.7,4.48
RQ3D9RJP//74-23,6.5,6.4,3.05,4.73
RQ3E19WA//74-8,6.5,5.4,3.05,4.23
RQ3E1AI0//75,7.58,6.27,3.05,4.66
RQ3HQH2A//74-10,6.5,5.4,4.45,4.93
RQ3IHW6E//74-9,6.5,5.4,3.05,4.23
RQ3K0TFG//82,7.58,6.26,6.55,6.41
RQ3M949X//74-22,6.5,5.4,3.05,4.23
RQ3OHGEU//74-11,6.5,5.4,3.05,4.23
RQ3TPIUD//74-21,6.5,5.4,4.8,5.1
RQ3TPJNW//74-12,6.5,5.4,3.05,4.23
RQ4087VA//74-13,6.5,5.4,3.05,4.23
RQ44OTL4//74-20,6.5,5.4,4.8,5.1
RQ44OU50//74-14,6.5,5.4,3.05,4.23
RQ4AOEG4//74-15,6.5,5.4,3.05,4.23
RQ4C7A7X//74-19,6.5,5.4,2.7,4.05
RQ4CWPID//74-16,6.5,5.4,3.05,4.23
RQ4CWRDB//83,7.58,6.26,3.05,4.66
RQ4HFDQA//74-17,6.5,5.4,3.05,4.23
RQ4KF5UF//74-18,6.5,5.4,3.05,4.23
RQ4O6CAL//74-29,6.5,6.4,2.7,4.55
RQ4RVMH0//84,7.57,6.26,2.7,4.48
RQ52UWT5//80-1-CT,5.41,4.53,2.7,3.62
RQ5BU910//73,7.58,6.27,3.05,4.66
RQ5HTS99//85,7.57,6.26,2.7,4.48
RQ61SCFJ//74-30,6.5,6.4,3.4,4.9
RQ6M1DXH//86,7.57,6.26,2.7,4.48
RQ6R9HBI//86-1-CT,5.41,4.53,2.7,3.61
RQ7JG075//87,7.57,6.26,2.7,4.48
RQ7SF9TF//72,7.59,6.27,3.05,4.66
RQ82N36S//74-31,6.5,6.4,3.4,4.9
RQ82N3G8//74-33-5,5.42,5.53,1.65,3.59
RQ8AUX4A//74-33-6-CT,4.33,4.67,1.65,3.16
RQ8EM99R//88,7.57,6.26,3.4,4.83
RQ8UCGAG//74-33-4,5.42,5.53,6.55,6.04
RQ9PISCN//89,7.57,6.26,3.05,4.65
RQ9W9OJR//74-32,6.5,6.4,6.55,6.48
RQA9HCG7//74-33-3,5.42,5.53,6.55,6.04
RQAA8TM4//71,7.59,6.27,3.05,4.66
RQAKP3CS//90,7.57,6.25,2.7,4.48
RQAUFPTH//74-33-2,5.42,5.53,6.55,6.04
RQB7NGUI//91,7.57,6.25,2.7,4.48
RQBDN1ED//92-CT,6.49,5.39,2.7,4.04
RQBMM8KX//74-33-1,5.42,5.53,2.0,3.77
RQBQDFTA//74-33,6.5,6.4,4.8,5.6
RQCQ2FER//70,7.59,6.27,3.4,4.84
RQE5WOGE//74-34,6.5,6.4,3.4,4.9
RQFGTBSJ//69,7.59,6.27,3.05,4.66
RQFQK18D//74-35,6.5,6.4,3.4,4.9
RQHIFFCM//74-36,6.5,6.4,3.4,4.9
RQHUEI6N//74-37-CT,5.42,5.53,2.7,4.12
RQI6UR6H//68,7.59,6.27,2.7,4.49
RQJ7B5LL//68-1,6.51,5.4,3.05,4.23
RQK7030R//68-2,6.51,5.4,3.05,4.23
RQKTFCF1//67,7.59,6.27,3.05,4.66
RQL85UHJ//68-3,6.51,5.4,3.05,4.23
RQMA3527//68-4,6.51,5.4,3.05,4.23
RQMVQX85//66-1-CT,5.42,4.54,1.3,2.92
RQN6Q9V3//66,7.59,6.27,3.05,4.66
RQN6QA89//68-5,6.51,5.4,2.7,4.05
RQQ6IGW0//65,7.59,6.27,3.4,4.84
RQSVBDBP//64,7.59,6.28,3.4,4.84
RQVKLDLX//63,7.59,6.28,3.05,4.66
RQX20JL3//59-19-CT,5.43,4.54,2.7,3.62
RQXM7I3A//59-18,6.51,5.41,3.05,4.23
RR09VDW6//62,7.6,6.28,3.05,4.66
RR0BE8R1//59-17,6.51,5.41,6.55,5.98
RR0XTIF1//59-16,6.51,5.41,3.4,4.41
RR1K2GVE//59-15,6.51,5.41,3.4,4.41
RR24QJAE//59-14,6.51,5.41,6.55,5.98
RR2KGTFU//59-13,6.51,5.41,3.4,4.41
RR30OABW//61,7.6,6.28,3.05,4.66
RR356VST//59-12,6.51,5.41,3.4,4.41
RR3NV07V//59-11,6.51,5.41,3.4,4.41
RR4ATDQC//59-10,6.51,5.41,2.7,4.06
RR4MSGN9//59-9,6.51,5.41,2.7,4.06
RR5H9AOR//59-8,6.51,5.41,3.05,4.23
RR5OPPNV//60,7.6,6.28,2.7,4.49
RR6FFC1D//59-7,6.51,5.41,2.7,4.06
RR6GW843//59-7-1-CT,4.34,3.67,2.7,3.19
RR7L3RTG//59-6,6.51,5.41,3.05,4.23
RR8NQHGC//59-5,6.51,5.41,2.7,4.06
RR9JO7KN//59-4,6.51,5.41,2.7,4.06
RR9L73WC//59,7.6,6.28,3.05,4.66
RR9U6EJ3//59-1,6.51,5.41,2.7,4.06
RRAB59FH//59-3-A1,5.43,4.54,2.7,3.62
RRAPCNEN//59-3,6.51,5.41,3.05,4.23
RRAVC7SP//59-3-B1,5.43,4.54,0.95,2.75
RRBTI956//59-2,6.51,5.41,3.05,4.23
RRDA61MW//58,7.6,6.28,3.05,4.66
RRH7CSX5//57,7.6,6.28,2.7,4.49
RRKD4KI7//56,7.6,6.28,3.05,4.67
RRNHDFXP//55,7.6,6.28,3.05,4.67
RRQJE09U//54,7.6,6.28,2.7,4.49
