Support_ID,H1_KPI_weighted_power,H2_Criticity,H3_Condition,H4_Risk
RPUDB12T//74-22-4,5.581,5.708,3.219,4.557
RPUWQIFO//74-22-5-CT,4.469,3.79,3.223,3.58
RPWULH1G//74-22-3,5.567,4.685,3.971,4.402
RQ0W7MUL//74-22-2,5.577,4.665,5.088,4.968
RQ2HC35J//74-27,6.699,6.601,2.872,4.831
RQ2NBO45//79,7.812,6.451,2.876,4.751
RQ2O32O0//74-26,6.723,6.585,3.241,5.034
RQ2O34P5//74-2-1-CT,4.465,3.783,2.856,3.371
RQ2O35AP//81,7.814,6.467,2.861,4.791
RQ2RSBDX//74-10-1-CT,4.476,3.786,2.857,3.371
RQ2TB80M//74-3,6.698,5.568,2.87,4.319
RQ2U2NH2//78,7.833,6.459,2.876,4.734
RQ2VJJ4Q//74-4,6.697,5.581,5.112,5.404
RQ2WAWCD//74-25,6.709,6.598,3.266,5.005
RQ2WB0PA//79-1-CT,5.588,4.664,3.217,4.027
RQ3227SQ//77,7.833,6.493,2.879,4.746
RQ351XNN//74-3-1-CT,4.477,3.786,2.869,3.393
RQ351XTF//74,7.821,6.467,2.851,4.769
RQ35REIC//74-6,6.711,5.576,5.093,5.436
RQ36IS0S//74-24,6.687,6.602,3.252,5.003
RQ36IS7R//74-22-1,5.593,4.661,4.701,4.74
RQ36ITU7//74-2,6.669,5.554,2.873,4.324
RQ37A8RE//74-28,6.712,6.603,4.729,5.79
RQ38R6MC//74-7,6.698,5.543,3.245,4.509
RQ38R73O//74-1,6.667,5.56,2.869,4.303
RQ38R785//76,7.813,6.461,2.861,4.748
RQ3D9RJP//74-23,6.713,6.596,3.241,5.03
RQ3E19WA//74-8,6.68,5.567,3.25,4.492
RQ3E1AI0//75,7.784,6.45,3.233,4.966
RQ3HQH2A//74-10,6.693,5.562,4.713,5.249
RQ3IHW6E//74-9,6.702,5.574,3.224,4.455
RQ3K0TFG//82,7.799,6.468,6.982,6.738
RQ3M949X//74-22,6.69,5.582,3.229,4.492
RQ3OHGEU//74-11,6.708,5.567,3.221,4.518
RQ3TPIUD//74-21,6.704,5.575,5.081,5.406
RQ3TPJNW//74-12,6.694,5.578,3.235,4.507
RQ4087VA//74-13,6.678,5.565,3.22,4.509
RQ44OTL4//74-20,6.688,5.567,5.092,5.406
RQ44OU50//74-14,6.704,5.578,3.24,4.477
RQ4AOEG4//74-15,6.693,5.58,3.238,4.478
