Support_ID,H2_defects,H3_defect_severity
RPUDB12T//74-22-4,1,3
RPUWQIFO//74-22-5-CT,0,0
RPWULH1G//74-22-3,3,2
RQ0W7MUL//74-22-2,1,2
RQ2HC35J//74-27,0,0
RQ2NBO45//79,0,0
RQ2O32O0//74-26,0,0
RQ2O34P5//74-2-1-CT,0,0
RQ2O35AP//81,0,0
RQ2RSBDX//74-10-1-CT,0,0
RQ2TB80M//74-3,0,0
RQ2U2NH2//78,0,0
RQ2VJJ4Q//74-4,1,3
RQ2WAWCD//74-25,0,0
RQ2WB0PA//79-1-CT,1,2
RQ3227SQ//77,0,0
RQ351XNN//74-3-1-CT,0,0
RQ351XTF//74,0,0
RQ35REIC//74-6,1,2
RQ36IS0S//74-24,0,0
RQ36IS7R//74-22-1,1,2
RQ36ITU7//74-2,0,0
RQ37A8RE//74-28,1,3
RQ38R6MC//74-7,0,0
RQ38R73O//74-1,0,0
RQ38R785//76,0,0
RQ3D9RJP//74-23,0,0
RQ3E19WA//74-8,0,0
RQ3E1AI0//75,1,1
RQ3HQH2A//74-10,1,3
RQ3IHW6E//74-9,0,0
RQ3K0TFG//82,2,3
RQ3M949X//74-22,0,0
RQ3OHGEU//74-11,0,0
RQ3TPIUD//74-21,1,1
RQ3TPJNW//74-12,0,0
RQ4087VA//74-13,1,2
RQ44OTL4//74-20,0,0
RQ44OU50//74-14,0,0
RQ4AOEG4//74-15,0,0
RQ4C7A7X//74-19,0,0
RQ4CWPID//74-16,0,0
RQ4CWRDB//83,1,1
RQ4HFDQA//74-17,0,0
RQ4KF5UF//74-18,0,0
RQ4O6CAL//74-29,0,0
RQ4RVMH0//84,0,0
RQ52UWT5//80-1-CT,0,0
RQ5BU910//73,0,0
RQ5HTS99//85,0,0
RQ61SCFJ//74-30,2,3
RQ6M1DXH//86,0,0
RQ6R9HBI//86-1-CT,0,0
RQ7JG075//87,0,0
RQ7SF9TF//72,0,0
RQ82N36S//74-31,1,3
RQ82N3G8//74-33-5,1,3
RQ8AUX4A//74-33-6-CT,1,3
RQ8EM99R//88,2,1
RQ8UCGAG//74-33-4,4,3
RQ9PISCN//89,0,0
RQ9W9OJR//74-32,2,3
RQA9HCG7//74-33-3,1,3
RQAA8TM4//71,0,0
RQAKP3CS//90,0,0
RQAUFPTH//74-33-2,3,3
RQB7NGUI//91,0,0
RQBDN1ED//92-CT,0,0
RQBMM8KX//74-33-1,2,2
RQBQDFTA//74-33,2,3
RQCQ2FER//70,1,1
RQE5WOGE//74-34,1,3
RQFGTBSJ//69,0,0
RQFQK18D//74-35,1,3
RQHIFFCM//74-36,2,2
RQHUEI6N//74-37-CT,0,0
RQI6UR6H//68,0,0
RQJ7B5LL//68-1,0,0
RQK7030R//68-2,0,0
RQKTFCF1//67,0,0
RQL85UHJ//68-3,0,0
RQMA3527//68-4,0,0
RQMVQX85//66-1-CT,0,0
RQN6Q9V3//66,1,1
RQN6QA89//68-5,0,0
RQQ6IGW0//65,1,1
RQSVBDBP//64,1,1
RQVKLDLX//63,0,0
RQX20JL3//59-19-CT,0,0
RQXM7I3A//59-18,0,0
RR09VDW6//62,0,0
