name,cost_failure,customers_affected,value_lost_load
2,5044.456,205.907,2262121.718
5,6188.34,248.875,2547894.005
8,4931.919,201.624,1886280.565
11,4478.921,178.585,1461668.399
13,1364.734,36.898,0.0
14,4549.313,183.164,1659342.725
15,1929.613,78.272,660907.767
19,7570.374,307.123,3453128.998
21,2650.571,0.0,285223.975
24,4282.297,109.07,894917.859
25,5496.055,173.685,913154.482
28,7460.788,297.405,4081509.077
32,4011.221,163.978,1781544.141
33,3773.495,153.377,1237331.34
38,2889.842,114.962,723920.622
39,9735.491,391.313,2256398.826
42,3523.682,129.048,2663943.608
44,9029.892,362.159,1822560.317
46,107.578,2.138,712422.302
47,4836.129,0.0,821051.394
48,13256.638,193.573,1420894.677
51,4107.733,218.367,1597843.22
52,2219.221,531.003,2595857.109
53,5830.759,87.125,794055.18
54,3445.268,149.994,1763861.798
55,7396.676,2.16,300449.131
56,3470.179,89.875,617448.448
57,4301.722,232.073,1350494.18
58,53.084,293.916,1536196.129
59,3668.738,174.86,1011390.697
60,79.942,115.749,2208409.884
61,3505.308,1.071,1363.26
62,1541.369,146.455,1252367.578
73,1394.353,0.0,433297.531
74_1,3449.9,180.053,1900243.709
74_2,5494.682,180.277,0.0
81,1256.545,3.17,467469.778
88,161.122,55.957,244905.529
12,6827.28,259.245,2121377.154
72,6847.932,211.46,1585883.334
