name,age_years,H1_fail_prob,H2_criticality,H3_energy
2,27,0.607,5.057,887265.566
5,27,0.396,11.125,1036796.881
8,27,0.129,1.012,628811.694
11,27,0.831,3.038,538331.066
13,27,0.636,21.248,0.0
14,27,0.533,4.047,653423.969
15,27,0.191,0.0,219323.144
19,27,0.536,14.164,1594979.663
21,27,0.808,0.0,196472.172
24,27,0.768,0.0,302819.784
25,27,0.125,1.013,306560.304
28,27,0.498,4.052,1503288.556
32,27,0.591,4.053,621042.33
33,27,0.127,1.013,430710.825
38,27,0.123,0.0,241495.35
39,27,0.114,1.013,783275.549
42,27,0.604,15.176,1294591.468
44,27,0.307,1.016,596758.252
46,27,0.161,2.031,490574.81
47,27,0.123,0.0,565897.769
48,27,0.605,1.013,522559.729
51,27,0.475,2.026,582283.528
52,27,0.429,1.011,839048.818
53,27,0.119,0.0,259397.935
54,27,0.589,14.195,748525.198
55,27,0.841,1.012,234489.065
56,27,0.116,0.0,209165.579
57,27,0.607,2.02,464159.461
58,27,0.116,5.051,602577.22
59,27,0.148,8.098,425248.638
60,27,0.517,4.056,1157602.469
61,27,0.704,1.01,941.49
62,27,0.171,5.064,521089.695
73,27,0.05,0.0,298323.369
74_1,27,0.595,15.217,900580.702
74_2,27,0.13,15.161,0.0
81,27,0.41,3.033,322355.64
88,27,0.187,0.0,77662.8
12,27,0.468,40.419,743051.744
72,27,0.831,10.129,634912.343
