name,external_condition,cost_failure
2,2,4916.0
5,2,6014.0
8,3,4837.0
11,2,4341.0
13,2,1334.0
14,2,4445.0
15,3,1883.0
19,2,7374.0
21,2,2589.0
24,2,4184.0
25,3,5360.0
28,1,7269.0
32,2,3922.0
33,3,3687.0
38,3,2824.0
39,3,9544.0
42,2,3423.0
44,3,8812.0
46,3,105.0
47,3,4707.0
48,2,12943.0
51,2,4027.0
52,2,2170.0
53,3,5674.0
54,2,3373.0
55,2,7243.0
56,3,3373.0
57,2,4184.0
58,3,52.0
59,3,3556.0
60,2,78.0
61,2,3425.0
62,3,1508.0
73,3,1360.0
74_1,2,3373.0
74_2,3,5334.0
81,2,1229.0
88,3,157.0
12,2,6681.11
72,2,6681.11
