name,external_condition,cost_failure
2,2.218,5267.826
5,2.216,6448.501
8,3.35,5222.566
11,2.223,4677.617
13,2.241,1435.985
14,2.221,4758.873
15,3.354,2027.393
19,2.22,7883.035
21,2.215,2790.61
24,2.221,4510.796
25,3.347,5746.693
28,1.117,7844.422
32,2.218,4197.608
33,3.32,3960.606
38,3.352,3040.399
39,3.337,10303.336
42,2.221,3695.134
44,3.32,9508.598
46,3.341,112.857
47,3.329,5064.553
48,2.238,13888.189
51,2.226,4347.749
52,2.236,2337.405
53,3.329,6131.044
54,2.218,3635.25
55,2.217,7784.492
56,3.34,3608.928
57,2.221,4495.35
58,3.365,55.738
59,3.353,3823.736
60,2.237,84.019
61,2.238,3672.059
62,3.341,1614.565
73,3.356,1464.855
74_1,2.227,3618.658
74_2,3.357,5744.83
81,2.219,1321.983
88,3.341,168.016
12,2.219,7181.384
72,2.228,7170.924
