name,cost_failure,customers_affected,value_lost_load
2,5271.064,228.087,2308206.528
5,6491.038,281.606,2596763.84
8,5187.046,226.729,1934712.847
11,4670.655,204.227,1499645.15
13,1433.715,41.902,0.0
14,4801.098,209.608,1700593.645
15,2025.603,88.296,678256.765
19,7914.14,343.654,3525306.791
21,2784.644,0.0,291000.982
24,4492.301,120.988,914367.019
25,5783.982,197.41,936528.251
28,7806.513,345.193,4163174.561
32,4228.937,182.323,1834290.187
33,3956.324,172.693,1270582.985
38,3040.026,132.929,742780.371
39,10293.763,446.471,2311925.404
42,3669.148,144.472,2729504.58
44,9511.491,412.205,1864172.139
46,112.589,2.441,726946.58
47,5051.341,0.0,840111.094
48,13934.001,221.772,1460884.912
51,4333.165,250.366,1635136.389
52,2341.271,605.499,2652352.727
53,6088.923,100.35,813436.908
54,3632.164,168.95,1796902.242
55,7781.824,2.478,307217.779
56,3638.37,101.03,632425.333
57,4477.115,264.878,1383511.422
58,56.127,335.285,1574803.195
59,3834.528,194.898,1036061.646
60,83.381,133.432,2259858.67
61,3678.162,1.213,1395.702
62,1622.964,167.578,1282568.778
73,1463.254,0.0,442922.49
74_1,3633.136,205.078,1946642.411
74_2,5747.446,204.258,0.0
81,1323.553,3.668,479649.641
88,168.336,63.883,250602.418
12,7153.364,295.942,2177281.321
72,7181.774,242.822,1624666.952
