name,age_years,H1_fail_prob,H2_criticality,H3_energy
2,21,0.699,5.187,906188.741
5,21,0.525,11.403,1060449.108
8,21,0.306,1.035,643148.604
11,21,0.865,3.111,550825.082
13,21,0.721,21.773,0.0
14,21,0.623,4.139,670387.493
15,21,0.364,0.0,225121.72
19,21,0.64,14.541,1632578.099
21,21,0.848,0.0,201380.531
24,21,0.818,0.0,309414.684
25,21,0.324,1.037,313831.951
28,21,0.617,4.138,1538474.16
32,21,0.682,4.145,635475.925
33,21,0.314,1.036,442002.598
38,21,0.315,0.0,247130.592
39,21,0.318,1.037,805469.458
42,21,0.697,15.576,1320061.348
44,21,0.462,1.035,612632.751
46,21,0.338,2.077,503997.129
47,21,0.296,0.0,577669.138
48,21,0.691,1.037,534887.178
51,21,0.588,2.078,596063.234
52,21,0.56,1.036,859087.335
53,21,0.324,0.0,265697.841
54,21,0.678,14.51,763266.244
55,21,0.877,1.038,240013.415
56,21,0.312,0.0,213973.208
57,21,0.686,2.076,475206.983
58,21,0.32,5.182,615521.541
59,21,0.35,8.297,437153.791
60,21,0.628,4.153,1188056.638
61,21,0.766,1.037,961.377
62,21,0.337,5.194,534467.985
73,21,0.247,0.0,305151.962
74_1,21,0.673,15.539,920820.71
74_2,21,0.316,15.541,0.0
81,21,0.548,3.106,329817.049
88,21,0.369,0.0,79417.979
12,21,0.587,41.37,760828.263
72,21,0.866,10.376,651190.151
