name,external_condition,cost_failure
2,2.215,5283.465
5,2.22,6433.042
8,3.317,5204.893
11,2.225,4646.278
13,2.23,1438.354
14,2.221,4778.985
15,3.341,2036.162
19,2.233,7882.813
21,2.214,2779.653
24,2.218,4504.991
25,3.331,5755.921
28,1.102,7814.939
32,2.242,4207.65
33,3.323,3959.772
38,3.336,3028.131
39,3.341,10227.595
42,2.227,3688.829
44,3.351,9516.66
46,3.32,113.438
47,3.317,5058.889
48,2.223,13862.277
51,2.224,4314.034
52,2.23,2338.026
53,3.347,6097.67
54,2.234,3608.05
55,2.205,7814.929
56,3.322,3632.09
57,2.223,4489.679
58,3.35,56.096
59,3.355,3821.009
60,2.212,83.888
61,2.225,3709.594
62,3.328,1623.77
73,3.332,1453.327
74_1,2.227,3634.419
74_2,3.35,5715.645
81,2.211,1324.225
88,3.336,167.39
12,2.227,7141.003
72,2.227,7190.627
