name,H1_important_customers,H2_Customers,H3_power contracted,H4_Cut_power
19A649,1.0,28.0,121992.0,0.0
19A650,0.0,38.0,128542.0,0.0
19A716,0.0,47.0,182267.0,0.0
19A754,0.0,1.0,43650.0,0.0
19P814,0.0,2.0,16696.0,0.0
28AGM9,1.0,52.0,234504.0,3080.0
28AIN3,0.0,8.0,26450.0,0.0
28AIQ3,0.0,22.0,78546.0,0.0
28AIQ4,0.0,12.0,48500.0,0.0
28ANG2,1.0,5.0,39496.0,38.0
28ANG4,0.0,6.0,14950.0,14.0
28ANG5,1.0,27.0,137796.0,75.0
28ANG8,0.0,19.0,70900.0,0.0
28ANH0,0.0,47.0,197555.0,0.0
28APE6,1.0,5.0,102600.0,102.0
28APE9,0.0,19.0,86506.0,136.0
28APF0,0.0,16.0,101420.0,287.0
28APF3,0.0,2.0,4070.0,4.0
28APF5,1.0,27.0,120276.0,487.0
28AQG2,0.0,45.0,163300.0,0.0
28ARM7,0.0,71.0,266549.0,0.0
28ARN3,0.0,23.0,90300.0,366.0
28CBC9,0.0,102.0,420602.0,0.0
28CCKN,0.0,102.0,518258.0,0.0
28CCWV,3.0,80.0,375571.0,0.0
28CDPG,0.0,37.0,165606.0,0.0
28CDR2,5.0,320.0,1229183.0,1768.0
28CDR3,0.0,95.0,319495.0,0.0
28CDR5,1.0,51.0,196000.0,239.0
28CFHW,1.0,50.0,265606.0,0.0
28CFHX,2.0,43.0,225448.0,147.0
28CFHY,1.0,45.0,189792.0,0.0
28CFHZ,0.0,58.0,271450.0,0.0
28CFKY,0.0,0.0,0.0,0.0
28CHHS,2.0,181.0,749856.0,964.0
28CHQD,3.0,202.0,817281.0,849.0
28CIA6,0.0,73.0,329128.0,55.0
28CIA7,1.0,67.0,333023.0,1160.0
28CIA8,0.0,86.0,356042.0,0.0
28CIA9,1.0,47.0,226281.0,67.0
28CIB0,1.0,70.0,310174.0,0.0
28CIB1,1.0,59.0,270850.0,0.0
28CIB2,0.0,69.0,302414.0,0.0
28CIB3,0.0,97.0,434432.0,73.0
28CIB4,0.0,95.0,409132.0,0.0
28CIB5,0.0,48.0,202750.0,23.0
28CIB9,0.0,0.0,0.0,0.0
28CIC8,0.0,29.0,127700.0,0.0
28CIC9,0.0,69.0,287356.0,0.0
28CIW1,1.0,111.0,499981.0,129.0
28CJF4,0.0,0.0,0.0,0.0
28CJKK,1.0,58.0,266469.0,0.0
28CLN4,0.0,123.0,537290.0,41.0
28CMFM,0.0,43.0,173521.0,184.0
28CNTW,3.0,124.0,477134.0,0.0
28CPYL,0.0,0.0,0.0,0.0
28CPYN,0.0,0.0,0.0,0.0
28CQPQ,0.0,217.0,828581.0,944.0
28CRQM,0.0,0.0,0.0,0.0
28CUB0,1.0,132.0,585935.0,183.0
28CVC5,0.0,2.0,14300.0,14.0
28CXN2,0.0,125.0,584368.0,158.0
28CYL3,0.0,90.0,353267.0,2340.0
28CZP5,1.0,49.0,384493.0,630.0
28PBLK,0.0,1.0,5000.0,0.0
28PBVP,1.0,1.0,183000.0,0.0
28PBZK,0.0,1.0,13200.0,0.0
28PCAT,0.0,1.0,1330000.0,0.0
28PCKK,1.0,1.0,60000.0,0.0
28PFQB,0.0,1.0,3450.0,0.0
28PJTZ,0.0,1.0,47000.0,0.0
28PLPZ,0.0,1.0,3900.0,0.0
28PNG6,0.0,1.0,8050.0,0.0
28PNG7,0.0,1.0,9900.0,0.0
28PNG9,0.0,1.0,19000.0,0.0
28PNNZ,0.0,1.0,6900.0,0.0
28PPE4,0.0,1.0,60000.0,0.0
28PPE7,0.0,1.0,3300.0,0.0
28PPF1,0.0,1.0,6600.0,0.0
28PPF2,0.0,1.0,70000.0,0.0
28PRQP,0.0,1.0,146000.0,0.0
28PSJ3,0.0,1.0,6600.0,0.0
28PST0,0.0,1.0,13200.0,0.0
28PTA3,0.0,1.0,30000.0,0.0
28PTM7,0.0,1.0,4400.0,0.0
28PTQ3,1.0,1.0,160000.0,0.0
28PVKN,0.0,1.0,6982.0,0.0
28PXC6,0.0,1.0,9900.0,0.0
28PYY2,0.0,1.0,49000.0,0.0
45ABP7,0.0,3.0,12400.0,0.0
45PCW7,1.0,1.0,100000.0,0.0
45PYY8,0.0,0.0,0.0,0.0
