name,H2_power_rating,H3_contribution_in_feeder,H4_faults
19A649,102.823,0.012,0.0
19A650,51.457,0.012,0.0
19A716,102.157,0.017,0.0
19A754,102.016,0.004,0.0
19P814,51.197,0.002,0.0
28AGM9,164.308,0.022,1.029
28AIN3,51.433,0.003,0.0
28AIQ3,51.474,0.007,0.0
28AIQ4,102.547,0.005,0.0
28ANG2,102.43,0.004,2.054
28ANG4,102.685,0.001,2.046
28ANG5,163.615,0.013,1.031
28ANG8,102.796,0.007,0.0
28ANH0,163.893,0.019,0.0
28APE6,164.275,0.013,2.039
28APE9,102.359,0.011,6.133
28APF0,103.033,0.012,6.154
28APF3,101.881,0.0,1.025
28APF5,164.262,0.015,4.104
28AQG2,102.149,0.016,0.0
28ARM7,164.046,0.025,0.0
28ARN3,102.161,0.011,4.1
28CBC9,255.759,0.052,0.0
28CCKN,644.426,0.063,0.0
28CCWV,645.312,0.046,0.0
28CDPG,647.508,0.02,0.0
28CDR2,645.612,0.117,6.143
28CDR3,409.526,0.03,0.0
28CDR5,163.618,0.019,4.106
28CFHW,409.182,0.025,0.0
28CFHX,408.418,0.021,2.054
28CFHY,411.383,0.018,0.0
28CFHZ,410.537,0.026,0.0
28CFKY,0.0,0.0,0.0
28CHHS,1025.514,0.071,7.19
28CHQD,410.628,0.078,1.025
28CIA6,409.426,0.04,1.025
28CIA7,412.462,0.041,5.11
28CIA8,408.569,0.044,1.032
28CIA9,409.103,0.028,1.024
28CIB0,257.304,0.038,0.0
28CIB1,409.432,0.033,0.0
28CIB2,255.925,0.037,0.0
28CIB3,254.897,0.053,1.023
28CIB4,256.606,0.05,0.0
28CIB5,164.207,0.025,1.026
28CIB9,0.0,0.0,0.0
28CIC8,51.048,0.016,0.0
28CIC9,164.991,0.035,0.0
28CIW1,643.203,0.061,1.024
28CJF4,0.0,0.0,0.0
28CJKK,646.35,0.025,0.0
28CLN4,645.679,0.066,2.053
28CMFM,257.274,0.016,1.027
28CNTW,255.963,0.045,0.0
28CPYL,0.0,0.0,0.0
28CPYN,0.0,0.0,0.0
28CQPQ,646.65,0.079,4.106
28CRQM,0.0,0.0,0.0
28CUB0,644.761,0.072,2.041
28CVC5,164.821,0.001,1.022
28CXN2,409.42,0.072,2.055
28CYL3,409.533,0.034,8.185
28CZP5,644.063,0.037,3.07
28PBLK,15.378,0.0,0.0
28PBVP,410.69,0.017,0.0
28PBZK,25.593,0.002,0.0
28PCAT,2052.024,0.126,0.0
28PCKK,204.545,0.006,0.0
28PFQB,25.624,0.0,0.0
28PJTZ,256.19,0.004,0.0
28PLPZ,25.564,0.0,0.0
28PNG6,10.264,0.001,0.0
28PNG7,30.73,0.001,0.0
28PNG9,10.246,0.002,0.0
28PNNZ,51.276,0.001,0.0
28PPE4,51.149,0.007,0.0
28PPE7,15.349,0.0,0.0
28PPF1,25.682,0.001,0.0
28PPF2,127.991,0.009,0.0
28PRQP,818.346,0.014,0.0
28PSJ3,15.357,0.001,0.0
28PST0,51.199,0.002,0.0
28PTA3,256.441,0.004,0.0
28PTM7,25.648,0.0,0.0
28PTQ3,255.525,0.015,1.027
28PVKN,25.612,0.001,0.0
28PXC6,51.486,0.001,0.0
28PYY2,256.299,0.006,0.0
45ABP7,51.278,0.002,0.0
45PCW7,163.886,0.012,0.0
45PYY8,76.835,0.0,0.0
