name,H1_fault_duration,H2_faults,H3_defects,H4_defect_severity
19A649,0.0,0.0,0.0,0.0
19A650,0.0,0.0,2.0,1.015
19A716,0.0,0.0,0.0,0.0
19A754,0.0,0.0,0.0,0.0
19P814,0.0,0.0,0.0,0.0
28AGM9,22.0,1.023,0.0,0.0
28AIN3,0.0,0.0,0.0,0.0
28AIQ3,0.0,0.0,0.0,0.0
28AIQ4,0.0,0.0,0.0,0.0
28ANG2,83.0,2.04,0.0,0.0
28ANG4,84.0,2.058,0.0,0.0
28ANG5,100.0,1.028,0.0,0.0
28ANG8,0.0,0.0,0.0,0.0
28ANH0,0.0,0.0,0.0,0.0
28APE6,53.0,2.054,0.0,0.0
28APE9,291.0,6.14,0.0,0.0
28APF0,865.0,6.127,0.0,0.0
28APF3,46.0,1.022,0.0,0.0
28APF5,607.0,4.096,0.0,0.0
28AQG2,0.0,0.0,0.0,0.0
28ARM7,0.0,0.0,0.0,0.0
28ARN3,913.0,4.088,0.0,0.0
28CBC9,0.0,0.0,0.0,0.0
28CCKN,0.0,0.0,0.0,0.0
28CCWV,0.0,0.0,0.0,0.0
28CDPG,0.0,0.0,0.0,0.0
28CDR2,647.0,6.118,2.0,3.046
28CDR3,0.0,0.0,0.0,0.0
28CDR5,238.0,4.107,3.0,3.034
28CFHW,0.0,0.0,1.0,2.023
28CFHX,280.0,2.05,0.0,0.0
28CFHY,0.0,0.0,1.0,2.023
28CFHZ,0.0,0.0,0.0,0.0
28CFKY,0.0,0.0,0.0,0.0
28CHHS,630.0,7.214,3.0,2.024
28CHQD,4.0,1.028,0.0,0.0
28CIA6,152.0,1.024,0.0,0.0
28CIA7,1511.0,5.127,0.0,0.0
28CIA8,0.0,1.025,0.0,0.0
28CIA9,95.0,1.029,0.0,0.0
28CIB0,0.0,0.0,0.0,0.0
28CIB1,0.0,0.0,0.0,0.0
28CIB2,0.0,0.0,0.0,0.0
28CIB3,236.0,1.023,0.0,0.0
28CIB4,0.0,0.0,0.0,0.0
28CIB5,238.0,1.021,0.0,0.0
28CIB9,0.0,0.0,0.0,0.0
28CIC8,0.0,0.0,0.0,0.0
28CIC9,0.0,0.0,0.0,0.0
28CIW1,139.0,1.027,0.0,0.0
28CJF4,0.0,0.0,0.0,0.0
28CJKK,0.0,0.0,1.0,2.027
28CLN4,130.0,2.041,0.0,0.0
28CMFM,8.0,1.031,0.0,0.0
28CNTW,0.0,0.0,2.0,1.012
28CPYL,0.0,0.0,0.0,0.0
28CPYN,0.0,0.0,0.0,0.0
28CQPQ,335.0,4.082,1.0,2.027
28CRQM,0.0,0.0,0.0,0.0
28CUB0,163.0,2.051,0.0,0.0
28CVC5,140.0,1.029,0.0,0.0
28CXN2,695.0,2.047,0.0,0.0
28CYL3,634.0,8.24,1.0,1.012
28CZP5,100.0,3.082,0.0,0.0
28PBLK,0.0,0.0,0.0,0.0
28PBVP,0.0,0.0,0.0,0.0
28PBZK,0.0,0.0,0.0,0.0
28PCAT,0.0,0.0,0.0,0.0
28PCKK,0.0,0.0,0.0,0.0
28PFQB,0.0,0.0,0.0,0.0
28PJTZ,0.0,0.0,0.0,0.0
28PLPZ,0.0,0.0,0.0,0.0
28PNG6,0.0,0.0,0.0,0.0
28PNG7,0.0,0.0,0.0,0.0
28PNG9,0.0,0.0,0.0,0.0
28PNNZ,0.0,0.0,0.0,0.0
28PPE4,0.0,0.0,0.0,0.0
28PPE7,0.0,0.0,0.0,0.0
28PPF1,0.0,0.0,0.0,0.0
28PPF2,0.0,0.0,0.0,0.0
28PRQP,0.0,0.0,0.0,0.0
28PSJ3,0.0,0.0,0.0,0.0
28PST0,0.0,0.0,0.0,0.0
28PTA3,0.0,0.0,0.0,0.0
28PTM7,0.0,0.0,0.0,0.0
28PTQ3,0.0,1.026,0.0,0.0
28PVKN,0.0,0.0,0.0,0.0
28PXC6,0.0,0.0,0.0,0.0
28PYY2,0.0,0.0,0.0,0.0
45ABP7,0.0,0.0,0.0,0.0
45PCW7,0.0,0.0,0.0,0.0
45PYY8,0.0,0.0,0.0,0.0
